Key,Description
M,provozovatel.csv
M,misto.csv
M,evidence_her.csv
M,pokladna_stul_turnaj_bingo.csv
M,prostredek.csv
M,PSTB_transakce.csv
M,hra_turnaj_bingo.csv
M,mozna_vyhra_stul_bingo.csv
M,mozna_vyhra_pro_hru.csv
M,mena_kurs.csv
V,provozovatel.csv
V,konto.csv
V,konto_zmeny.csv
V,misto.csv
V,herni_pozice.csv
V,evidence_her.csv
V,jedna_hra.csv
V,turnaj_detaily.csv
V,udalost.csv
V,prilezitost.csv
V,preruseni_omezeni_kursova_toto.csv
V,prilezitost_kurs.csv
V,tiket.csv
V,toto_udalost.csv
V,seznam_sazek.csv
V,hra_toky.csv
V,sdileni.csv
V,hra_toky_kursova.csv
V,kursova_toto_rozpad.csv
V,hra_toky_kursova.csv
V,sdileni_oprava.csv
V,ostatni_plneni.csv
V,ostatni_plneni_oprava.csv
V,prihlaseni.csv
V,sebeomezeni.csv
V,sebeomezeni_hra_druh.csv
V,ucet.csv
V,doba_ucasti.csv
V,mena_kurs.csv
