Model,GameType,FileName
V,L,provozovatel.csv
V,L,konto.csv
V,L,misto.csv
V,L,evidence_her.csv
V,L,konto_zmeny.csv
V,L,jedna_hra.csv
V,L,hra_toky.csv
V,L,vazba_hra_sazka.csv
V,L,sdileni.csv
V,L,hra_toky_oprava.csv
V,L,sdileni_oprava.csv
V,L,ostatni_plneni.csv
V,L,ostatni_plneni_oprava.csv
V,L,prihlaseni.csv
V,L,sebeomezeni.csv
V,L,sebeomezeni_hra_druh.csv
V,L,ucet.csv
V,L,mena_kurs.csv
V,K,provozovatel.csv
V,K,konto.csv
V,K,misto.csv
V,K,evidence_her.csv
V,K,konto_zmeny.csv
V,K,udalost.csv
V,K,prilezitost.csv
V,K,preruseni_omezeni_kursova_toto.csv
V,K,prilezitost_kurs.csv
V,K,tiket.csv
V,K,hra_toky.csv
V,K,vazba_hra_sazka.csv
V,K,hra_toky_kursova.csv
V,K,kursova_toto_rozpad.csv
V,K,hra_toky_oprava.csv
V,K,ostatni_plneni.csv
V,K,ostatni_plneni_oprava.csv
V,K,prihlaseni.csv
V,K,sebeomezeni.csv
V,K,sebeomezeni_hra_druh.csv
V,K,ucet.csv
V,K,mena_kurs.csv
V,R,provozovatel.csv
V,R,konto.csv
V,R,misto.csv
V,R,evidence_her.csv
V,R,konto_zmeny.csv
V,R,udalost.csv
V,R,prilezitost.csv
V,R,preruseni_omezeni_kursova_toto.csv
V,R,jedna_hra.csv
V,R,toto_udalost.csv
V,R,hra_toky.csv
V,R,vazba_hra_sazka.csv
V,R,kursova_toto_rozpad.csv
V,R,hra_toky_oprava.csv
V,R,ostatni_plneni.csv
V,R,ostatni_plneni_oprava.csv
V,R,prihlaseni.csv
V,R,sebeomezeni.csv
V,R,sebeomezeni_hra_druh.csv
V,R,ucet.csv
V,R,mena_kurs.csv
V,B,provozovatel.csv
V,B,konto.csv
V,B,evidence_her.csv
V,B,konto_zmeny.csv
V,B,jedna_hra.csv
V,B,hra_toky.csv
V,B,vazba_hra_sazka.csv
V,B,hra_toky_oprava.csv
V,B,ostatni_plneni.csv
V,B,ostatni_plneni_oprava.csv
V,B,prihlaseni.csv
V,B,sebeomezeni.csv
V,B,sebeomezeni_hra_druh.csv
V,B,ucet.csv
V,B,mena_kurs.csv
V,T,provozovatel.csv
V,T,konto.csv
V,T,misto.csv
V,T,herni_pozice.csv
V,T,evidence_her.csv
V,T,konto_zmeny.csv
V,T,hra_toky.csv
V,T,vazba_hra_sazka.csv
V,T,hra_toky_oprava.csv
V,T,ostatni_plneni.csv
V,T,ostatni_plneni_oprava.csv
V,T,prihlaseni.csv
V,T,sebeomezeni.csv
V,T,sebeomezeni_hra_druh.csv
V,T,ucet.csv
V,T,doba_ucasti.csv
V,T,mena_kurs.csv
V,Z,provozovatel.csv
V,Z,konto.csv
V,Z,evidence_her.csv
V,Z,konto_zmeny.csv
V,Z,jedna_hra.csv
V,Z,turnaj_detaily.csv
V,Z,hra_toky.csv
V,Z,vazba_hra_sazka.csv
V,Z,hra_toky_oprava.csv
V,Z,ostatni_plneni.csv
V,Z,ostatni_plneni_oprava.csv
V,Z,prihlaseni.csv
V,Z,sebeomezeni.csv
V,Z,sebeomezeni_hra_druh.csv
V,Z,ucet.csv
V,Z,mena_kurs.csv
M,B,provozovatel.csv
M,B,misto.csv
M,B,evidence_her.csv
M,B,pokladna_stul_turnaj_bingo.csv
M,B,pstb_transakce.csv
M,B,hra_turnaj_bingo.csv
M,B,mozna_vyhra_stul_bingo.csv
M,B,mena_kurs.csv
M,Z,provozovatel.csv
M,Z,misto.csv
M,Z,evidence_her.csv
M,Z,pokladna_stul_turnaj_bingo.csv
M,Z,prostredek.csv
M,Z,pstb_transakce.csv
M,Z,hra_turnaj_bingo.csv
M,Z,mozna_vyhra_stul_bingo.csv
M,Z,mozna_vyhra_pro_hru.csv
M,Z,mena_kurs.csv
