#28178653-V-2020033000-T-01;doba_ucasti.csv;2020-03-30T08:18:55.1+02:00;1.0
"iddobaucasti";"iduzivkonto";"zacatekucasticas";"konecucasticas"
"28178653-10168500_300320000950";"28178653-10168500";"2020-03-30T00:09:50.0+02:00";"2020-03-30T00:11:32.1+02:00"
"28178653-10029115_300320051957";"28178653-10029115";"2020-03-30T05:19:57.0+02:00";"2020-03-30T05:22:22.1+02:00"
"28178653-10027573_300320064647";"28178653-10027573";"2020-03-30T06:46:47.0+02:00";"2020-03-30T06:50:19.1+02:00"
"28178653-10028397_300320001837";"28178653-10028397";"2020-03-30T00:18:37.0+02:00";"2020-03-30T00:27:19.1+02:00"
"28178653-10026885_300320072344";"28178653-10026885";"2020-03-30T07:23:44.0+02:00";"2020-03-30T07:24:55.1+02:00"
"28178653-10028653_300320011015";"28178653-10028653";"2020-03-30T01:10:15.0+02:00";"2020-03-30T01:10:15.1+02:00"
"28178653-10160162_300320004202";"28178653-10160162";"2020-03-30T00:42:02.0+02:00";"2020-03-30T00:44:51.1+02:00"
"28178653-10027281_300320004116";"28178653-10027281";"2020-03-30T00:41:16.0+02:00";"2020-03-30T00:42:15.1+02:00"
"28178653-10027281_300320001836";"28178653-10027281";"2020-03-30T00:18:36.0+02:00";"2020-03-30T00:19:09.1+02:00"
"28178653-10222888_300320054714";"28178653-10222888";"2020-03-30T05:47:14.0+02:00";"2020-03-30T06:24:18.1+02:00"
"28178653-10032924_290320235427";"28178653-10032924";"2020-03-29T23:54:27.0+02:00";"2020-03-30T00:12:35.1+02:00"
"28178653-10030346_300320060240";"28178653-10030346";"2020-03-30T06:02:40.0+02:00";"2020-03-30T06:02:40.1+02:00"
"28178653-10032205_300320074510";"28178653-10032205";"2020-03-30T07:45:10.0+02:00";
"28178653-10032218_300320061544";"28178653-10032218";"2020-03-30T06:15:44.0+02:00";"2020-03-30T06:16:03.1+02:00"
"28178653-10032278_300320002659";"28178653-10032278";"2020-03-30T00:26:59.0+02:00";"2020-03-30T00:56:29.1+02:00"
"28178653-10029852_300320065404";"28178653-10029852";"2020-03-30T06:54:04.0+02:00";"2020-03-30T07:18:21.1+02:00"
"28178653-10029852_300320034505";"28178653-10029852";"2020-03-30T03:45:05.0+02:00";"2020-03-30T04:25:07.1+02:00"
"28178653-10159667_300320063409";"28178653-10159667";"2020-03-30T06:34:09.0+02:00";"2020-03-30T06:38:43.1+02:00"
"28178653-10159667_300320004439";"28178653-10159667";"2020-03-30T00:44:39.0+02:00";"2020-03-30T01:04:36.1+02:00"
"28178653-10132513_300320003433";"28178653-10132513";"2020-03-30T00:34:33.0+02:00";"2020-03-30T01:05:03.1+02:00"
"28178653-10132513_300320001534";"28178653-10132513";"2020-03-30T00:15:34.0+02:00";"2020-03-30T00:16:36.1+02:00"
"28178653-10132952_300320054047";"28178653-10132952";"2020-03-30T05:40:47.0+02:00";"2020-03-30T05:45:18.1+02:00"
"28178653-10154316_300320042233";"28178653-10154316";"2020-03-30T04:22:33.0+02:00";"2020-03-30T04:24:13.1+02:00"
"28178653-10135904_300320053309";"28178653-10135904";"2020-03-30T05:33:09.0+02:00";"2020-03-30T05:57:03.1+02:00"
"28178653-10135904_300320035220";"28178653-10135904";"2020-03-30T03:52:20.0+02:00";"2020-03-30T04:02:54.1+02:00"
"28178653-10135955_300320043605";"28178653-10135955";"2020-03-30T04:36:05.0+02:00";"2020-03-30T04:46:10.1+02:00"
"28178653-10134336_300320072542";"28178653-10134336";"2020-03-30T07:25:42.0+02:00";"2020-03-30T07:28:00.1+02:00"
"28178653-10133576_300320072016";"28178653-10133576";"2020-03-30T07:20:16.0+02:00";
"28178653-10133576_300320024402";"28178653-10133576";"2020-03-30T02:44:02.0+02:00";"2020-03-30T03:10:45.1+02:00"
"28178653-10133617_300320073514";"28178653-10133617";"2020-03-30T07:35:14.0+02:00";
"28178653-10133617_300320070623";"28178653-10133617";"2020-03-30T07:06:23.0+02:00";"2020-03-30T07:08:31.1+02:00"
"28178653-10133617_300320061821";"28178653-10133617";"2020-03-30T06:18:21.0+02:00";"2020-03-30T06:23:55.1+02:00"
"28178653-10136100_300320055521";"28178653-10136100";"2020-03-30T05:55:21.0+02:00";"2020-03-30T05:56:15.1+02:00"
"28178653-10134784_300320001801";"28178653-10134784";"2020-03-30T00:18:01.0+02:00";"2020-03-30T00:21:05.1+02:00"
"28178653-10115952_300320063602";"28178653-10115952";"2020-03-30T06:36:02.0+02:00";"2020-03-30T06:36:34.1+02:00"
"28178653-10115461_300320061543";"28178653-10115461";"2020-03-30T06:15:43.0+02:00";"2020-03-30T06:17:29.1+02:00"
"28178653-10115461_300320002632";"28178653-10115461";"2020-03-30T00:26:32.0+02:00";"2020-03-30T00:37:04.1+02:00"
"28178653-10142506_300320013202";"28178653-10142506";"2020-03-30T01:32:02.0+02:00";"2020-03-30T01:33:51.1+02:00"
"28178653-10184190_300320011638";"28178653-10184190";"2020-03-30T01:16:38.0+02:00";"2020-03-30T01:23:20.1+02:00"
"28178653-10140559_300320000332";"28178653-10140559";"2020-03-30T00:03:32.0+02:00";"2020-03-30T00:04:55.1+02:00"
"28178653-10142215_290320223614";"28178653-10142215";"2020-03-29T22:36:14.0+02:00";"2020-03-30T00:36:10.1+02:00"
"28178653-10140575_300320063719";"28178653-10140575";"2020-03-30T06:37:19.0+02:00";"2020-03-30T06:39:36.1+02:00"
"28178653-10123328_300320061807";"28178653-10123328";"2020-03-30T06:18:07.0+02:00";"2020-03-30T06:20:01.1+02:00"
"28178653-10153645_300320055256";"28178653-10153645";"2020-03-30T05:52:56.0+02:00";"2020-03-30T05:59:48.1+02:00"
"28178653-10122664_300320032524";"28178653-10122664";"2020-03-30T03:25:24.0+02:00";"2020-03-30T03:51:06.1+02:00"
"28178653-10121276_300320070204";"28178653-10121276";"2020-03-30T07:02:04.0+02:00";
"28178653-10121276_300320062144";"28178653-10121276";"2020-03-30T06:21:44.0+02:00";"2020-03-30T06:24:27.1+02:00"
