#28178653-V-2020033000-T-01;hra_toky.csv;2020-03-30T08:18:15.7+02:00;1.0
"IDHraToky";"HraDruh";"HraKategorie";"IDUzivKonto";"SazkaVysePuvodni";"SazkaPrijetiCas";"DoprovodnePlneniVysePuvodni";"DoprovodnePlneniCas";"SazkaHerniKombinace";"VyhraVyseNarok";"VyhraVysePuvodni";"VyhraVyplaceniCas";"MenaKod";"IDMisto";"IDHerniPozice"
"28178653-5037991404";"T";"h";"28178653-10026885";"2,50";"2020-03-30T07:23:44.9+02:00";;;;;"5,00";"2020-03-30T07:23:45.1+02:00";"CZK";;
"28178653-5035190925";"T";"h";"28178653-10027281";"0,50";"2020-03-30T00:18:36.5+02:00";;;;;"0,00";"2020-03-30T00:18:36.5+02:00";"CZK";;
"28178653-5037680161";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:16:33.2+02:00";;;;;"3,00";"2020-03-30T06:16:33.8+02:00";"CZK";;
"28178653-5037687134";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:18:31.5+02:00";;;;;"9,00";"2020-03-30T06:18:32.6+02:00";"CZK";;
"28178653-5037670780";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:13:57.9+02:00";;;;;"0,00";"2020-03-30T06:13:57.9+02:00";"CZK";;
"28178653-5037691913";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:19:51.4+02:00";;;;;"0,00";"2020-03-30T06:19:51.4+02:00";"CZK";;
"28178653-5037656019";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:09:54.9+02:00";;;;;"0,00";"2020-03-30T06:09:54.9+02:00";"CZK";;
"28178653-5037696147";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:20:38.6+02:00";;;;;"0,00";"2020-03-30T06:20:38.6+02:00";"CZK";;
"28178653-5037677969";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:16:07.2+02:00";;;;;"0,00";"2020-03-30T06:16:07.2+02:00";"CZK";;
"28178653-5037678294";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:15:57.8+02:00";;;;;"0,00";"2020-03-30T06:15:57.8+02:00";"CZK";;
"28178653-5037675149";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:15:11.6+02:00";;;;;"0,00";"2020-03-30T06:15:11.6+02:00";"CZK";;
"28178653-5037671275";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:14:12.1+02:00";;;;;"0,00";"2020-03-30T06:14:12.1+02:00";"CZK";;
"28178653-5037656799";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:10:15.9+02:00";;;;;"0,00";"2020-03-30T06:10:15.9+02:00";"CZK";;
"28178653-5037678221";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:15:53.9+02:00";;;;;"0,00";"2020-03-30T06:15:53.9+02:00";"CZK";;
"28178653-5037660082";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:10:55.7+02:00";;;;;"0,00";"2020-03-30T06:10:55.7+02:00";"CZK";;
"28178653-5037686757";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:18:24.1+02:00";;;;;"0,00";"2020-03-30T06:18:24.1+02:00";"CZK";;
"28178653-5037695798";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:20:44.3+02:00";;;;;"0,00";"2020-03-30T06:20:44.3+02:00";"CZK";;
"28178653-5037682695";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:17:26.3+02:00";;;;;"0,00";"2020-03-30T06:17:26.3+02:00";"CZK";;
"28178653-5037690668";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:19:22.0+02:00";;;;;"0,00";"2020-03-30T06:19:22.0+02:00";"CZK";;
"28178653-5037604082";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:54:09.2+02:00";;;;;"0,00";"2020-03-30T05:54:09.2+02:00";"CZK";;
"28178653-5037583650";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:48:31.3+02:00";;;;;"0,00";"2020-03-30T05:48:31.3+02:00";"CZK";;
"28178653-5037586177";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:49:15.7+02:00";;;;;"2,00";"2020-03-30T05:49:16.2+02:00";"CZK";;
"28178653-5037598736";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:52:44.6+02:00";;;;;"0,00";"2020-03-30T05:52:44.6+02:00";"CZK";;
"28178653-5037579834";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:47:35.3+02:00";;;;;"0,00";"2020-03-30T05:47:35.3+02:00";"CZK";;
"28178653-5037622453";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:59:52.3+02:00";;;;;"20,00";"2020-03-30T05:59:53.3+02:00";"CZK";;
"28178653-5037596747";"T";"h";"28178653-10222888";"1,00";"2020-03-30T05:52:12.1+02:00";;;;;"12,00";"2020-03-30T05:52:13.2+02:00";"CZK";;
"28178653-5037637346";"T";"h";"28178653-10222888";"2,00";"2020-03-30T06:04:25.0+02:00";;;;;"0,00";"2020-03-30T06:04:25.0+02:00";"CZK";;
"28178653-5037645425";"T";"h";"28178653-10222888";"1,00";"2020-03-30T06:07:05.0+02:00";;;;;"0,00";"2020-03-30T06:07:05.0+02:00";"CZK";;
"28178653-5037636707";"T";"h";"28178653-10222888";"2,00";"2020-03-30T06:04:30.5+02:00";;;;;"0,00";"2020-03-30T06:04:30.5+02:00";"CZK";;
