#28178653-V-2020033000-T-01;hra_toky_oprava.csv;2020-03-30T08:18:48.5+02:00;1.0
"IDHraTokyOprava";"IDHraToky";"TypTokyOprava";"TokyOpravaVyse";"TokyOpravaCas";"MenaKod"
"28178653-5037205535";"28178653-5037205143";"G";"8,00";"2020-03-30T04:02:14.9+02:00";"CZK"
"28178653-5035287533";"28178653-5035266958";"G";"10,00";"2020-03-30T00:30:19.8+02:00";"CZK"
"28178653-5035221338";"28178653-5035219605";"G";"20,00";"2020-03-30T00:22:12.2+02:00";"CZK"
"28178653-5035231554";"28178653-5035228515";"G";"2,00";"2020-03-30T00:23:40.4+02:00";"CZK"
"28178653-5035226019";"28178653-5035136216";"G";"20,00";"2020-03-30T00:22:52.6+02:00";"CZK"
"28178653-5035252265";"28178653-5035251186";"G";"20,00";"2020-03-30T00:26:09.3+02:00";"CZK"
"28178653-5035181109";"28178653-5035176865";"G";"6,00";"2020-03-30T00:17:08.9+02:00";"CZK"
"28178653-5035159468";"28178653-5035155970";"G";"7,00";"2020-03-30T00:14:34.3+02:00";"CZK"
"28178653-5035110534";"28178653-5035108095";"G";"5,00";"2020-03-30T00:07:16.6+02:00";"CZK"
"28178653-5035353944";"28178653-5035353342";"G";"100,00";"2020-03-30T00:36:08.1+02:00";"CZK"
"28178653-5037210213";"28178653-5037208741";"G";"100,00";"2020-03-30T04:04:16.4+02:00";"CZK"
"28178653-5035687335";"28178653-5035536208";"G";"100,00";"2020-03-30T01:00:50.0+02:00";"CZK"
"28178653-5035696862";"28178653-5035465203";"G";"100,00";"2020-03-30T01:01:24.4+02:00";"CZK"
"28178653-5035691911";"28178653-5035512846";"G";"100,00";"2020-03-30T01:01:10.1+02:00";"CZK"
"28178653-5035224753";"28178653-5035136491";"G";"100,00";"2020-03-30T00:22:49.0+02:00";"CZK"
"28178653-5035149491";"28178653-5035147521";"G";"1,00";"2020-03-30T00:12:41.4+02:00";"CZK"
"28178653-5035201767";"28178653-5035197896";"G";"0,10";"2020-03-30T00:19:38.8+02:00";"CZK"
"28178653-5035699188";"28178653-5035450342";"G";"4,00";"2020-03-30T01:01:33.2+02:00";"CZK"
"28178653-5035708931";"28178653-5035403196";"G";"4,00";"2020-03-30T01:02:13.7+02:00";"CZK"
"28178653-5035704443";"28178653-5035432630";"G";"4,00";"2020-03-30T01:01:53.6+02:00";"CZK"
"28178653-5035223372";"28178653-5035145799";"G";"100,00";"2020-03-30T00:22:34.2+02:00";"CZK"
"28178653-5035213339";"28178653-5035156798";"G";"200,00";"2020-03-30T00:21:12.2+02:00";"CZK"
"28178653-5035211278";"28178653-5035159249";"G";"200,00";"2020-03-30T00:20:56.4+02:00";"CZK"
"28178653-5035215893";"28178653-5035154634";"G";"100,00";"2020-03-30T00:21:34.1+02:00";"CZK"
"28178653-5035115419";"28178653-5035113771";"G";"100,00";"2020-03-30T00:08:01.3+02:00";"CZK"
"28178653-5035203543";"28178653-5035200569";"G";"20,00";"2020-03-30T00:19:51.7+02:00";"CZK"
"28178653-5035476804";"28178653-5035475007";"G";"1,00";"2020-03-30T00:45:17.1+02:00";"CZK"
"28178653-5035450086";"28178653-5035446125";"G";"1,00";"2020-03-30T00:42:56.3+02:00";"CZK"
"28178653-5035371090";"28178653-5035365715";"G";"1,00";"2020-03-30T00:37:25.1+02:00";"CZK"
"28178653-5035269446";"28178653-5035268210";"G";"1,00";"2020-03-30T00:28:08.6+02:00";"CZK"
"28178653-5035545274";"28178653-5035540477";"G";"50,00";"2020-03-30T00:50:36.6+02:00";"CZK"
"28178653-5035327011";"28178653-5035324091";"G";"50,00";"2020-03-30T00:33:55.4+02:00";"CZK"
"28178653-5035692787";"28178653-5035515018";"G";"20,00";"2020-03-30T01:01:09.3+02:00";"CZK"
"28178653-5035677856";"28178653-5035615587";"G";"20,00";"2020-03-30T01:00:10.3+02:00";"CZK"
"28178653-5035682004";"28178653-5035565729";"G";"20,00";"2020-03-30T01:00:26.4+02:00";"CZK"
"28178653-5035444184";"28178653-5035198361";"G";"20,00";"2020-03-30T00:42:29.8+02:00";"CZK"
"28178653-5035441378";"28178653-5035199744";"G";"20,00";"2020-03-30T00:42:20.5+02:00";"CZK"
"28178653-5035294270";"28178653-5035246859";"G";"40,00";"2020-03-30T00:31:00.1+02:00";"CZK"
"28178653-5035296113";"28178653-5035233732";"G";"20,00";"2020-03-30T00:31:07.6+02:00";"CZK"
"28178653-5035287126";"28178653-5035268661";"G";"20,00";"2020-03-30T00:30:11.2+02:00";"CZK"
"28178653-5035568426";"28178653-5035564576";"G";"10,00";"2020-03-30T00:52:28.2+02:00";"CZK"
"28178653-5035520858";"28178653-5035518667";"G";"10,00";"2020-03-30T00:48:24.1+02:00";"CZK"
"28178653-5035329268";"28178653-5035325338";"G";"6,00";"2020-03-30T00:34:10.1+02:00";"CZK"
"28178653-5035138136";"28178653-5035108066";"G";"5,00";"2020-03-30T00:11:00.9+02:00";"CZK"
"28178653-5035147557";"28178653-5035145382";"G";"10,00";"2020-03-30T00:12:22.3+02:00";"CZK"
"28178653-5035328658";"28178653-5035325763";"G";"1,00";"2020-03-30T00:34:14.3+02:00";"CZK"
"28178653-5035302509";"28178653-5035298963";"G";"1,00";"2020-03-30T00:31:46.9+02:00";"CZK"
"28178653-5035217408";"28178653-5035155205";"G";"5,00";"2020-03-30T00:21:40.6+02:00";"CZK"
"28178653-5035214320";"28178653-5035157221";"G";"5,00";"2020-03-30T00:21:16.3+02:00";"CZK"
"28178653-5035452119";"28178653-5035446419";"G";"0,10";"2020-03-30T00:43:06.7+02:00";"CZK"
"28178653-5035201349";"28178653-5035198515";"G";"16,00";"2020-03-30T00:19:32.3+02:00";"CZK"
"28178653-5035149589";"28178653-5035135563";"G";"15,00";"2020-03-30T00:12:43.0+02:00";"CZK"
