#28178653-V-2020033000-T-01;konto.csv;2020-03-30T08:17:55.4+02:00;1.0
"IDUzivKonto";"IDProvozovatel";"ZrizeniCas"
"28178653-10121104";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121105";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121107";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121093";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121112";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121117";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121119";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10121123";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10156387";"28178653";"2006-11-03T17:51:34.0+02:00"
"28178653-10158909";"28178653";"2006-11-08T08:48:18.0+02:00"
"28178653-10153683";"28178653";"2006-10-02T14:38:41.0+02:00"
"28178653-10155398";"28178653";"2006-10-19T17:46:00.0+02:00"
"28178653-10120563";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120569";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120576";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10154885";"28178653";"2006-10-16T14:12:02.0+02:00"
"28178653-10156068";"28178653";"2006-10-31T13:32:34.0+02:00"
"28178653-10159667";"28178653";"2006-11-14T08:50:17.0+02:00"
"28178653-10120552";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120557";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120609";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120611";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120612";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120629";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10164954";"28178653";"2006-11-20T15:04:35.0+02:00"
"28178653-10165095";"28178653";"2006-11-21T10:58:56.0+02:00"
"28178653-10168883";"28178653";"2007-01-02T15:07:17.0+02:00"
"28178653-10153400";"28178653";"2006-09-26T09:48:48.0+02:00"
"28178653-10120651";"28178653";"2006-08-07T10:37:14.0+02:00"
"28178653-10120655";"28178653";"2006-08-07T10:37:14.0+02:00"
