#28178653-V-2020033000-T-01;konto_zmeny.csv;2020-03-30T08:18:05.1+02:00;1.0
"IDZaznamUzivKonto";"IDUzivKonto";"HraDruh";"Landbased";"Internet";"DocasneTrvale";"ZmenaCas"
"28178653-3050979";"28178653-11601800";"T";1;1;"T";"2020-03-30T05:08:05.0+02:00"
"28178653-3050817";"28178653-11391176";"T";1;1;"T";"2020-03-30T00:54:38.0+02:00"
"28178653-3050959";"28178653-12370114";"T";1;1;"D";"2020-03-30T04:38:53.0+02:00"
"28178653-3050980";"28178653-12370131";"T";1;1;"D";"2020-03-30T05:13:02.0+02:00"
"28178653-3050956";"28178653-12370112";"T";1;1;"D";"2020-03-30T04:29:23.0+02:00"
"28178653-3050957";"28178653-12370112";"T";1;1;"T";"2020-03-30T04:35:12.0+02:00"
"28178653-3051044";"28178653-12370187";"T";1;1;"D";"2020-03-30T07:59:27.0+02:00"
"28178653-3050834";"28178653-12370003";"T";1;1;"D";"2020-03-30T01:14:08.0+02:00"
"28178653-3050844";"28178653-12370012";"T";1;1;"D";"2020-03-30T01:25:19.0+02:00"
"28178653-3050949";"28178653-12370106";"T";1;1;"D";"2020-03-30T04:19:11.0+02:00"
"28178653-3050976";"28178653-12370128";"T";1;1;"D";"2020-03-30T05:00:42.0+02:00"
"28178653-3050998";"28178653-12370149";"T";1;1;"D";"2020-03-30T06:17:05.0+02:00"
"28178653-3051003";"28178653-12370153";"T";1;1;"D";"2020-03-30T06:22:59.0+02:00"
"28178653-3051010";"28178653-12370160";"T";1;1;"D";"2020-03-30T06:44:42.0+02:00"
"28178653-3050896";"28178653-12370057";"T";1;1;"D";"2020-03-30T02:51:14.0+02:00"
"28178653-3050865";"28178653-12370029";"T";1;1;"D";"2020-03-30T02:07:01.0+02:00"
"28178653-3050875";"28178653-12370039";"T";1;1;"D";"2020-03-30T02:17:54.0+02:00"
"28178653-3050881";"28178653-12370045";"T";1;1;"D";"2020-03-30T02:29:51.0+02:00"
"28178653-3050972";"28178653-12370124";"T";1;1;"D";"2020-03-30T04:53:00.0+02:00"
"28178653-3051007";"28178653-12370157";"T";1;1;"D";"2020-03-30T06:35:35.0+02:00"
"28178653-3051018";"28178653-12370166";"T";1;1;"D";"2020-03-30T07:02:57.0+02:00"
"28178653-3050987";"28178653-12370138";"T";1;1;"D";"2020-03-30T05:33:29.0+02:00"
"28178653-3050996";"28178653-12370147";"T";1;1;"D";"2020-03-30T06:09:50.0+02:00"
"28178653-3050928";"28178653-12370087";"T";1;1;"D";"2020-03-30T03:33:42.0+02:00"
"28178653-3050954";"28178653-12370111";"T";1;1;"D";"2020-03-30T04:24:19.0+02:00"
"28178653-3050835";"28178653-12370004";"T";1;1;"D";"2020-03-30T01:15:42.0+02:00"
"28178653-3050907";"28178653-12370066";"T";1;1;"D";"2020-03-30T03:01:06.0+02:00"
"28178653-3050936";"28178653-12370095";"T";1;1;"D";"2020-03-30T03:51:39.0+02:00"
"28178653-3050847";"28178653-12370015";"T";1;1;"D";"2020-03-30T01:39:35.0+02:00"
"28178653-3050939";"28178653-12370098";"T";1;1;"D";"2020-03-30T04:04:09.0+02:00"
"28178653-3050989";"28178653-12370140";"T";1;1;"D";"2020-03-30T05:42:02.0+02:00"
"28178653-3050853";"28178653-12370020";"T";1;1;"D";"2020-03-30T01:48:35.0+02:00"
"28178653-3050973";"28178653-12370125";"T";1;1;"D";"2020-03-30T04:53:36.0+02:00"
"28178653-3050978";"28178653-12370130";"T";1;1;"D";"2020-03-30T05:03:09.0+02:00"
"28178653-3050842";"28178653-12370010";"T";1;1;"D";"2020-03-30T01:22:16.0+02:00"
"28178653-3050867";"28178653-12370031";"T";1;1;"D";"2020-03-30T02:08:05.0+02:00"
"28178653-3050877";"28178653-12370041";"T";1;1;"D";"2020-03-30T02:21:32.0+02:00"
