#28178653-V-2020033000-T-01;ostatni_plneni.csv;2020-03-30T08:18:51.6+02:00;1.0
"IDOstatniPlneni";"IDProvozovatel";"IDUzivKonto";"HraDruh";"OstatniPlneniVysePuvodni";"OstatniPlneniCas";"MenaKod";"IDMisto"
"28178653-2479032968";"28178653";"28178653-10221516";"T";"15,00";"2020-03-30T06:29:15.0+02:00";"CZK";
"28178653-2479026206";"28178653";"28178653-10229550";"T";"25,00";"2020-03-30T05:23:29.0+02:00";"CZK";
"28178653-2479030159";"28178653";"28178653-10250570";"T";"5,00";"2020-03-30T05:55:05.0+02:00";"CZK";
"28178653-2479041868";"28178653";"28178653-10125881";"T";"5,00";"2020-03-30T07:41:16.0+02:00";"CZK";
"28178653-2479028757";"28178653";"28178653-10071041";"T";"5,00";"2020-03-30T05:45:58.0+02:00";"CZK";
"28178653-2479031494";"28178653";"28178653-10388077";"T";"15,00";"2020-03-30T06:12:54.0+02:00";"CZK";
"28178653-2478978241";"28178653";"28178653-12234195";"T";"5,00";"2020-03-30T00:05:36.0+02:00";"CZK";
"28178653-2478985741";"28178653";"28178653-12234195";"T";"15,00";"2020-03-30T00:31:45.0+02:00";"CZK";
"28178653-2478982522";"28178653";"28178653-12234195";"T";"5,00";"2020-03-30T00:20:18.0+02:00";"CZK";
"28178653-2479038111";"28178653";"28178653-10264020";"T";"50,00";"2020-03-30T07:14:08.0+02:00";"CZK";
"28178653-2479035331";"28178653";"28178653-10105465";"T";"5,00";"2020-03-30T06:49:56.0+02:00";"CZK";
"28178653-2478994191";"28178653";"28178653-12230217";"T";"5,00";"2020-03-30T01:16:51.0+02:00";"CZK";
"28178653-2478980962";"28178653";"28178653-12230217";"T";"15,00";"2020-03-30T00:14:08.0+02:00";"CZK";
"28178653-2479024197";"28178653";"28178653-12236912";"T";"10,00";"2020-03-30T04:59:56.0+02:00";"CZK";
"28178653-2479033527";"28178653";"28178653-12277810";"T";"5,00";"2020-03-30T06:34:59.0+02:00";"CZK";
"28178653-2479032553";"28178653";"28178653-12277810";"T";"5,00";"2020-03-30T06:23:57.0+02:00";"CZK";
"28178653-2479030461";"28178653";"28178653-12277810";"T";"5,00";"2020-03-30T05:59:36.0+02:00";"CZK";
"28178653-2479043704";"28178653";"28178653-10525546";"T";"5,00";"2020-03-30T07:51:41.0+02:00";"CZK";
"28178653-2479037313";"28178653";"28178653-12298005";"T";"20,30";"2020-03-30T07:07:12.0+02:00";"CZK";
"28178653-2479017310";"28178653";"28178653-12298005";"T";"30,00";"2020-03-30T03:19:58.0+02:00";"CZK";
"28178653-2479034807";"28178653";"28178653-12298005";"T";"30,00";"2020-03-30T06:44:55.0+02:00";"CZK";
"28178653-2479030068";"28178653";"28178653-10630088";"T";"15,00";"2020-03-30T05:53:47.0+02:00";"CZK";
"28178653-2479036323";"28178653";"28178653-12238710";"T";"5,00";"2020-03-30T06:58:11.0+02:00";"CZK";
