#28178653-V-2020033000-T-01;prihlaseni.csv;2020-03-30T08:18:56.4+02:00;1.0
"idprihlaseni";"iduzivkonto";"prihlasenicas";"odhlasenicas";"idhernipozice"
"28178653-470969196";"28178653-10168500";"2020-03-30T04:19:18.0+02:00";"2020-03-30T04:19:18.1+02:00";
"28178653-470968654";"28178653-10168500";"2020-03-30T04:05:48.0+02:00";"2020-03-30T04:05:48.1+02:00";
"28178653-470957944";"28178653-10168500";"2020-03-30T01:49:22.0+02:00";"2020-03-30T01:50:22.1+02:00";
"28178653-470955341";"28178653-10168500";"2020-03-30T01:27:22.0+02:00";"2020-03-30T01:27:22.1+02:00";
"28178653-470954510";"28178653-10168500";"2020-03-30T01:21:21.0+02:00";"2020-03-30T01:21:21.1+02:00";
"28178653-470944937";"28178653-10168500";"2020-03-30T00:35:18.0+02:00";"2020-03-30T00:35:18.1+02:00";
"28178653-470939976";"28178653-10168500";"2020-03-30T00:05:16.0+02:00";"2020-03-30T00:11:47.1+02:00";
"28178653-470977364";"28178653-10024619";"2020-03-30T06:04:08.0+02:00";"2020-03-30T06:05:08.1+02:00";
"28178653-470980387";"28178653-10024619";"2020-03-30T06:29:39.0+02:00";"2020-03-30T06:31:39.1+02:00";
"28178653-470984377";"28178653-10150281";"2020-03-30T07:05:12.0+02:00";"2020-03-30T07:06:12.1+02:00";
"28178653-470960819";"28178653-10150281";"2020-03-30T02:04:04.0+02:00";"2020-03-30T02:11:05.1+02:00";
"28178653-470963610";"28178653-10150281";"2020-03-30T02:41:31.0+02:00";"2020-03-30T02:43:55.1+02:00";
"28178653-470965395";"28178653-10025540";"2020-03-30T03:08:19.0+02:00";"2020-03-30T03:09:19.1+02:00";
"28178653-470940484";"28178653-10150364";"2020-03-30T00:11:13.0+02:00";"2020-03-30T00:15:13.1+02:00";
"28178653-470991958";"28178653-10023043";"2020-03-30T07:34:04.0+02:00";;
"28178653-470987013";"28178653-10023043";"2020-03-30T06:34:10.0+02:00";"2020-03-30T07:27:42.1+02:00";
"28178653-470971778";"28178653-10023043";"2020-03-30T04:48:20.0+02:00";"2020-03-30T04:57:20.1+02:00";
"28178653-470953073";"28178653-10023043";"2020-03-30T01:03:51.0+02:00";"2020-03-30T01:10:51.1+02:00";
"28178653-470989401";"28178653-10025627";"2020-03-30T07:40:23.0+02:00";"2020-03-30T07:43:23.1+02:00";
"28178653-470962706";"28178653-10025627";"2020-03-30T02:33:05.0+02:00";"2020-03-30T02:33:05.1+02:00";
"28178653-470977191";"28178653-10025640";"2020-03-30T05:56:59.0+02:00";"2020-03-30T06:02:29.1+02:00";
"28178653-470976170";"28178653-10025640";"2020-03-30T05:46:59.0+02:00";"2020-03-30T05:51:29.1+02:00";
"28178653-470974967";"28178653-10025640";"2020-03-30T05:37:28.0+02:00";"2020-03-30T05:38:29.1+02:00";
"28178653-470973646";"28178653-10025640";"2020-03-30T04:40:27.0+02:00";"2020-03-30T05:22:58.1+02:00";
"28178653-470958048";"28178653-10025640";"2020-03-30T01:49:52.0+02:00";"2020-03-30T01:49:52.1+02:00";
"28178653-470950275";"28178653-10025640";"2020-03-30T00:56:20.0+02:00";"2020-03-30T00:56:59.1+02:00";
"28178653-470940228";"28178653-10025640";"2020-03-30T00:12:48.0+02:00";"2020-03-30T00:12:48.1+02:00";
"28178653-470982535";"28178653-10023966";"2020-03-30T06:52:11.0+02:00";"2020-03-30T06:53:28.1+02:00";
"28178653-470959524";"28178653-10024830";"2020-03-30T01:58:15.0+02:00";"2020-03-30T01:58:15.1+02:00";
"28178653-470970234";"28178653-10024830";"2020-03-30T04:30:51.0+02:00";"2020-03-30T04:30:51.1+02:00";
"28178653-470948715";"28178653-10024830";"2020-03-30T00:49:13.0+02:00";"2020-03-30T00:49:13.1+02:00";
"28178653-470943252";"28178653-10024830";"2020-03-30T00:19:42.0+02:00";"2020-03-30T00:23:42.1+02:00";
"28178653-470939485";"28178653-10024830";"2020-03-29T23:02:25.0+02:00";"2020-03-30T00:09:57.1+02:00";
"28178653-470985505";"28178653-10023231";"2020-03-30T07:14:21.0+02:00";"2020-03-30T07:14:21.1+02:00";
"28178653-470986739";"28178653-10023248";"2020-03-30T07:20:26.0+02:00";"2020-03-30T07:23:54.1+02:00";
"28178653-470988231";"28178653-10024990";"2020-03-30T07:09:10.0+02:00";"2020-03-30T07:31:40.1+02:00";
"28178653-470973954";"28178653-10029115";"2020-03-30T05:12:43.0+02:00";"2020-03-30T05:21:43.1+02:00";
"28178653-470991493";"28178653-10027470";"2020-03-30T07:51:15.0+02:00";"2020-03-30T07:52:15.1+02:00";
"28178653-470939606";"28178653-10028304";"2020-03-30T00:06:03.0+02:00";"2020-03-30T00:07:03.1+02:00";
"28178653-470968081";"28178653-10029143";"2020-03-30T03:49:47.0+02:00";"2020-03-30T03:50:47.1+02:00";
"28178653-470966484";"28178653-10029143";"2020-03-30T02:38:05.0+02:00";"2020-03-30T03:23:06.1+02:00";
"28178653-470978529";"28178653-10026735";"2020-03-30T06:15:46.0+02:00";"2020-03-30T06:15:46.1+02:00";
"28178653-470969658";"28178653-10150433";"2020-03-30T04:21:10.0+02:00";"2020-03-30T04:21:10.1+02:00";
"28178653-470983267";"28178653-10029241";"2020-03-30T06:55:39.0+02:00";"2020-03-30T07:00:09.1+02:00";
