#28178653-V-2020033000-T-01;sebeomezeni.csv;2020-03-30T08:18:52.0+02:00;1.0
"IDNastaveniSO";"IDUzivKonto";"TypSO";"HodnotaVyse";"HodnotaPocet";"HodnotaCas";"SONastaveniCas";"SOUcinnostiCas";"SOOdmitnuti";"MenaKod"
"28178653-18381743";"28178653-10045089";"c";"1000,00";;;"2020-03-30T06:43:29.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18380929";"28178653-10058231";"a";"999999999,00";;;"2020-03-30T00:23:36.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381740";"28178653-10252618";"d";"999999999,00";;;"2020-03-30T06:30:18.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381737";"28178653-10252618";"b";"999999999,00";;;"2020-03-30T06:30:03.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381738";"28178653-10252618";"c";"999999999,00";;;"2020-03-30T06:30:08.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18381739";"28178653-10252618";"a";"999999999,00";;;"2020-03-30T06:30:10.0+02:00";"2020-04-06T00:00:00.0+02:00";0;"CZK"
"28178653-18380927";"28178653-11222986";"b";;;;"2020-03-30T00:21:30.0+02:00";"2020-03-30T00:21:30.0+02:00";1;
"28178653-18380947";"28178653-10396202";"e";;1;;"2020-03-30T00:30:56.0+02:00";"2020-03-31T00:00:00.0+02:00";0;
"28178653-18380945";"28178653-10396202";"g";;;525600;"2020-03-30T00:30:38.0+02:00";"2020-04-06T00:00:00.0+02:00";0;
"28178653-18380948";"28178653-11234886";"a";"1000,00";;;"2020-03-30T00:31:19.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381042";"28178653-12269434";"d";"10,00";;;"2020-03-30T01:01:51.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381037";"28178653-12269434";"b";"10,00";;;"2020-03-30T01:01:39.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381296";"28178653-10500927";"b";"5,00";;;"2020-03-30T02:26:06.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
"28178653-18381297";"28178653-10500927";"c";"5,00";;;"2020-03-30T02:26:11.0+02:00";"2020-03-31T00:00:00.0+02:00";0;"CZK"
