#28178653-V-2020033000-T-01;sebeomezeni_hra_druh.csv;2020-03-30T08:18:53.6+02:00;1.0
"idsohradruh";"idnastaveniso";"hradruh"
"28178653-18381743";"28178653-18381743";"T"
"28178653-18380929";"28178653-18380929";"T"
"28178653-18381740";"28178653-18381740";"T"
"28178653-18381737";"28178653-18381737";"T"
"28178653-18381738";"28178653-18381738";"T"
"28178653-18381739";"28178653-18381739";"T"
"28178653-18380927";"28178653-18380927";"T"
"28178653-18380948";"28178653-18380948";"T"
"28178653-18381042";"28178653-18381042";"T"
"28178653-18381037";"28178653-18381037";"T"
"28178653-18381296";"28178653-18381296";"T"
"28178653-18381297";"28178653-18381297";"T"
"28178653-18381298";"28178653-18381298";"T"
"28178653-18381295";"28178653-18381295";"T"
"28178653-18381050";"28178653-18381050";"T"
"28178653-18381174";"28178653-18381174";"T"
"28178653-18381169";"28178653-18381169";"T"
"28178653-18381171";"28178653-18381171";"T"
"28178653-18381127";"28178653-18381127";"T"
"28178653-18381126";"28178653-18381126";"T"
"28178653-18381128";"28178653-18381128";"T"
"28178653-18381135";"28178653-18381135";"T"
"28178653-18381355";"28178653-18381355";"T"
"28178653-18381356";"28178653-18381356";"T"
"28178653-18380962";"28178653-18380962";"T"
"28178653-18380966";"28178653-18380966";"T"
"28178653-18380967";"28178653-18380967";"T"
"28178653-18381809";"28178653-18381809";"T"
"28178653-18381805";"28178653-18381805";"T"
"28178653-18380911";"28178653-18380911";"T"
"28178653-18381453";"28178653-18381453";"T"
"28178653-18381808";"28178653-18381808";"T"
"28178653-18381780";"28178653-18381780";"T"
"28178653-18381779";"28178653-18381779";"T"
"28178653-18381499";"28178653-18381499";"T"
"28178653-18381501";"28178653-18381501";"T"
"28178653-18381498";"28178653-18381498";"T"
"28178653-18381500";"28178653-18381500";"T"
"28178653-18381283";"28178653-18381283";"T"
"28178653-18381279";"28178653-18381279";"T"
"28178653-18381275";"28178653-18381275";"T"
"28178653-18381281";"28178653-18381281";"T"
"28178653-18381752";"28178653-18381752";"T"
"28178653-18381751";"28178653-18381751";"T"
"28178653-18381219";"28178653-18381219";"T"
"28178653-18381222";"28178653-18381222";"T"
"28178653-18381220";"28178653-18381220";"T"
"28178653-18381221";"28178653-18381221";"T"
"28178653-18381465";"28178653-18381465";"T"
"28178653-18381125";"28178653-18381125";"T"
"28178653-18381430";"28178653-18381430";"T"
"28178653-18381267";"28178653-18381267";"T"
"28178653-18381113";"28178653-18381113";"T"
"28178653-18381112";"28178653-18381112";"T"
"28178653-18381114";"28178653-18381114";"T"
"28178653-18381753";"28178653-18381753";"T"
"28178653-18381745";"28178653-18381745";"T"
"28178653-18381749";"28178653-18381749";"T"
"28178653-18381755";"28178653-18381755";"T"
"28178653-18381522";"28178653-18381522";"T"
"28178653-18381523";"28178653-18381523";"T"
"28178653-18381524";"28178653-18381524";"T"
"28178653-18381525";"28178653-18381525";"T"
"28178653-18381597";"28178653-18381597";"T"
"28178653-18381598";"28178653-18381598";"T"
"28178653-18381599";"28178653-18381599";"T"
"28178653-18381596";"28178653-18381596";"T"
"28178653-18381392";"28178653-18381392";"T"
"28178653-18381373";"28178653-18381373";"T"
"28178653-18381387";"28178653-18381387";"T"
"28178653-18381374";"28178653-18381374";"T"
"28178653-18381563";"28178653-18381563";"T"
"28178653-18381561";"28178653-18381561";"T"
"28178653-18381562";"28178653-18381562";"T"
"28178653-18381560";"28178653-18381560";"T"
"28178653-18381790";"28178653-18381790";"T"
"28178653-18381789";"28178653-18381789";"T"
"28178653-18381788";"28178653-18381788";"T"
"28178653-18381791";"28178653-18381791";"T"
"28178653-18381438";"28178653-18381438";"T"
"28178653-18381439";"28178653-18381439";"T"
"28178653-18381440";"28178653-18381440";"T"
"28178653-18381441";"28178653-18381441";"T"
"28178653-18381710";"28178653-18381710";"T"
"28178653-18381712";"28178653-18381712";"T"
"28178653-18381711";"28178653-18381711";"T"
"28178653-18381713";"28178653-18381713";"T"
"28178653-18380961";"28178653-18380961";"T"
"28178653-18380960";"28178653-18380960";"T"
"28178653-18381701";"28178653-18381701";"T"
"28178653-18381700";"28178653-18381700";"T"
"28178653-18381699";"28178653-18381699";"T"
"28178653-18381702";"28178653-18381702";"T"
"28178653-18381190";"28178653-18381190";"T"
"28178653-18381189";"28178653-18381189";"T"
"28178653-18381188";"28178653-18381188";"T"
"28178653-18381191";"28178653-18381191";"T"
"28178653-18381624";"28178653-18381624";"T"
