#28178653-V-2020033000-T-01;vazba_hra_sazka.csv;2020-03-30T08:18:08.5+02:00;1.0
"IDVazbaHraSazka";"IDHraPopis";"IDJednaHra";"IDHraToky"
"28178653-5037492683";"28178653-344";;"28178653-5037492683"
"28178653-5037493054";"28178653-344";;"28178653-5037493054"
"28178653-5035472062";"28178653-358";;"28178653-5035472062"
"28178653-5035190925";"28178653-348";;"28178653-5035190925"
"28178653-5037691010";"28178653-3087";;"28178653-5037691010"
"28178653-5037667352";"28178653-3087";;"28178653-5037667352"
"28178653-5037687854";"28178653-3087";;"28178653-5037687854"
"28178653-5037664257";"28178653-3087";;"28178653-5037664257"
"28178653-5037672773";"28178653-3087";;"28178653-5037672773"
"28178653-5037656549";"28178653-3085";;"28178653-5037656549"
"28178653-5037668265";"28178653-3087";;"28178653-5037668265"
"28178653-5037679783";"28178653-3087";;"28178653-5037679783"
"28178653-5037684133";"28178653-3087";;"28178653-5037684133"
"28178653-5037665383";"28178653-3087";;"28178653-5037665383"
"28178653-5037677003";"28178653-3087";;"28178653-5037677003"
"28178653-5037648680";"28178653-3084";;"28178653-5037648680"
"28178653-5037696582";"28178653-3087";;"28178653-5037696582"
"28178653-5037681596";"28178653-3087";;"28178653-5037681596"
"28178653-5037661582";"28178653-3087";;"28178653-5037661582"
"28178653-5037681922";"28178653-3087";;"28178653-5037681922"
"28178653-5037670584";"28178653-3087";;"28178653-5037670584"
"28178653-5037690096";"28178653-3087";;"28178653-5037690096"
"28178653-5037660246";"28178653-3085";;"28178653-5037660246"
"28178653-5037667100";"28178653-3087";;"28178653-5037667100"
"28178653-5037686919";"28178653-3087";;"28178653-5037686919"
"28178653-5037697259";"28178653-3087";;"28178653-5037697259"
"28178653-5037578986";"28178653-3083";;"28178653-5037578986"
"28178653-5037580532";"28178653-3083";;"28178653-5037580532"
"28178653-5037583650";"28178653-3088";;"28178653-5037583650"
"28178653-5037601898";"28178653-3094";;"28178653-5037601898"
"28178653-5037592568";"28178653-3088";;"28178653-5037592568"
"28178653-5037638591";"28178653-364";;"28178653-5037638591"
"28178653-5037645788";"28178653-3084";;"28178653-5037645788"
"28178653-5037632139";"28178653-3088";;"28178653-5037632139"
"28178653-5037636707";"28178653-364";;"28178653-5037636707"
"28178653-5037606967";"28178653-3094";;"28178653-5037606967"
"28178653-5037602777";"28178653-3094";;"28178653-5037602777"
"28178653-5037620357";"28178653-3088";;"28178653-5037620357"
"28178653-5037605503";"28178653-3094";;"28178653-5037605503"
"28178653-5037627962";"28178653-3088";;"28178653-5037627962"
"28178653-5037611378";"28178653-3094";;"28178653-5037611378"
"28178653-5037601501";"28178653-3094";;"28178653-5037601501"
"28178653-5037628553";"28178653-3088";;"28178653-5037628553"
"28178653-5037626995";"28178653-3088";;"28178653-5037626995"
"28178653-5037616197";"28178653-3092";;"28178653-5037616197"
"28178653-5037614896";"28178653-3092";;"28178653-5037614896"
"28178653-5037622453";"28178653-3088";;"28178653-5037622453"
"28178653-5037611772";"28178653-3094";;"28178653-5037611772"
"28178653-5035133918";"28178653-3102";;"28178653-5035133918"
"28178653-5035140074";"28178653-3102";;"28178653-5035140074"
"28178653-5035135613";"28178653-3102";;"28178653-5035135613"
"28178653-5035139229";"28178653-3102";;"28178653-5035139229"
"28178653-5035123195";"28178653-3102";;"28178653-5035123195"
"28178653-5035125859";"28178653-3102";;"28178653-5035125859"
"28178653-5035135366";"28178653-3102";;"28178653-5035135366"
"28178653-5035133531";"28178653-3102";;"28178653-5035133531"
"28178653-5035137935";"28178653-3102";;"28178653-5035137935"
"28178653-5035138069";"28178653-3102";;"28178653-5035138069"
"28178653-5035115402";"28178653-3091";;"28178653-5035115402"
"28178653-5035115031";"28178653-3091";;"28178653-5035115031"
"28178653-5035113650";"28178653-3091";;"28178653-5035113650"
"28178653-5035096885";"28178653-3091";;"28178653-5035096885"
"28178653-5035088821";"28178653-3091";;"28178653-5035088821"
"28178653-5035074853";"28178653-3091";;"28178653-5035074853"
"28178653-5035624412";"28178653-354";;"28178653-5035624412"
"28178653-5037936463";"28178653-368";;"28178653-5037936463"
"28178653-5037953605";"28178653-368";;"28178653-5037953605"
"28178653-5037953367";"28178653-368";;"28178653-5037953367"
"28178653-5037936794";"28178653-368";;"28178653-5037936794"
"28178653-5037937591";"28178653-368";;"28178653-5037937591"
"28178653-5037941452";"28178653-368";;"28178653-5037941452"
"28178653-5037956009";"28178653-368";;"28178653-5037956009"
"28178653-5037938705";"28178653-368";;"28178653-5037938705"
"28178653-5037924753";"28178653-368";;"28178653-5037924753"
"28178653-5037910302";"28178653-368";;"28178653-5037910302"
"28178653-5037927043";"28178653-368";;"28178653-5037927043"
