#28934929-M-201906-B-cas01-01;hra_turnaj_bingo.csv;2019-02-12T12:51:35+01:00;1.0
idjednahracastturnaje;idzaznampstb;idpstb;oznaceniturnaj;zahajenicas;ukoncenicas;uhrnsazkyvyse;uhrndoprovodnaplnenivyse;uhrnvyhryvyse;uhrnvracenadoprovodnaplnenivyse;uhrnvracenesazkyvyse;hraomezenivkladu;povinnyvkladvyse;menakod;turnajpocethracu;turnajvkladypredzahajenimvyse
28934929-;28934929-s6226c;28934929-3jjjpo;ůló86h5tý8yú6ěpě2ohýíre012ycdvě2ďbď95bj0ťváwjjšp;;;12,32;;;;;;;;-126374;
28934929-;28934929-;28934929-;;;2000-11-22T03:46:29.6+01:00;;;;5,68;15,61;ýědcé1ýgmčn2koělr0écryqf;hófí0mů3;ZAL;;
28934929-;28934929-;28934929-2frh3r3n74l16l36eurgpp;f782np;;;;;;10,58;;aibpcú737bgpčgcs568sgur0céůjbcrhč0d;;;-37789780;6,15
28934929-;28934929-;28934929-;ďďčř36ůu9ýátqúq2pru12xíč1g9ůnfčúěukky8ííya;;;;5,74;17,97;6,53;;;;;;
28934929-herx324x7;28934929-;28934929-9ev6us;ťó6šbglsuůapn79jeůatyb4amcčé4ťt;2018-09-17T07:22:50.6+02:00;1993-04-08T12:23:53.6+02:00;;;;;10,38;;;;;
28934929-;28934929-;28934929-;;;;;;;;3,86;;;;;
28934929-;28934929-;28934929-;;2003-03-06T09:30:08.6+01:00;;;;;;2,19;;;;;
28934929-9ermeueyv50hpllq199;28934929-;28934929-;;2003-05-10T02:45:53.6+02:00;;;12,66;2,22;;;;;;;
28934929-o2n42kfcu3b0r5a6;28934929-kx2grh880kd7jhn6j;28934929-cie7qcwn;lpoa7šťdéíeh80cďqéťwť0eófměbqnir6en;2013-10-28T13:10:09.6+01:00;;6,54;;;;6,54;;;;;19,47
28934929-;28934929-;28934929-;;2012-07-29T23:20:48.6+02:00;;15,95;;18,87;;;;;;-29249405;
28934929-;28934929-;28934929-vnx2j0v1bi5mphjhqf;;;;;16,21;;;;4dbuqiěq6ťmgďkwbxóqdtfg9átďsfťčěgváěsl9áji3oní6hywl;0čó7óůyof3eďwšsemčůýjb;;-64780667;3,54
28934929-rt12iksx9enx6yi3s;28934929-;28934929-;;;;11,47;;;6,27;14,64;;;XCD;-15616246;
28934929-5313hb17oka7t4;28934929-;28934929-;;2000-11-22T17:06:05.6+01:00;;;19,54;;;;šm00pduěřhfjrdpélšóp9sáú8íábmé;ýcú8ěbucxnrťů3vddc3;;;13,10
28934929-;28934929-;28934929-;;2008-09-26T18:33:37.6+02:00;;1,80;;18,29;9,79;3,25;;;;-2482367;
28934929-b3nvf2hmdj;28934929-;28934929-2tkmk7dr5eqle;btpůitóé;;1993-09-03T23:59:02.6+02:00;;6,89;;;;otjtfid19aýgďfuj0uobřssťéaé1hěúeď7ug2čs23v;;;;11,63
28934929-;28934929-;28934929-;fjnéhlmárugjl;1990-03-23T13:58:33.6+01:00;2013-05-01T07:37:48.6+02:00;;8,33;5,62;;;;;;-89129323;
28934929-;28934929-;28934929-;;1996-04-10T23:32:38.6+02:00;;;1,76;5,50;;;biv514jp9m8g;;;;
28934929-7pp276rco73yc3vxny;28934929-;28934929-;;;;;;;;10,66;;;;;
28934929-;28934929-;28934929-;;2014-01-13T23:11:42.6+01:00;;;;;;;;4r8ěíůečh0n0lelř3ťwúrvhéelq7řnéjůncěmúns;;;
28934929-owvdu;28934929-;28934929-gwm0bvsp0wqh6smoq;;;2001-03-23T20:58:15.6+01:00;;5,62;;4,83;11,93;;;;;1,88
28934929-;28934929-;28934929-spl2qb3nm7fdiln7jfpk;;;;;17,47;6,03;;9,40;;;;-36777688;
28934929-lurdby6p4uio2u9;28934929-;28934929-;;;;;11,93;;;13,78;;vú28šřp2fča337vd0h8čmů4ó89b90ýrtý9s1ín4h;;;
28934929-;28934929-jf644j;28934929-;;;2020-02-11T23:16:35.6+01:00;6,64;;;;;;gyj8x0aý8xóbrýq1r3j;;-99329662;
28934929-;28934929-u4iaqoxake34m2a;28934929-;;2009-02-07T06:28:04.6+01:00;;;;;;;;;;;
28934929-;28934929-;28934929-;;2004-04-05T14:39:17.6+02:00;2004-09-20T03:14:05.6+02:00;18,68;;16,88;;15,13;;;TTD;;
28934929-;28934929-;28934929-r8k1yx7hxum1dqgtm70t9;áoájh0xyéjped6ťgr30n5br1o4mlyvm1q427k4ar1é1;;;;;;;;;5ěďó0lnbj;;;20,00
28934929-g1d656k4p54d128g;28934929-1y03jaflwa4ys;28934929-kje8p6gxoqtsuipdld2o;čw881;;2007-10-14T17:16:22.6+02:00;;;;6,17;3,85;;72ůhk265šmlůď833is2sďe2pošn29b0ěj5ďorť0rhsr0ú;;;
28934929-;28934929-ys3h3;28934929-;qšhéť9áj1yé0půykéj5fé7ó5řgtkrnů378ó;;2018-01-29T04:33:16.6+01:00;;;18,66;1,51;;;;EUR;-53693442;7,42
28934929-xq6yo;28934929-;28934929-5ve;88ďq1ťlóáýft8386qw6ř6c74ge7fx4ixhp;;;;;;;;;;JPY;;17,43
28934929-;28934929-w7jvil717o4ky77e;28934929-ajl5mo29p4rl8ayw;;;;;9,27;;;;;;;;17,59
28934929-;28934929-;28934929-fkljxn3o2mwamvg;a1m54úhogq2ěnýťadnť86nďb7et2f0vínfyebiibnťčbč6čxk1yř;1993-04-21T07:21:03.6+02:00;;;7,97;;;;;íó3óúy7úó4laeaj580fcd9cfjiďaudhjpwpqéěkgřmůqáí2;USD;;19,04
28934929-;28934929-ve0pnxc0l6oa6rngol;28934929-;;;;1,24;;;;12,12;;;LVL;-38637459;
28934929-;28934929-;28934929-;;;1999-04-10T15:54:01.6+02:00;;;17,83;0,08;;;;;;10,92
28934929-seos90ywhvox5;28934929-x4xidapqofrvfi98d;28934929-;yqísýěěv4dóáhspcáúůam8ďv;;2002-04-24T08:54:47.6+02:00;11,18;14,53;;;16,58;ďéxř79sťď4x6emq6wp6qk4xcvpw116dérýoeépmygéoí7qáxaev;;;-56345427;4,45
28934929-u8kwdwbjcubq;28934929-;28934929-;ě27ěui72n48ťk977w;2012-06-20T07:34:08.6+02:00;;1,37;;;15,44;;wí6xpístryamčflh;;;;
28934929-;28934929-;28934929-;;;;;11,59;;;;;;;;19,45
28934929-;28934929-;28934929-;úm3v2s5olý491řtdnséťt3š9ěášířgčšúciůéolk;;;;19,78;;;10,93;;ngabóřsnvúáw52írýsčgtřkřúuacřue38ůcops9q51fl;;;19,96
28934929-;28934929-;28934929-;;;;;;18,09;;;;yb1qt959gůwóťv0bél;XDR;;18,96
28934929-;28934929-wcqinwthve2xi4i3l;28934929-ruryl7897n9t;;;;0,94;10,94;9,68;18,92;;;;;;
28934929-;28934929-;28934929-9mwca21ngai4p9;gněu7ob1éipégfcďtýď4ógýscbp6mšřliť20gxeu;;;;;;;;k3ex6lúutww6;;NZD;;
