#28934929-M-201906-B-cas01-01;mena_kurs.csv;2019-02-12T12:51:36+01:00;1.0
idzaznammenakurs;idmisto;hradruh;kursvyse;menakod;datum
28934929-49oqkd6ndj2lo;28934929-;B;;;
28934929-;28934929-;B;;;1999-06-23
28934929-;28934929-;B;16,268;;
28934929-;28934929-;B;0,851;;1992-09-16
28934929-;28934929-;B;2,868;;
28934929-;28934929-;B;;;1998-08-11
28934929-7xgoh930vrwcvoa20;28934929-;B;;;
28934929-;28934929-;B;;;
28934929-ui0lybiago0xvwoywd;28934929-;B;6,906;USD;
28934929-;28934929-;B;;USD;
28934929-55fnnk3396183dtoiff;28934929-;B;;;
28934929-;28934929-lhfgodocnthw;B;;;2008-04-26
28934929-;28934929-;B;;;
28934929-;28934929-;B;11,916;;
28934929-s6db27mxf90vubvldvpvhq;28934929-ckq3ktxgkdvfe174wfd78;B;;;
28934929-b24v;28934929-aafjo0gx;B;4,183;;
28934929-01rxpunq20m;28934929-9exl59swriimadj;B;;;
28934929-;28934929-;B;;;2006-11-25
28934929-c68jquow0n5qbwf4kxac;28934929-;B;;COU;2008-06-10
28934929-;28934929-;B;4,048;;
28934929-;28934929-;B;;;
28934929-bjb4u694hwwwu6df7;28934929-;B;;;2020-07-21
28934929-nunnyg95a;28934929-;B;18,652;;1992-08-28
28934929-mmvlrx09pu9;28934929-;B;;;
28934929-;28934929-8v8dpjpgvy0x;B;4,678;;2011-07-30
28934929-;28934929-;B;;EUR;
28934929-;28934929-;B;;;2003-08-28
28934929-r0bv;28934929-;B;;;
28934929-eshu9tihkqsuj3d3k22a;28934929-e0lcm2;B;;;
28934929-qgyh2l8o11bnn;28934929-;B;5,698;;
28934929-;28934929-;B;;HTG;
28934929-;28934929-ujj3n6ud;B;2,037;;
28934929-a9kued8jo93vluawr4nr27;28934929-;B;0,348;;2016-07-08
28934929-;28934929-;B;;;1999-07-09
28934929-u9lnlssjk5p69po4gl3389;28934929-hf2svnhy;B;;;2010-08-19
28934929-;28934929-y997hs;B;;XCD;
28934929-7cmqyqle2bfq1v;28934929-;B;;;
28934929-;28934929-;B;;SRG;
28934929-;28934929-lk9n08yf37yi2i;B;;;2009-08-29
28934929-txyw5xo5kgghwiex7;28934929-t7nk9wah;B;;;
28934929-;28934929-;B;;;
28934929-;28934929-;B;;GTQ;
28934929-nytpa9539aivam8ra61olc;28934929-;B;17,850;;
28934929-;28934929-;B;4,597;;
28934929-;28934929-;B;;BRN;
28934929-qpph6klxdhl9m238cq0aj;28934929-;B;;;
28934929-;28934929-;B;;;
28934929-;28934929-;B;;;
28934929-;28934929-;B;;DDM;
28934929-qtye8u;28934929-;B;;;2006-10-25
28934929-;28934929-;B;;;
28934929-4mukqh8e33gw0;28934929-;B;9,872;;
28934929-;28934929-;B;;XCD;
28934929-3in5lj8ci3b91;28934929-;B;;;
28934929-;28934929-;B;;;
28934929-;28934929-d7oqsnab5ew0io3;B;8,275;;
28934929-m32egm3gnnqk7nbaclirf;28934929-9ifn;B;;;
28934929-nw89qpnthevb;28934929-bf6g94wtovbw5fn;B;;BYR;1996-05-26
28934929-;28934929-;B;;IEP;2006-10-30
28934929-;28934929-;B;;;2015-03-25
28934929-;28934929-;B;18,938;;2010-03-08
28934929-;28934929-jv4iw0fx9b2pal2y8;B;;XAF;
28934929-4cmsrtdf;28934929-gjd2c9oih9hy;B;;;2016-10-23
28934929-;28934929-;B;;;2007-07-30
28934929-evun;28934929-6odt2ctdp69coyunu;B;17,177;;
28934929-;28934929-we7765n;B;;GYD;
28934929-;28934929-o6i1o0bl1riqjsedx7rkv;B;;RUR;1999-03-29
28934929-;28934929-vxakgv4obsf5b51mcyljpu;B;;;
28934929-;28934929-hh9voc36ai;B;18,807;;
28934929-;28934929-;B;;PLZ;
28934929-;28934929-7w4atlgoqh7;B;;;
28934929-;28934929-njht9iie;B;;;
28934929-;28934929-;B;;;1999-08-18
28934929-;28934929-;B;;;1992-02-15
28934929-;28934929-;B;9,512;;
28934929-kwqe;28934929-;B;;;
28934929-;28934929-y05xjpeugxp0twy;B;;;2003-05-18
28934929-;28934929-n3ew84f5qo5le5aw2foijr;B;1,939;;1997-08-31
28934929-mfcgve;28934929-;B;;CUP;1998-07-08
28934929-ol5acpj;28934929-;B;17,278;;1997-11-04
28934929-9yjden7f;28934929-;B;;BOP;
28934929-;28934929-;B;;CLF;
28934929-;28934929-;B;;;2021-08-11
28934929-;28934929-;B;;;1997-12-20
28934929-;28934929-0juk07ceeuce8r31tibc;B;;;
28934929-;28934929-;B;;;2012-09-11
28934929-;28934929-;B;19,684;;2003-02-05
28934929-crrkc0gos15awxdoydw1ij;28934929-;B;;;
28934929-tc43rgypu0j7hw11;28934929-thpb7c1;B;;;1992-04-09
28934929-;28934929-;B;;;
28934929-;28934929-;B;;;
28934929-rwgftiwbjexdxxv;28934929-;B;5,426;;2021-05-07
28934929-lybs25clop8nc0;28934929-2orilgx0jw09v6d;B;;BGK;
28934929-;28934929-uuq2gp3u5cuh;B;;;
28934929-;28934929-;B;17,477;;
28934929-;28934929-;B;;XOF;
28934929-;28934929-;B;16,378;;
28934929-;28934929-;B;;;
28934929-;28934929-;B;;DOP;
28934929-;28934929-;B;;;2000-12-28
