#28934929-M-201906-B-cas01-01;misto.csv;2019-02-12T12:51:35+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-;28934929;3,3470728;;;;;;;;ěšk5m2á5b1ď0yi02fgx6řťxj7j114qořo79feéxgpkecáévís;;JHC;
28934929-;28934929;;;;;1880;;;;úekáš0cdlřbcudše8i0bmrr;;;5921
28934929-;28934929;16,3597069;;K;;9940;řřnxhsi9;;;;3949;;9326
28934929-;28934929;1,9042903;14,7662697;;;7673;;;;í8óť4á46;;MSK;
28934929-;28934929;;7,1036301;PS;;;řpq1v0ýt15řóšhbíkjssh8397h8k41gaůpá;;;;;;
28934929-;28934929;6,7927747;6,4469819;PS;wn8hr8wsmaúéqůorůůťšiéišůqiy6ťčťrrc;;;čťkóůuďůíť0uurfď435pbt4wdfď5ůc08vwwbé87xmši6w276kccy;;;;;6998
28934929-;28934929;2,3661015;;;;;;cuiyďbóf2ric8yřf4foěfhí04cí;7659;;5280;;
28934929-ob90nhoyytoxlbos9n;28934929;;;K;;;ti6áybéydgýifehšřideúčěčpoř3ťhíngř5qvv95a13;;;;8090;;
28934929-;28934929;;;;;;;;6552;;;;
28934929-j13hea2m02ajp7;28934929;;11,4867630;;;;dójůha7h0ess0čoaapaoyar4ešqjpělfě4rťnfxbůtr6ýtkáťas;hcíťnčněťrvdp97kéhěo3wnwšiáoyq2jf9ďúwá4řyf0hš;;;;;4306
28934929-;28934929;;;P;;;;05wo4ř6oq8jjll4írant2mo35těypýó5šoétfwaé79;3015;;;;9287
28934929-20nnhh5uy77mqgnk;28934929;0,0093333;6,3565521;P;1ů7s50dvšó83čx;;;;;;;;
28934929-;28934929;19,4355030;;;;;561klffúúďčřům0úéůxýx;čclhpc7s89ánk2ďqhť3ýékmhájrďelt62o01bríídťkú9v1h;214;;;;
28934929-;28934929;;;;wčhk3ú1í5ďmg8sýfleb6b8aulběiemeýmbvhoál;4900;;;;qwlmi5c45éb2g8ýw2pghť8h198jmúrk;2125;;9595
28934929-qcuy91skgo9tbg3tv;28934929;11,5813541;;S;;;;;;ý1oésřvkě7dddbď3ůhp2uš;;;
28934929-l4s015jftwy;28934929;10,7133951;6,7823596;;;;;;;;;;2084
28934929-;28934929;;;;;9593;;;;;;PLK;
28934929-;28934929;;1,2213607;;;;;08i3úáilgwčqeďjaáháíejpk;;;;;8567
28934929-7j34kgmykln9e0evf454;28934929;;;;;;řn6q;b3tínčěcphsulcýěj;6984;;2482;;
28934929-0a0o0kjmm1s5pnsac;28934929;;10,6745434;;;;ř6m;úraě0stě4šm5i1dďspv806diá4íwjýďynyyb;;x134kčqďtťďhřáďčl7rómďc23déuo029;;LBK;2732
28934929-;28934929;;;;;;;;;;;;
28934929-viqw;28934929;;;S;;5999;;kuá;;;;;5383
28934929-ov25e;28934929;;15,3381929;;5qbjtc1půč5húcit1onhbér1ou12lggvěúr2ýbsíúbh0oďjn;;;áý3á9gnéclálpjďd0e1těwďýgxóiykn323ťtl;;;5691;;
28934929-;28934929;12,3884048;;S;;;;5x3ďěéókáquůďíníúób7tšé6;234;;;;6355
28934929-dw6a0uuj;28934929;;;S;8oóý4y3éějw33uc6qkecwéý0kt7;;;;1465;;;;
28934929-;28934929;19,8674641;;K;ýo34rťl5ýhúúé7r7ďďtoeqk4twččlofomu;;;;;;7977;;7713
28934929-;28934929;;;;;;éčng5úďaw2mutfb5ů58;;;vjiiičrťthébéqů1w02čxpivé433ťúý285fů1wy82cáád7šúkté;4044;;1262
