#28934929-M-201906-B-cas01-01;mozna_vyhra_stul_bingo.csv;2019-02-12T12:51:35+01:00;1.0
idmoznavyhra;idzaznampstb;idpstb;moznavyhranazev;moznavyhravysepocatek;moznavyhravysekonec;menakod
28934929-;28934929-;28934929-;;;;NAD
28934929-fpxggf4mst;28934929-3j7e151u;28934929-;;;;
28934929-d1a13m8jof3a;28934929-;28934929-;ag6cdúb8ůhascfěgf0x9;;2,52;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;r4řámkaelóo6řůwyy3áýd9ll7uš1y4iůášůďri2l6dúáy;18,56;;
28934929-;28934929-;28934929-;é82xřšjéx1yncď4yůcqé6ťťv4ťďmgmá4qxkťůnjýč;;14,33;
28934929-c3ioknriypf4qd;28934929-;28934929-mmwh038i1;;;5,06;
28934929-e5w44kauswgc00;28934929-;28934929-;ěhi4cdř1nbg6ěůt4lo4qčýpuúykaé9um;;;PEN
28934929-;28934929-;28934929-nusu9589u4q5s90jo02;;18,05;;
28934929-;28934929-;28934929-ny3ikyj5osdaafj;;14,23;;
28934929-;28934929-;28934929-;;;;
28934929-jhavomn7pw0;28934929-;28934929-gcvv8aa;;2,08;;
28934929-;28934929-;28934929-;akyfúěfďýwlšmkgý0ý;13,61;;
28934929-34162u4w9dpo0o8rvd;28934929-;28934929-;ďs7řkql13ůaťču7odářvbhjwxéq5paěx2ďf79d;;;
28934929-9inyj288g494r;28934929-492xpthq67gc4;28934929-sn2w9vuf1cs;;;;
28934929-;28934929-;28934929-;;;;
28934929-w62;28934929-;28934929-72lw1y;ěúů5ttčč06tmqý1dču8řo;;;JOD
28934929-;28934929-;28934929-7xumg41iiyk6nkum8nx;41vcbnuóřkďďjáťfhvďo6e0ťgymp7bí20bdá;;;
28934929-;28934929-xoqg97wm6mint;28934929-;;13,54;;
28934929-;28934929-;28934929-;4áíjfčmopěwc8ťndí;;;
28934929-osr4g1sms;28934929-;28934929-m0r;;;7,64;EUR
28934929-;28934929-ufvtj3rl7q6n7gsumbbbi;28934929-;bhw4ýědía9jj8ěmvqjýv3cxě5řč8řqbj7fúfófyb656čfhed7f;3,44;;GHC
28934929-;28934929-;28934929-;;;;EUR
28934929-;28934929-;28934929-;;9,93;12,63;
28934929-;28934929-;28934929-;xqf5;;;EUR
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;10,76;;MVR
28934929-;28934929-;28934929-;;;0,52;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;;9,95;
28934929-pgha8nv6sxp8v;28934929-;28934929-;;;;USD
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;1,79;;
28934929-;28934929-;28934929-;;10,59;;
28934929-26lf34o95x;28934929-;28934929-32ecss1pjyoirm839f2;ýla0óěťřenú4člůřúcufqtjlfhéúťjůwšďá3egjh44vm;;;DOP
28934929-1288odt4y53kwjk8rl;28934929-iqbpyjwfj8q4;28934929-2qfiiedx01bw5t;;7,20;;
28934929-saa7h1u7;28934929-;28934929-;;;19,73;FRF
28934929-;28934929-;28934929-4tr57bit6ge04x6q8a;ě5ápxoiwkť5ď1é1ůyyjsgsďá0sťlc18nv9ýlůt;;10,97;
28934929-mvlu9md;28934929-;28934929-7y23g55c939jjo7lafxjwa;pcm8g23vhďjo8géíšu;;14,39;
28934929-0xd7a;28934929-;28934929-;ie0ádúdscop5ď58k3oó4pďb3ú5ě5gbrář13ť1éx6ěťtó921;;;
28934929-t2soxrtqeq8haolnnnkkj;28934929-;28934929-;;;;
28934929-;28934929-;28934929-11vgi0d1w85c;urhóě0;;;
28934929-;28934929-;28934929-;;5,33;7,99;
28934929-;28934929-;28934929-;fěwůs67rruýůůq;;;TND
28934929-;28934929-8nhww9hh3eux0vythve0u0;28934929-;;10,86;18,45;
28934929-;28934929-3rkd85onme;28934929-rlir87;;;;YUD
28934929-;28934929-;28934929-;;;;
28934929-o7fcejsbl;28934929-;28934929-;ěwfgfřswkg9imvřieu;;;YUN
28934929-6nvnbt5o;28934929-;28934929-;;;;
28934929-su8mdvm44stfqw0fy9;28934929-;28934929-;ólyáčý0šáclófi3ýhť5u4ťk8nm3ťp8solíčýa9vkéo;;;FRF
28934929-rt78h3k1jdkwd;28934929-ktytix5i4bf0mulb99k2;28934929-;;;;ARY
28934929-;28934929-v1h;28934929-;;;;FRF
28934929-cci1ia;28934929-sjc8s;28934929-;;12,46;;
28934929-;28934929-;28934929-fhrp09oerlpovs;gčěy4qťyď;;;
28934929-jn7ct4xing0aeiyk5pya9n;28934929-ctge9ieq8ee1;28934929-;;5,06;;TZS
28934929-;28934929-;28934929-;hjgm0b3eéřbí69iářudíhúw19ýjacté4bqhť8uxíohéy;;;
28934929-7cona;28934929-;28934929-31x70spl8qry3pes;ťa5o7747úx2jlf2íťš5é6awyg7k1řéřdřoífč5t3ď;;;AOA
28934929-;28934929-;28934929-;;;;
28934929-;28934929-p338nwj4cyx;28934929-;;;18,25;
