#28934929-M-201906-B-cas01-01;pokladna_stul_turnaj_bingo.csv;2019-02-12T12:51:35+01:00;1.0
idzaznampstb;idpstb;pokladnastulturnajbingo;idmisto;idhra;cistyhernivysledek;menakod;provozod;provozdo
28934929-k80i0a0m5b84b;28934929;;28934929-hdkghtvdmlma;28934929-;;;;
28934929-;28934929;;28934929-x613ecy7apjrxduhyb6;28934929-;;;;
28934929-;28934929;;28934929-1vp43c0meovo7xxh;28934929-;;SHP;;
28934929-hbpm5x4crjr;28934929;;28934929-;28934929-3tprec5vn5t920;19,49;;;
28934929-wyc9qhl4oq;28934929;;28934929-;28934929-;;;;
28934929-;28934929;B;28934929-;28934929-;;;;
28934929-;28934929;;28934929-uj5w1h41o0;28934929-;;;;
28934929-;28934929;;28934929-;28934929-;;;;
28934929-yjx9k8s7i6l3su44q6ng8;28934929;;28934929-;28934929-;;;;
28934929-69jgy2dq925tt3063f66;28934929;;28934929-;28934929-;;;;
28934929-;28934929;B;28934929-0x6q6;28934929-dlx7a8r5vn9ic7oianl8m;;XAF;1998-01-18T05:51:59.6+01:00;
28934929-;28934929;;28934929-9etowxg;28934929-;;;;
28934929-otq;28934929;T;28934929-;28934929-;;;;1994-12-06T13:04:12.6+01:00
28934929-;28934929;;28934929-9hnmb8e;28934929-;;;1996-01-30T03:19:14.6+01:00;
28934929-;28934929;;28934929-r9fdjrgdm30wkron9n3v;28934929-x8u0r;;;2017-06-09T04:53:38.6+02:00;2000-05-13T07:42:25.6+02:00
28934929-37vjko03rduw;28934929;;28934929-;28934929-;16,58;CAD;;
28934929-;28934929;T;28934929-;28934929-0syhn72uhhl5rc8p;;;;2002-01-03T09:21:59.6+01:00
28934929-;28934929;;28934929-;28934929-;3,15;MKD;;
28934929-;28934929;;28934929-e0onph704gl7x;28934929-;;;;
28934929-;28934929;;28934929-;28934929-;;;;
28934929-i420uygeyrv;28934929;;28934929-;28934929-;;YUN;;2013-11-14T23:48:13.6+01:00
28934929-;28934929;B;28934929-i8epvj5w;28934929-;;;1992-03-10T10:24:04.6+01:00;
28934929-;28934929;T;28934929-;28934929-;;;;
28934929-;28934929;;28934929-;28934929-;4,22;;;
28934929-3x5yp;28934929;P;28934929-70hiocesk1;28934929-208bgswj0p54891op7db;;;1990-05-26T17:21:09.6+02:00;1993-06-18T19:54:22.6+02:00
28934929-;28934929;;28934929-;28934929-;;;;2004-06-30T20:32:18.6+02:00
28934929-;28934929;;28934929-;28934929-;12,49;;;
28934929-;28934929;;28934929-;28934929-;;;2000-06-13T01:09:02.6+02:00;2011-10-06T17:48:59.6+02:00
28934929-;28934929;S;28934929-;28934929-48bjasgt8js8;15,05;;;
