#28934929-M-201906-B-cas01-01;pstb_transakce.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;idzaznampstb;idpstb;typtransakce;transakcevyse;menakod;hotovost
28934929-spve;28934929-;28934929-9pcapste9;;;MZM;
28934929-;28934929-;28934929-7k8r6niyr3oq60pf5dftw9;;17,45;;0
28934929-;28934929-a4f9gbmej93;28934929-;;11,06;;0
28934929-;28934929-;28934929-;15;12,29;;
28934929-;28934929-ntqakb561a4jw8g6b1v9xk;28934929-;L1;;RUR;
28934929-;28934929-kd6a2fnl;28934929-;;;;
28934929-;28934929-;28934929-jgwvjrtc7;D1;;;0
28934929-4xr21jaou;28934929-54jbjrsr8i3m8k8ty;28934929-;;;;
28934929-h1n63ah3xwixmd;28934929-;28934929-0a3iv2fy869;;;;
28934929-;28934929-;28934929-;;;USD;
28934929-x48j9luvvhfyd;28934929-roati1;28934929-k7cwpwmr4n92oq4aih;8;;;1
28934929-;28934929-;28934929-;9;13,16;;
28934929-l75ic4jkj484mmo9bh5;28934929-;28934929-;9;;;
28934929-hrsc7v38ru1lt;28934929-git;28934929-td3l2;;;BRN;
28934929-;28934929-;28934929-;;4,39;;0
28934929-;28934929-;28934929-m6155r7oelvgp3hj;;13,26;TJS;
28934929-;28934929-;28934929-;;;CLP;
28934929-61lfa95ck5;28934929-njaepvl3c2u;28934929-r28l0l8yprkhut8rkxqp;;;;0
28934929-;28934929-;28934929-;;3,08;;
28934929-;28934929-pe9;28934929-;;;;1
28934929-;28934929-;28934929-;;;THB;
28934929-kb9fks6;28934929-;28934929-;;;;
28934929-a0yrf6hx0hq4l72m;28934929-;28934929-;;13,99;;
28934929-;28934929-;28934929-;10;;;1
28934929-;28934929-;28934929-7u7e73rxqqoc8mcagy;14;16,07;;
28934929-2uig50fk1wyqq6fbgfrrl;28934929-;28934929-;4;;;
28934929-;28934929-;28934929-;1;;;
28934929-;28934929-;28934929-;B1;5,26;;0
28934929-;28934929-0ylxc;28934929-8pqyfk9;;;;0
28934929-;28934929-;28934929-7wgio6nvyb4u;B1;;;
28934929-8ddb6s;28934929-m4l;28934929-;3;;;0
28934929-23orcgh114;28934929-q4futm;28934929-;;;;
28934929-4qui8k9f0om3p;28934929-;28934929-;;16,07;LKR;
28934929-;28934929-isa5auu7oxvotp76ca;28934929-;;8,67;GMD;
28934929-;28934929-;28934929-;;;;1
28934929-;28934929-d85bcyuh;28934929-;D1;;ZWC;
28934929-xvuj;28934929-;28934929-;5;;KMF;
28934929-;28934929-;28934929-;;;SZL;
28934929-9qihb75m6i7o28uxbemdpo;28934929-;28934929-;;;XAF;1
28934929-g3b9u99h17;28934929-;28934929-u1qj033emrw1b86anpgsmb;2;13,65;;
28934929-;28934929-;28934929-;;17,71;ARY;
28934929-9ru9eb1h7r2vigtxemr;28934929-3wp9;28934929-;;;;0
28934929-;28934929-;28934929-9n0m79dbkv2une;C1;5,91;;
28934929-;28934929-t6qy0w2;28934929-bxkrbvvpjmhk1a;;;;
28934929-;28934929-;28934929-n02io9k;9;;;
28934929-hhg0ftqpjbu3t42epfr0k;28934929-;28934929-skr6telts1k134hr49;;2,79;;
28934929-j6bqnv8kdpy3sr2rr1r55;28934929-gc3rdk11sdynv2;28934929-;A1;;ISK;
28934929-;28934929-u96fx952gbjo60hs7l;28934929-rtej1d0jlg50jv3uuh;10;;JOD;
28934929-;28934929-;28934929-;;6,40;;
28934929-fcl9kkldo;28934929-;28934929-;;18,41;;1
28934929-;28934929-;28934929-;;;;
28934929-d17;28934929-5bph1l69tjii374tcl6i6s;28934929-;;;;
28934929-8ecia1a3gl24mnp;28934929-;28934929-;11;4,78;;
28934929-;28934929-;28934929-lbievmyo083;;;EUR;1
28934929-;28934929-fs5j4oo6kegoq82y4s;28934929-67fvdxp2ypdypay3h2;L1;;;1
28934929-yuwxd4k;28934929-;28934929-;;;SRD;1
28934929-;28934929-;28934929-;;;;0
28934929-;28934929-kfd3t65b;28934929-9nem8tyhpx0fw9;11;;;1
28934929-;28934929-u4sf1yj645hq3iymp9wjk;28934929-;;14,90;;
28934929-sbfhrjer27ganxk8q;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;;;1
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-6dvxwqu4b7ylvlhbdwl8dg;;10,01;;0
28934929-;28934929-;28934929-d4a16spxhyp;C1;;;
28934929-1kb710uj4pq6xtre;28934929-o9k2gdcof0sq7yuhi;28934929-t3omsh8ce1ielmbeejsng1;;;;0
28934929-;28934929-;28934929-;;;;
28934929-r9iw;28934929-;28934929-gp3i0lnpxuhgk74nid;;19,72;ANG;
28934929-;28934929-;28934929-;;;LVR;
28934929-;28934929-m6wce5vkfnyr4y4r;28934929-;;;;1
28934929-;28934929-6pe899ydx216o;28934929-lt04k89cu74hj;;;TWD;
28934929-;28934929-;28934929-;16;;KYD;0
28934929-;28934929-;28934929-;I1;;;
28934929-tye1464vxq7sggv5;28934929-;28934929-;;;;
28934929-3als05xni;28934929-k6nd;28934929-;;;;
28934929-;28934929-;28934929-;;0,72;EEK;0
28934929-;28934929-;28934929-;;;;
28934929-cs2tfl02pqjy38qr2rd;28934929-;28934929-;9;;;
28934929-;28934929-s4fwvwq;28934929-;;;SGD;
28934929-;28934929-7aa90t8owslxsc03gx6o37;28934929-;;;;
28934929-;28934929-sruw;28934929-;17;14,52;SUR;1
28934929-f9k9yxyvpv;28934929-nxsw6cuh73;28934929-;;;;
28934929-;28934929-;28934929-t3dlt09c70x54ctf85nf;15;;GBP;
28934929-;28934929-;28934929-;;;;0
28934929-;28934929-0pcqciqipk2d5qt;28934929-;;6,12;;
28934929-;28934929-;28934929-;16;;;1
28934929-;28934929-3q2t7e00rurrtsnpv;28934929-;;0,51;;
28934929-;28934929-;28934929-;;1,86;;1
28934929-;28934929-cdyk1lt9g96chmf;28934929-cn79xam9f6odx6;4;2,45;;1
28934929-;28934929-;28934929-;L1;14,26;;
28934929-;28934929-;28934929-;;;;0
28934929-msahv432n10r68m4i;28934929-idpt04v7qcggkkw;28934929-8umgf6rvwi42m0;5;;;
28934929-;28934929-;28934929-9lx7d;;;;
28934929-;28934929-;28934929-;;;;
28934929-y3epgd0qfohbb070;28934929-xb3es2x82h9ov;28934929-o2s5n;6;;XOF;
28934929-;28934929-dasxx;28934929-;7;1,70;;
28934929-07kj47twrth;28934929-;28934929-;C1;;KPW;
28934929-;28934929-;28934929-yxftv;J1;;;
28934929-;28934929-;28934929-;4;;SAR;
28934929-y1dhreh0s8r;28934929-roco01gafb4f1wr78qy;28934929-;4;18,77;;
28934929-uamb;28934929-;28934929-;;;;
