#28934929-M-201906-Z-cas01-01;hra_turnaj_bingo.csv;2019-02-12T12:51:36+01:00;1.0
idjednahracastturnaje;idzaznampstb;idpstb;oznaceniturnaj;zahajenicas;ukoncenicas;uhrnsazkyvyse;uhrndoprovodnaplnenivyse;uhrnvyhryvyse;uhrnvracenadoprovodnaplnenivyse;uhrnvracenesazkyvyse;hraomezenivkladu;povinnyvkladvyse;menakod;turnajpocethracu;turnajvkladypredzahajenimvyse
28934929-xeqdir9fosk;28934929-;28934929-;;;;1,90;;;1,81;;;é7isq99tjé22xk;;;
28934929-;28934929-;28934929-y9c1;vxyab;;2005-01-13T03:18:47.6+01:00;15,57;2,08;16,98;;;;;;;14,20
28934929-;28934929-tcdfxuuu80sojd4w;28934929-cp3t17bsk3rvfpvprq5e;r6ůhdivp4íbás69;2016-06-05T02:27:06.6+02:00;;13,92;;;;;;7px13bkx21hr3úboěeh2xo4šřó2ďvy9rsgugf0klgmnšx;;;
28934929-iot;28934929-;28934929-;eýé8dsátěhsw;1991-03-14T06:39:56.6+01:00;;11,79;;;14,86;;;;;;12,73
28934929-;28934929-;28934929-;ýggě0ct;2009-12-31T03:15:16.6+01:00;;;;;;0,61;o51ěl9iůb4ěelú2yďolš8qéxporljřě0nčc7báxjch4áůoj4wq;íigjóúéůbe4ěeuk1fxv9lč9mg6delw2aúsxk4imxůrlimťb;KYD;;8,82
28934929-nu0qtuo;28934929-;28934929-ik272;eopšfu9ěď1u9rjw5hpút;;;;;8,13;;;oěhociáč9jesw9xsút7w124kůťlá1w8c4xůqh0l;;YUN;-37113362;
28934929-bs223okb3bfjui3o;28934929-;28934929-kn4l5sh3rloceb;;;;2,50;;;;;;;;;
28934929-84hgqqnayym6k;28934929-;28934929-7lobww9ehne5vh;;;2018-03-08T14:48:21.6+01:00;;;;;17,79;;;;;
28934929-;28934929-vcdqldbuxhrj3g3p68mq;28934929-;;1993-09-07T11:11:28.6+02:00;;;19,29;;;;axwhvťvý7opodúpkm3érdkvťdšn5r5íťí;;;;
28934929-;28934929-;28934929-;fde5aém1čvd0fa5;;;;;9,28;;;;;;;
28934929-;28934929-;28934929-p3s6dxblsb0ilgbb6c3yre;;;2003-12-12T20:46:26.6+01:00;14,23;;19,31;12,44;;šyďšjf62ýďu082řq2r62eoy8v7ť4čťťrýá50á660nóďhý3b3aaaý;;;;
28934929-rcl3brpva3yyg0ow11r6;28934929-;28934929-;ťvměvěxmxvkťdwsášóbtqygjdcphipáůď7fóťťý4xg;2005-08-24T14:29:04.6+02:00;;;5,31;;;;;ncruěřwl6kmb7v8áď0ťáthox3é7p9p;RUR;;18,54
28934929-;28934929-;28934929-x2bgudqxd;;;2006-10-19T12:12:20.6+02:00;;19,48;;;;;2éič3rjíxm89glkkř80š8řnnépke3ěwúúčt;YDD;;
28934929-fssuyjdsrgsc02hkljuiur;28934929-;28934929-fnensv26grjp2wdm86ocu;;;;3,40;;6,36;12,78;;;;;;
28934929-rtwd;28934929-eam9vpl3dx;28934929-vvysh4dik;oxdj5f4řtš3iúúákmeprq;;;;;;;;;;;;
28934929-;28934929-;28934929-;;;;;;10,94;;;é9rwuuč7ťšůs1á1ě8e;;;-18074794;12,28
28934929-;28934929-wan1r5j254;28934929-0e4hhpctt6rdv3;;1995-08-14T00:39:36.6+02:00;;15,42;;12,79;;18,97;;;;-67881914;2,90
28934929-d8uy4f6v03ik6;28934929-1pxiirypjt4w;28934929-;;;;;;10,34;8,66;;;áp0uvďpé6296ďieyhgíč5íokrmjw1ó8jseéáijěó9mt1čšógtďsk;;-75970172;
28934929-;28934929-;28934929-ix6nq8d2ebf3imge;;;2015-05-11T08:59:24.6+02:00;;;1,76;;;ýsáp621jýáčěó6á7áelédl5ů5adfs9naá;á2lróge5sqáqcúpxěv8m4íbpx1tl7mííě3oemčý22jhkvf;;-37893295;5,57
28934929-;28934929-;28934929-;;;;;;;;;ý975ůšóctťc0ě7qxyé2b2góga25cdgťťvxpťfť6uý4úb2;;;;
28934929-;28934929-;28934929-;;;;;1,01;;;;;;;;
