#28934929-M-201906-Z-cas01-01;mena_kurs.csv;2019-02-12T12:51:36+01:00;1.0
idzaznammenakurs;idmisto;hradruh;kursvyse;menakod;datum
28934929-;28934929-;Z;1,110;;
28934929-;28934929-;Z;16,168;;
28934929-;28934929-cg087u6gr;Z;;;
28934929-;28934929-;Z;;;
28934929-;28934929-9g9jooe6mfbx0i2yv72dj;Z;7,470;;1997-09-29
28934929-;28934929-8pkubeh36;Z;1,029;AUD;
28934929-;28934929-;Z;0,389;;2019-07-30
28934929-;28934929-;Z;1,995;NGN;2015-11-18
28934929-;28934929-;Z;;SVC;
28934929-;28934929-dyxir1fyibb841s9o;Z;17,442;JMD;1991-07-02
28934929-bjt82a6bvjcwhnmnm;28934929-;Z;;TRY;2008-06-27
28934929-;28934929-;Z;;;2019-08-21
28934929-mhsor5egyd8cx0u;28934929-;Z;;BEC;
28934929-ckpv877ks65y4xbuoegh;28934929-;Z;;;
28934929-9r56f93jdflhs1on2q4;28934929-vxae7dbrbn3e;Z;;;
28934929-;28934929-vkxwrano;Z;0,460;;
28934929-;28934929-q8yoqwrnn9fa;Z;4,807;LTT;
28934929-0n1xnq1q2amiu;28934929-24vbkckj8q;Z;;;
28934929-;28934929-;Z;12,263;;2006-03-11
28934929-;28934929-;Z;;;
28934929-;28934929-;Z;13,924;;
28934929-;28934929-y3x7g86if2jcx;Z;;;
28934929-imhhn7vxa;28934929-;Z;9,114;;
28934929-;28934929-;Z;;EUR;2003-02-02
28934929-19buvpl;28934929-;Z;;;
28934929-j8bdho9lsqyg6;28934929-k42i9vk;Z;;;1994-10-09
28934929-;28934929-;Z;;;
28934929-uy7;28934929-;Z;;;
28934929-;28934929-;Z;;ZWD;
28934929-;28934929-;Z;;;
28934929-u4oxut;28934929-d6v;Z;;;
28934929-tvw1;28934929-;Z;6,625;;
28934929-;28934929-;Z;;;
28934929-rnrd7ijpdfurgwjdt2dnv;28934929-;Z;;AWG;
28934929-j23ebi;28934929-lo21;Z;;XAF;
28934929-;28934929-15eegdkul;Z;;;
28934929-;28934929-;Z;;BGK;2009-06-27
28934929-;28934929-;Z;;LYD;2016-10-10
28934929-;28934929-97q286xyfq5agvxp55baui;Z;;AZN;
28934929-;28934929-;Z;19,630;INR;
28934929-rcqynt4u0r4ggt6p;28934929-;Z;;;1990-08-17
28934929-yt8hlfbag1i5e;28934929-;Z;;;
28934929-b8m7wbrpu1ncyr4;28934929-;Z;3,659;;
28934929-;28934929-;Z;;;1996-03-15
28934929-7bae08w29as;28934929-;Z;;;
28934929-;28934929-;Z;;ETB;1997-08-16
28934929-;28934929-;Z;;DKK;
28934929-;28934929-;Z;12,813;AED;
28934929-;28934929-3vuq1e;Z;;;1998-09-25
28934929-;28934929-;Z;;AUD;2016-10-02
28934929-;28934929-;Z;;;
28934929-v7h;28934929-;Z;;;2014-07-29
28934929-;28934929-fl4s5nllh;Z;;ZAR;
28934929-4vwihpdkkef;28934929-8m3vjmkdcxuu;Z;14,293;;
28934929-;28934929-leyov3gii;Z;2,706;NOK;
28934929-;28934929-;Z;;LUF;
28934929-;28934929-0xeo1fg3jacugbhpjcba1;Z;;;
28934929-3is15mriohth4;28934929-;Z;2,011;;
28934929-;28934929-;Z;;;2014-10-24
28934929-;28934929-ktld4;Z;;;
28934929-2246vdu;28934929-;Z;;;
28934929-5waj;28934929-qlj16gwrgv;Z;;;
28934929-;28934929-;Z;;;
28934929-;28934929-;Z;;XAF;
28934929-;28934929-;Z;;;
28934929-w88vkus4jp1hlauas;28934929-;Z;12,735;;
28934929-;28934929-;Z;;VEF;2001-12-22
28934929-;28934929-;Z;;MKD;
28934929-;28934929-;Z;;RSD;2001-02-17
28934929-;28934929-;Z;;TWD;
28934929-;28934929-;Z;;HTG;1993-07-19
28934929-;28934929-mku3nvua6eo7unfq53;Z;;SBD;
28934929-;28934929-;Z;4,727;ZAR;2003-07-15
28934929-01rdjynkq;28934929-;Z;;;2003-06-03
28934929-ctpnwjk0u;28934929-;Z;;;2013-06-24
28934929-fblyrwey0nh96;28934929-2rr1oteyvm15kb0o;Z;;ALL;
28934929-wou6k198mds7;28934929-;Z;;;
28934929-;28934929-;Z;;MGA;
28934929-gab7kuoo206;28934929-jcv1;Z;;XPF;
28934929-a2i853c1;28934929-;Z;;RUR;
28934929-6nds9dkd2l4an2u;28934929-;Z;;;
28934929-lyq;28934929-;Z;19,436;;
28934929-;28934929-;Z;;;1997-05-31
28934929-;28934929-;Z;;ECV;
28934929-;28934929-;Z;15,218;;
28934929-vapxr36om;28934929-ixka6mnykw3ooyxm191;Z;;;
28934929-;28934929-;Z;;GTQ;
28934929-;28934929-;Z;17,797;;
28934929-;28934929-0li8g2xv;Z;;CLP;2021-07-30
28934929-qrt6o;28934929-;Z;0,644;;
28934929-;28934929-f7jktaxkbqq84xob;Z;17,109;;1990-08-04
28934929-;28934929-;Z;;;
28934929-;28934929-;Z;9,406;;1997-05-16
28934929-;28934929-;Z;;;2014-04-17
28934929-;28934929-njr80jn3il5ygly8bdbl;Z;19,174;;1993-03-26
28934929-3407idcppp;28934929-;Z;4,756;MZM;
28934929-;28934929-5c8o5lu3;Z;;;1994-10-26
28934929-n9sto7ateuijaqoageje;28934929-j1x7fbf724lega;Z;;;
28934929-;28934929-;Z;13,452;ESA;
28934929-g0o84wixh8q;28934929-;Z;;SSP;
