#28934929-M-201906-Z-cas01-01;misto.csv;2019-02-12T12:51:36+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-;28934929;;11,3641253;;;;;3ésšúxýt3áě;9741;čy0aypcmýcqq0á29eýbú98jčxeky7óě6kýčvťggvýqacq3uďóšfi;5571;;
28934929-;28934929;16,8584404;;;;513;;;4405;;;;9603
28934929-;28934929;;;S;bvuď4sýáď2nčbřřď511ú11ygě5čby2sm8lešoq;812;kyxá48uůťůů9bťl8m1ó95s9hmšřcířďůď1yodg;;2617;;2740;;
28934929-;28934929;;;P;čo0óíéái2íupd;1362;;;5582;;;;4912
28934929-;28934929;;8,4439850;;;5664;;74í6k2ďčgýůdasýb0i;;;;ZLK;
28934929-;28934929;12,3728704;18,5949821;P;;;;;5618;;;;8083
28934929-7lua81jgle3y;28934929;;;;;;;;;;;;
28934929-ye3nyaoif1fc1w;28934929;;;;adpwo6bú5ťtjsřěrné1i4ůo58e0cěěčtmrpj56yíš8nb4ďč;1897;;;;;;;
28934929-kne;28934929;;;;kwýcáí7t0e7oůť9kyku6fířkéšťnjíávé850;1789;;xéačfókmh2axsíytř311vqhpínřči2i3qýč7ycáfšr0cft;;;5257;;
28934929-;28934929;;13,5620546;S;ť4bvsfek;;;;;jů26uďoťyy;;;949
28934929-fcmywg4;28934929;0,6582967;;;mjůhšmltiúajl8sbm6cetc3úe;;;;;;;;
28934929-;28934929;;;K;;;syýř3exf02lldc;;9316;by8ib6deýé314clúqvasxf49gřoě00ússét54wcdďoóxw5růíď5;;VYS;6455
28934929-;28934929;;15,0844193;;3qťcčvuv;5010;;;;5ilh5cř4yřř9vn4ůnu1fu3íě90rčfí37šu;;PAK;
28934929-;28934929;7,2634668;;PS;hšáh2xmqp4hů7lbs9ůahíoť;;;;;;;VYS;
28934929-;28934929;;17,1877003;;;;;étďo7gsmťyšaoďh5éfúěiťápíohen3cvéeěnjé1v;;lnďaů6jtějuú5oiětaugoýéíítmwnkmo;;;
28934929-46slxhev5n3ranwrqa;28934929;;;;;;;;;;;LBK;
28934929-;28934929;5,9060869;;;q4řfuyt7í2vťá7ť4ů5lčuýhnúavdqa;;;;5426;č6ůjodťjq9w;719;;4258
28934929-;28934929;;;K;;;;eáóúčéscqkýájďá2qdm0otl5ó4uíe0xj3jxďejoxýféys9j2uo;;;;;
28934929-;28934929;;;;;;;ůac3m0h5íěf;;;;VYS;
28934929-;28934929;0,4555053;5,5857081;;;;;;;;838;;
28934929-;28934929;;;;4k828hesmě8tcb2wřčpylhůýsng1čč;;yvnógý8řdujwtbý2véwpřscóaohbdtbf;;6733;;;;9606
28934929-;28934929;6,9232054;;S;;;u26vinú1l82ťqě3óáh5ůď2sgipr8jgeúqeéfůš94fjmw6xco;ó2s4wjqénřťl9řóť4čě;;;;ZLK;
28934929-49oc5qs;28934929;;;S;;;;;;;6556;;1282
28934929-;28934929;;;K;uíě4oó4ťkm0ábý88yúhymuy0xynčój4;181;;;;xt86č4xvrágět;;;
28934929-;28934929;;;;;7181;;ssú6swxú04ůíftrf2darúx4j3éqí835m0bfl8amď31cuqr3jř;9968;;;;
28934929-;28934929;14,7913456;;PS;n69ťý8fxýýr4sd9l7jdů2dwťw0lnbrl;;nkxý4ěůšrjo83g9tx6éúxénhi74kxxn16jn1š54si0;;;;;OLK;4150
28934929-;28934929;16,1696320;;;2f0xwép1óváťůcvh163éo44jqakť5bcb8mšaďtď9ďktk9x1;;;;8530;;;;
28934929-122n8d54h;28934929;;;;4fv1xgy5g7j378iuěxý14lqlphrdfučgd4ďkďi86ď9qyj5w24ťč;;5icvov66rnb;;;ul8ů49kúrig4tóť2ť56a5síhm5síyák9řrhiupsefaškónx;;;
28934929-8w9b4xg0xbkxr;28934929;;;;;9336;;;9054;;;;
28934929-;28934929;;;K;coíxčířékhíg0céa1ap;;;;;;;PAK;
28934929-ewxym1q;28934929;;;;;;;11rýóšdw6;;;;;
28934929-;28934929;7,0206900;0,6479456;PS;;;oďšyvštliam5wakóťůč8ógíšúdýnš0dí7ůso7s3ťpý4bč;;8334;;;PAK;
28934929-pm1888m2she04wv;28934929;;;;;;;;3698;;;;
28934929-;28934929;19,0520954;;;;;xóp;;;;;;
28934929-;28934929;;;P;;;;;;mlg4úběďr39eúxcóv9mdój2yw820fsaůwv4ršcpiďúháj5;;;
28934929-;28934929;;;;;8061;;;;;;;4167
28934929-5apq0t9ulmvnnd3d;28934929;;9,9931326;;;;;;;;;;
28934929-;28934929;;;;;;čýíř8xj6jěxnhv65t17kýqlwíísěihaůóc;;;;4673;;9761
28934929-;28934929;;;PS;;;;;;;1118;;
28934929-tda4;28934929;;;;q0ěťičv6oxo4itťvlú9řú7ýy9paů17ghábqómn5ůšk5ť2x;;;;;;;ULK;
28934929-vthb8a546j;28934929;;;PS;;1073;jg1hď7éffýjgě1ďkhqtřál2ů1nůb;;;nyěsýiújéůwkív5dy6rmýdeu414but4g524áčýrnúýíýp;3228;;8993
28934929-;28934929;;;;ndčepíqgé9čkpůey11o4a08kk1ucuvďíaupómšsčgááoě;5396;;;;;;ZLK;
28934929-aenph53ft1mqsany;28934929;;3,7538292;;čomíbv2658lďcsuš6t6bb6lp0škjpó7dťďúčťí;;;mšw;;;6184;KVK;
28934929-;28934929;;;S;;;ll4ewčh0d9abwáryj1f8p0wcokíťlc0lný;;;;;;267
28934929-k4925nrgnetu;28934929;;1,7487710;;;;;;7018;;;;
28934929-;28934929;;;;;;;0ííioťb2íyúákkoeeýú5h46ďq;6083;;1082;VYS;
28934929-;28934929;;11,9802437;;;;;;;;3560;;
