#28934929-M-201906-Z-cas01-01;mozna_vyhra_pro_hru.csv;2019-02-12T12:51:36+01:00;1.0
idmoznavyhraprohru;idhra;idmisto;moznavyhraprohruvysepocatek;moznavyhruprohruvysekonec;menakod;datum
28934929-;28934929-j9br;28934929-;;;;1999-02-23
28934929-;28934929-m9a8yvmrmr5vllya2at4;28934929-t8q1j50bqsw1wxy6xj;;;;2021-04-14
28934929-;28934929-;28934929-j48rnujddr7jrbaredw;;;;
28934929-;28934929-;28934929-;;;;
28934929-62x1gqp4uiw5jk8n;28934929-;28934929-;;;;
28934929-;28934929-dniko1fs53bnpvjtqkn3;28934929-cgh5l;7,61;;ESB;2016-05-03
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;1,79;17,00;;2015-06-02
28934929-;28934929-rpaijj3;28934929-;;16,93;YUM;
28934929-;28934929-;28934929-;14,81;;;
28934929-m7f1dv04m1l;28934929-1cj42ju65n19u;28934929-;;;;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-cn8ew7v64fjkn8y;28934929-nh08q;;;;
28934929-;28934929-;28934929-2nhyq31wbbte970qoejfvh;6,55;14,76;;2007-08-21
28934929-;28934929-;28934929-;6,24;;;2019-09-24
28934929-ksr8bsis7h;28934929-;28934929-5w95kd5;;;;
28934929-;28934929-;28934929-;;;;
28934929-p4j0siat221w;28934929-;28934929-;7,23;;;2008-02-22
28934929-;28934929-;28934929-5mafnvyp1unbi28dl;;;;
28934929-;28934929-;28934929-;;0,02;USD;
28934929-;28934929-ww5mdw82iwnpu4qora;28934929-h4bh3tkm2t8f04jn96n;13,90;;;
28934929-;28934929-;28934929-;9,76;;;
28934929-;28934929-;28934929-;14,68;;;
28934929-jpt1jobqhc1bs6;28934929-;28934929-kxxoi6c9q4nefgr7q;;;;
28934929-r21e7r15aka1m4v2dggwv;28934929-8cof0cykdmsf2axbnfm9;28934929-u5p2bi1;19,50;;CHC;
28934929-e86gciyciomtuaepjld;28934929-;28934929-;5,92;;;
28934929-;28934929-;28934929-;2,25;;;2000-05-09
28934929-;28934929-mw3nwxvustrp;28934929-;17,56;;WST;
28934929-lw4cn16q6qnmjkwahfw;28934929-;28934929-;;;;
28934929-;28934929-d1mm7hfj;28934929-;4,54;4,24;FRF;
28934929-;28934929-t7r046ost9by6phf26v6;28934929-;;;;
28934929-;28934929-;28934929-bqu7doft;16,72;10,74;;
28934929-;28934929-;28934929-;10,70;;;
28934929-h4rx3v7kn7ip9;28934929-;28934929-ao7ejmbgxy8jhc0;;;GRD;
28934929-;28934929-infd;28934929-;11,21;;;
28934929-;28934929-gvah;28934929-;;;;
28934929-86wj72;28934929-;28934929-idf0nbbhoyt4qcukgr;;;KGS;
28934929-fdj1657q;28934929-;28934929-;9,72;15,19;;
28934929-;28934929-12de4qpxfnkymg;28934929-;;0,80;;
28934929-;28934929-3b0u5d1bkmfb;28934929-;;;;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;;BRE;
28934929-cgvlhh89gx;28934929-;28934929-omvpksmx;18,77;;;
28934929-jwstp6wqox1;28934929-nkefb0j;28934929-;17,84;9,83;GHS;
28934929-i7jc3;28934929-;28934929-;1,58;16,67;;2017-08-11
28934929-h6yxvtvc3a02c5dvkgg;28934929-;28934929-;;;TMT;2014-04-11
28934929-;28934929-;28934929-2pgm646av;3,49;;;2016-03-13
28934929-;28934929-41udbigb3vejmb;28934929-;;1,05;ZMK;2004-07-14
28934929-;28934929-;28934929-3he3we55x3i4lf6;;;;
28934929-;28934929-;28934929-89mwd6p2daxlgp6q;15,56;;;
28934929-m6m365nsl6;28934929-1vf2;28934929-;;;XAG;
28934929-yv5781blyrcwjf3fb;28934929-us0s8tox18rvevofmxy8x;28934929-euew;;4,47;EUR;
28934929-4kb7;28934929-;28934929-4fnsaivuj4aclnl8f28a4;;;CNX;
28934929-;28934929-;28934929-;;;;2004-08-30
28934929-2clvfmwll93;28934929-;28934929-;19,60;;;2019-12-30
28934929-;28934929-byjwihqu5;28934929-;;;;2019-02-02
28934929-9nujf9alx4fwbjim3t;28934929-;28934929-;1,50;3,24;COP;2004-07-10
28934929-;28934929-2b64d;28934929-;13,32;;;
28934929-;28934929-;28934929-;;;;2001-02-20
28934929-;28934929-;28934929-;;6,68;;
28934929-;28934929-;28934929-;13,41;5,05;;
28934929-;28934929-;28934929-;;;;2011-04-09
28934929-7afkblm7guj8;28934929-;28934929-kmls;10,28;17,44;;
28934929-;28934929-0j7v7s2p2hg680bk;28934929-;;;;2002-09-05
28934929-;28934929-;28934929-03b9r;;;COU;
28934929-;28934929-vvcfrvkm5q;28934929-64hh70s1d;;;;2009-03-24
28934929-;28934929-;28934929-;;;;
28934929-s2j48ha9p02;28934929-mx3odnuw;28934929-kyvguq36rm8quejj87n;;4,18;;1999-06-18
28934929-;28934929-;28934929-;;11,84;;
28934929-9m66rxv2n8;28934929-hdp;28934929-;13,24;;;
28934929-;28934929-;28934929-1sdg3ii8kvq;6,90;;;
28934929-5vxlyhtlc2ucu9yvn08q80;28934929-;28934929-;7,39;;RHD;
28934929-;28934929-;28934929-;;;;
28934929-ydxtt3gyoux6dgksj6;28934929-;28934929-;;;EUR;2003-05-08
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;19,55;;;
28934929-;28934929-56hax3;28934929-;16,84;;;2007-12-04
28934929-duqdu9bhm4rq3;28934929-rj6qd;28934929-;15,76;;;
28934929-3fx90jseet6ftl2nl08;28934929-;28934929-mo7v8uyqi4mgo9c;;;;2010-06-19
28934929-;28934929-;28934929-;1,04;12,29;;
28934929-blsh51;28934929-;28934929-;;5,63;;
28934929-36d7euvg3nfoj6trqdjgm;28934929-icr;28934929-;18,86;;FRF;1994-11-05
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;;6,70;;
28934929-;28934929-;28934929-;;19,33;;2011-11-09
28934929-0uatrpq3w981;28934929-h9ko678;28934929-1r6ny1xgi79yl1xbrpp04;8,24;;;
28934929-ibsclaxq5hf7h;28934929-;28934929-71llbsciui0v;;;;1997-04-25
28934929-70biukp61;28934929-jyhj9lq0qcb74y3cxgc;28934929-;;;;
28934929-;28934929-6d4;28934929-;;;;2020-10-02
28934929-;28934929-;28934929-;7,36;12,35;;2021-09-18
28934929-;28934929-b55f22xj7ljoy;28934929-hm6;;;;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-awt;12,32;2,69;BDT;
28934929-o0cqg5ux5;28934929-;28934929-3ulv501a;;;EUR;
28934929-;28934929-;28934929-;;;;
28934929-b7btk27dyj0a;28934929-;28934929-adyqx3e9a4gjc8;14,39;7,59;NAD;
28934929-ripa3179raq;28934929-;28934929-eyixns49k8;;1,88;AED;
28934929-;28934929-;28934929-elb94v3hqf;;5,54;;
28934929-;28934929-htnh7fwf8ot56y;28934929-8kda;;;XSU;
