#28934929-M-201906-Z-cas01-01;mozna_vyhra_stul_bingo.csv;2019-02-12T12:51:36+01:00;1.0
idmoznavyhra;idzaznampstb;idpstb;moznavyhranazev;moznavyhravysepocatek;moznavyhravysekonec;menakod
28934929-;28934929-ac0sntci5bpv9fhj;28934929-4gb2ethp9u7m;;;;FRF
28934929-;28934929-0el;28934929-;a8dkópv7hn5syýí9;;19,86;
28934929-;28934929-;28934929-;ýiéotsýsé9ť11ýiýššxumeuwďýúďó8kčl52k8ú;;;
28934929-;28934929-;28934929-;;17,99;;
28934929-hqvra511d6691atusqquqj;28934929-;28934929-;ý98rx3r3a6ógíípjýwj;;;
28934929-1yhg5l46b;28934929-jrwhq46oq1xq16x;28934929-;;8,40;;AOR
28934929-vc2;28934929-;28934929-;;;;USD
28934929-;28934929-;28934929-;9mťneočť8b6ďtaaxó15l7íu08gř7w;5,61;8,38;
28934929-;28934929-;28934929-;9w262lfč4gmúecéíoýíqfíjýá9q;;;
28934929-;28934929-g3tsb19ljr2fs02d60esh;28934929-;fúj4iuý75é4řwm62řyš9ťí;14,32;;
28934929-;28934929-;28934929-6wr4q0j;;3,20;;XOF
28934929-;28934929-;28934929-xnkqlvp2r3apxjyf2dosyd;;11,42;8,62;
28934929-;28934929-ly00do4cefulnc88;28934929-;;9,22;;SEK
28934929-jcte27x;28934929-ewy7nf56bp0qfka;28934929-;;;;
28934929-;28934929-;28934929-5l72orw6fw;;;;
28934929-;28934929-;28934929-;;5,28;11,41;LKR
28934929-;28934929-uycfvsg0di0pyq9;28934929-;;5,57;;ZWC
28934929-;28934929-w1nf3wr3c8g;28934929-;;6,71;7,06;
28934929-;28934929-;28934929-;;;;
28934929-xmr6s543d4d;28934929-;28934929-r1mg1yfi72;;;;
28934929-;28934929-0g3t4vy9qjrp8yt0vt22;28934929-;;;16,23;
28934929-9tajna97942;28934929-;28934929-;ú336yďsáýtč6éč9ú5čííbfpť1;;9,90;
28934929-;28934929-;28934929-qjq7mcj;;;;
28934929-yf6r7hrnym0elgr0rfun;28934929-;28934929-;;13,32;;XCD
28934929-hvoy;28934929-;28934929-;xóď3wpsxť0íjř2nxkůawgěůkh0člxoh0er0č6;;;MNT
28934929-;28934929-;28934929-;40qúledď82rč8mdíáóaúíhoák1wqkě6nsbkh1šo4čúýť73slpášf;15,89;6,83;
28934929-b2n06wiuvb;28934929-bobrynmgsx1tyi3650;28934929-;0ěě83tvbí62hu6anůdťaftě3i67njfó69f6o;;0,23;
28934929-;28934929-80mbj0qj4udbjl3rfh03;28934929-2quv38;;;;
28934929-;28934929-;28934929-xcv1tkk5wtcalvu4vx;0xyuřřísgaý3áhxěhirw0dab;18,11;;FRF
28934929-;28934929-;28934929-;č0écmmvuníg7éťšcámtk0šř;6,87;;
28934929-;28934929-;28934929-;;10,25;;ISJ
28934929-;28934929-;28934929-;;1,52;;
28934929-;28934929-;28934929-yxorh05mcrt1b;hfdj;;19,68;SDD
28934929-;28934929-auojkn7nqoo47u1a351e;28934929-hd09m6;;;;EUR
28934929-;28934929-;28934929-j1jtujfhmbac6ocsbhp5b;;;;
28934929-;28934929-;28934929-;;8,87;;EUR
28934929-;28934929-;28934929-uc2;;;;
28934929-vc85qifkemquuxujp;28934929-;28934929-;;14,68;5,68;LSM
28934929-;28934929-;28934929-;;17,35;4,02;
28934929-;28934929-;28934929-;;;4,64;
28934929-;28934929-;28934929-3sn;;;;
28934929-e3d0pfhd1wtc08rv;28934929-;28934929-;;19,39;2,22;
28934929-;28934929-;28934929-74sakswjfxp7uguj2u0;;9,18;;
28934929-;28934929-;28934929-;o3p9d6sxhd1ťijčcýť;8,54;;SIT
28934929-;28934929-;28934929-;ťykdaatfe6hóchďřoóen6bikúůjg5;1,55;;
28934929-;28934929-;28934929-;pwcb7nů26č8šnejcě8á5daiůp0pilóíúeěmákv34f;;;GTQ
28934929-s9vmmnwqf2d6njj;28934929-6mkhlmr8i5advv7xyn77;28934929-;;;;
28934929-;28934929-nlw7jjirha;28934929-;;7,20;;
28934929-l569kxx2igqo6jqq;28934929-;28934929-;;10,39;;LAJ
28934929-;28934929-;28934929-;;;7,00;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;křjbw9álť0j;;;
28934929-;28934929-;28934929-k24oiw5osxwpab03;wě3bjěorůýcui2ťrů5su3571ůiůú0tvěevgřďyéeuciřr;;;
28934929-;28934929-;28934929-d59a21nx1bcy0m;;;;
