#28934929-M-201906-Z-cas01-01;pokladna_stul_turnaj_bingo.csv;2019-02-12T12:51:36+01:00;1.0
idzaznampstb;idpstb;pokladnastulturnajbingo;idmisto;idhra;cistyhernivysledek;menakod;provozod;provozdo
28934929-;28934929;P;28934929-0tq33mi0pm1;28934929-;;ANG;;
28934929-;28934929;;28934929-22su4v4k0d8ie8g;28934929-;;;2013-12-07T19:02:03.6+01:00;
28934929-jjoilndggq;28934929;;28934929-;28934929-;;;;
28934929-;28934929;;28934929-;28934929-3xn;;;1996-02-11T04:28:18.6+01:00;2000-02-02T01:45:40.6+01:00
28934929-;28934929;S;28934929-;28934929-;;USD;1999-02-07T04:54:34.6+01:00;
28934929-;28934929;S;28934929-o6kcg6xqq;28934929-;;;2002-02-06T08:37:28.6+01:00;
28934929-;28934929;;28934929-;28934929-;;XCD;;1990-12-15T00:21:21.6+01:00
28934929-;28934929;P;28934929-;28934929-;0,13;PEN;;
28934929-jq6n37u0qwon4paw;28934929;S;28934929-;28934929-;;;2004-11-17T04:47:03.6+01:00;
28934929-;28934929;;28934929-;28934929-jut;15,36;;;
28934929-;28934929;;28934929-;28934929-;;;;
28934929-;28934929;;28934929-;28934929-;15,65;KRW;;
28934929-;28934929;S;28934929-;28934929-;5,69;;2011-02-01T02:04:31.6+01:00;
28934929-;28934929;;28934929-rq7lhyf9v9;28934929-ipe;3,27;;;
28934929-4o03;28934929;;28934929-;28934929-;10,08;;;2000-12-06T19:18:24.6+01:00
28934929-;28934929;;28934929-;28934929-;;LTT;1995-10-02T13:55:30.6+01:00;2001-09-13T12:41:57.6+02:00
28934929-;28934929;T;28934929-;28934929-;;;2018-08-07T13:01:22.6+02:00;
28934929-;28934929;;28934929-;28934929-q4w101msy116ou1r8n4h;;;;
28934929-;28934929;T;28934929-;28934929-;;ESA;;
28934929-;28934929;;28934929-;28934929-rmd1atnptjg9h03cxkl884;;NIO;2000-01-09T14:34:28.6+01:00;
28934929-;28934929;;28934929-;28934929-;;;;
28934929-0r0w8v9;28934929;T;28934929-;28934929-;;;;2017-04-05T17:59:07.6+02:00
28934929-;28934929;;28934929-;28934929-;19,25;PEN;;2021-04-20T17:59:59.6+02:00
28934929-kti7vs3nqmfpf;28934929;;28934929-3yocv;28934929-tor;;;2002-05-04T12:35:14.6+02:00;
28934929-;28934929;B;28934929-j1ap2iiw;28934929-;0,04;FRF;;
28934929-6si2hkdvimo8dtnir6kug;28934929;;28934929-;28934929-;;;;
28934929-;28934929;;28934929-;28934929-;1,05;;2016-04-08T13:42:17.6+02:00;
