#28934929-M-201906-Z-cas01-01;prostredek.csv;2019-02-12T12:51:36+01:00;1.0
idzaznamprostredek;idzaznampstb;idpstb;prostredek;menakod;stavvysepocatek;stavvysekonec
28934929-;28934929-208u;28934929-;;ZAR;;
28934929-;28934929-;28934929-fruxt3pvre5;;CSK;14,48;
28934929-jdi54c82la1wlf4xid;28934929-4vvxvofjxwpa7vlp8r0lc9;28934929-;;XCD;5,59;
28934929-;28934929-;28934929-;;;0,12;1,30
28934929-2wngc;28934929-4cctph;28934929-;;;;
28934929-;28934929-;28934929-gnln1qfcxap8hhjob53w0y;;;;4,27
28934929-8dgdabhh;28934929-;28934929-79qxy3l9x8d64tq;;;;
28934929-;28934929-;28934929-;2;;;
28934929-;28934929-;28934929-;0;;;
28934929-;28934929-;28934929-;;EUR;;18,93
28934929-;28934929-;28934929-;;EUR;;
28934929-;28934929-;28934929-ucfku;;;;4,46
28934929-;28934929-0q2kl9c;28934929-577sdl1obn1viaamq5uqp6;2;;;2,98
28934929-3nmi2dl51mka;28934929-a2ri6ev7do;28934929-ta1fk6ot3dea0cq8v;;ESP;12,90;7,11
28934929-;28934929-2v105afsy8cj7w27e;28934929-jv8y0l10aog46k4bbf9a;;;16,80;
28934929-0ifn8;28934929-ebfpkeenj6wy0biu2koc8;28934929-;1;;;17,31
28934929-k18;28934929-tstwr1r4wh;28934929-;;UYP;;
28934929-;28934929-s1e;28934929-aiylttuugalbsptt;2;;;
28934929-tkopdetovh6wiua0;28934929-p0pfn7;28934929-;;;0,09;
28934929-;28934929-;28934929-;;XUA;;12,72
28934929-;28934929-s98wm2w3inq8;28934929-;2;;;9,17
28934929-;28934929-;28934929-;;;;
28934929-uhkhbrecoyj;28934929-52h5h39uj1ao7dgk;28934929-;;;;
28934929-;28934929-;28934929-8kg2p9ppmf6r7lcj;;;;
28934929-;28934929-f9gkrtqrp94b4e8gnb;28934929-dt4m2mk4fqtmes;1;XBB;;
28934929-;28934929-;28934929-;1;;;
28934929-8t7;28934929-5y022whkfthcxl4iq;28934929-;;;;
28934929-l5k6slxic9p;28934929-;28934929-;1;GIP;19,59;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-dh4tgdpfw86sx;;;;
28934929-;28934929-;28934929-;;SIT;;3,48
28934929-onhvr92s64r;28934929-qnefwyicxq0s;28934929-;;;;
28934929-;28934929-g8aoq89q;28934929-qxiscuixna90hu4l91v3h3;;;;16,75
28934929-;28934929-;28934929-;1;;12,88;
28934929-8gvh37bxihcrk;28934929-;28934929-;;;15,02;
28934929-;28934929-;28934929-vjjj8310m1n0xcpsmqklke;0;XAF;;10,10
28934929-;28934929-;28934929-;;;;
28934929-dio6cdfvoat;28934929-;28934929-ln1888heveab6f6;0;;;
28934929-;28934929-;28934929-42toxli5ov79q0c8yvn0e;2;;8,20;
28934929-;28934929-;28934929-;1;XEU;;
28934929-0i3w5;28934929-asvdat9pkbldnwttiq1gxj;28934929-v5giqu7mm5l;;NZD;;12,93
28934929-p3srac7hfi6ykb7ieno06;28934929-;28934929-;;;;7,44
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-muv9oe;2;;7,09;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;2;;17,66;
28934929-qtb59o4b391rf9e7hhmu;28934929-;28934929-ifmc5c2dt35yw3wos33pth;;BUK;;14,66
28934929-;28934929-;28934929-;;DKK;;
28934929-;28934929-doqilfqravva7cov3t;28934929-0iheu5auxo0aqr;0;;;
28934929-;28934929-;28934929-hpsq1;;;9,55;5,62
28934929-dg6k82n10pwsrolok59m5g;28934929-;28934929-;;USS;;
28934929-t87rh0kqulq84fm62;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;2;;;
28934929-;28934929-ox8afj59hhkwrhwgthp;28934929-otrcsismcocli;0;;;
28934929-;28934929-;28934929-;;;;18,29
28934929-210b51g5;28934929-;28934929-;;MGA;;8,43
28934929-;28934929-;28934929-;0;;;
28934929-;28934929-glqqh;28934929-;;SIT;;15,73
28934929-;28934929-;28934929-;2;LSL;;
28934929-;28934929-oiu7d;28934929-;;EUR;;
28934929-;28934929-;28934929-po3iv;1;;6,80;
28934929-0j1xuic8y2jqjjxpvw;28934929-;28934929-2xmlateiq1y;;PEN;;3,47
28934929-v3grk;28934929-;28934929-;0;;;
28934929-t0b04r;28934929-j7b3yq5ur1cs07l4w;28934929-;;;;
28934929-;28934929-5u2;28934929-;;;;
28934929-16wo62xtqxr9hh0tb;28934929-;28934929-;;CHE;;2,59
28934929-;28934929-xik6q;28934929-5dckj2ix6t3hoj;2;;11,68;
28934929-qvtsuoo67mqux0jwl2ootm;28934929-;28934929-;;;;
28934929-909t;28934929-lvihoeo;28934929-7yv94wniiu805koaf6h2;;;;13,95
28934929-tgepo;28934929-j3nl9bdhgut1qie9jqe;28934929-;;VEF;;
28934929-;28934929-;28934929-;;;;
28934929-;28934929-;28934929-;2;;;
28934929-;28934929-f72fm2dtnp401m;28934929-;;USD;;10,15
28934929-;28934929-;28934929-;;;;6,72
