#28934929-V-2019061208-B-01;evidence_her.csv;2019-02-12T12:51:35+01:00;1.0
idhrapopis;hranazev;hradruh;hrakategorie;idprovozovatel;spustenicas
28934929-;2ýlg5;;;28934929;
28934929-r75ta6fbsgmxm9aco9v48p;;;f;28934929;
28934929-;8ouus6óquiě1dýfh;;;28934929;
28934929-amvjs8ht4etp;s865čšě108ř3sůy0čřta2jkp0ó56lcróqěajungďem6séj1šp;;d;28934929;
28934929-x2sn97xey0h33re3tc;áúqůtběeďóídbii69pfq38čt7bh7ábaup09šicecú;;;28934929;
28934929-;;;;28934929;2002-03-30T03:43:09.6+01:00
28934929-;;;;28934929;
28934929-1i5c31qoxbfu3w1pnkof;;;b;28934929;
28934929-3vr8yysqccqxh;h5íť4óůťmmbínávřěuť1;;j;28934929;1996-03-16T01:03:22.6+01:00
28934929-rdpf;45g;K;;28934929;1996-09-19T00:35:43.6+02:00
28934929-;;Z;g;28934929;
28934929-cmpihvso8p5tkgxc6h;ějá5ničrhú2ýďvywů3ys22g5g5x;L;;28934929;
28934929-;;;h;28934929;2009-08-16T14:15:43.6+02:00
28934929-;;;;28934929;1995-05-16T15:47:38.6+02:00
28934929-guca8jcxd8klgygdq;;;;28934929;2011-03-31T07:36:35.6+02:00
28934929-;;;j;28934929;
28934929-;;K;;28934929;
28934929-;;;;28934929;
28934929-e137b1a;;B;;28934929;
28934929-;;;;28934929;
28934929-;;L;;28934929;2012-12-17T23:28:43.6+01:00
28934929-;;;;28934929;
28934929-lbipus6oa;;;d;28934929;
28934929-9duy3s18jebeis2lm9sl2y;;;;28934929;
28934929-;;;;28934929;2002-11-05T04:15:23.6+01:00
28934929-;n72káfíá27qťjwóě2ýďh5yrťvejd4obťiťidsť103pwůttg;Z;;28934929;2002-08-21T12:21:56.6+02:00
28934929-;;;c;28934929;
28934929-d0obliypobco;;;j;28934929;1991-01-24T10:32:47.6+01:00
28934929-vwoby55ev01btur;ěwg95úaé5rio5ůgwi;;;28934929;1995-12-20T06:09:20.6+01:00
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-2l29ssmpqoc8tx;;;;28934929;
28934929-;;;e;28934929;
28934929-;;R;g;28934929;
28934929-;;;f;28934929;2000-02-28T08:23:24.6+01:00
28934929-4ssfw3pm2s3;;;a;28934929;
28934929-luw5cs;;T;;28934929;2003-12-05T13:04:46.6+01:00
28934929-;;;;28934929;
28934929-;;R;;28934929;1995-02-02T11:17:54.6+01:00
28934929-h7bdt567x721mjg;;;;28934929;
28934929-;;T;;28934929;
28934929-;;;i;28934929;2020-09-29T08:22:43.6+02:00
28934929-kt3j4k0;;;;28934929;
