#28934929-V-2019061208-B-01;jedna_hra.csv;2019-02-12T12:51:35+01:00;1.0
idjednahra;idhrapopis;hrazahajenicas;hraomezenivkladu;zpusobzvysovanisazek;povinnyvkladvyse;jistinaurceni;narokvyhra;hravysledek;zahranicniucast
28934929-60u5p;28934929-;2011-12-31T08:37:48.6+01:00;;;fčx4šúmwjwřěěbs1ú;;;s3čedh3uímkw4ůmll3bígevqďěeyřj864ýíg0n594ričexš;
28934929-;28934929-;;;r1vůl6řk0ť3ówť6ó0qóďuýpaercc04o;;;;;0
28934929-;28934929-;1998-05-05T22:23:11.6+02:00;;5q8qrnťsaijůš2o9í5óo;;;;;
28934929-;28934929-mrr2498mbyhy;;;;;;;á7fawx9xxdod2včšvácás9kťltcy8búpd8écdbjpbpý5ojl;
28934929-;28934929-;2014-02-24T18:44:43.6+01:00;;;q8hýeířýwtč5éfxoďdl7d94íómšwrsjbtúbošr0gjěůčhrvdd1;;u451ueucthc0úqg4ťlmě;e2úrbš7xýsvlóárýq61v3frcrqřvkě62črť;
28934929-;28934929-;2012-03-01T21:47:59.6+01:00;kóh31lův7ywďdpfů52llťťjxl8cúětďp0eš2;;;siotawgc06skh5hvěivčvú;dbgfšq7760úqcgxwv59úwvg8eaj5ůitsq3íořóýů1tťá;i8sřhé6qťč87i2búďpi5vgb8r2jt;
28934929-;28934929-;;ráčúy7ró6é6gfldčvwdáiěšlckalčitek4ýpčúúkvléř;;;;1čg29ďgřr6qewkb;;1
28934929-p0lst;28934929-3wumr42mu38qsbsu9c8;;úo1ha6nj2;ju6hu0éxrtowóóďůé8ic6v0ď5dn8wď7wnxky8qwvčárg729čcébl;;ťuýťa8uwúřfmq0y9ú3aód5;pů0ýdvp3aeěíédm;;
28934929-;28934929-dustkhlm0rjn5ow;;;;;;švušre4tá42ď87vťřggbr;;
28934929-jmqm49n3g74kvdwtu8k;28934929-;;;;;ošje0šs9íii01ď3sauů9xk20ódayko34r780ďyúřuqiťó;;;1
28934929-;28934929-;;;83spděmď2ěoč7lďílů4p00i54hlapký32igtfc9čý9px5ldliáé;;;uklčpířů1mřisqíě5ěgwaué14gkmkýce5f2caičéčťlýenuč0řnm;ws8iář4bjté8l1ěč2blyšýrófclťóýá09ev7v;
28934929-;28934929-;;ý5vťót39á7qúpé4úětwwck3blťáoce2;ďlnax1óďsšěéx2úúi2páénjnpj1en7ďuč4ó1iši7qhkh;qúwšď405dšh2há687áw5řěq0šýýčxpkrrřxg7hhůnóhčru2333;29tamfvfv45wspo1ůqtáůí183qčťfú;;;
28934929-;28934929-;;;;;xw2w;;;
28934929-pulxtbd;28934929-;;;;;;9uávb0biop490d7půéb141907udáútikféék1ío1ťé7327búšik;;0
28934929-0l8adpvuhn3osi;28934929-;2015-09-01T13:31:19.6+02:00;;;;;;;
28934929-;28934929-gid2setmu;1991-04-07T05:02:09.6+02:00;;;;;;je62ťďebbúbtacďk17ý5t;0
28934929-;28934929-;;;7xsy;;;;;1
28934929-;28934929-;1999-07-12T22:48:25.6+02:00;;;;;;;
28934929-7kis2nse5b4h;28934929-foh0slac;;šó6np38fěďr5éúů4yewsxh1uď82ů3k3ýkěgbrgxs91;;k6luáíumiyďrwi;;;;0
28934929-;28934929-;;;fšu1dú7čhiť8fi;;;2xépťnřúďť4ď1bť5šjýljťk8hoíj8nčďhóglřn;xů5sbaoďaqóďusxýíhm9yťuáfgl4eočaéúa;
28934929-;28934929-2r62y2gbkx;1994-09-14T13:28:52.6+02:00;;rďpobýic24ayďponó9auccp9óěšlhjstfé;;;;uďkc;
28934929-9w1xo;28934929-;;;16řmčuhčgúh0úřův;;0óácadp58d0w5d925ěvď31a;;55xcťyv2tšoě988h6;
28934929-;28934929-;1999-03-04T01:38:14.6+01:00;vt9š9t3c5uvv;;;;o8n6ťčunscý37nťývneiilys2o4d4hýrkyé9ó5imř1fxi52jb6;;
28934929-ila0fa9de;28934929-;1990-11-02T20:01:21.6+01:00;5eďéxtpáwa;;j6qbšq;;;;
28934929-;28934929-6fububvl391ivwae2i;;;;íóunhk;;;;
28934929-;28934929-;;;;;;ůbpgólťyršýtbb0jišp9bťšl9wšgíufaf9hsúq82wdx;t6fíť9ftph4;
28934929-qcledqdwt6lwk;28934929-;;;;;;;;
28934929-;28934929-;2010-10-14T05:53:02.6+02:00;;;hůtýů4pbčds4růfď;;;;0
