#28934929-V-2019061208-B-01;mena_kurs.csv;2019-02-12T12:51:35+01:00;1.0
idzaznammenakurs;idprovozovatel;hradruh;kursvyse;menakod;datum
28934929-;28934929;B;;;
28934929-;28934929;B;;;
28934929-;28934929;B;19,813;EUR;
28934929-;28934929;B;;EUR;
28934929-;28934929;B;13,213;;1995-04-04
28934929-leb4fey5y3t7didjpeh5;28934929;B;;;
28934929-;28934929;B;14,689;;
28934929-uh92h32q;28934929;B;;;
28934929-;28934929;B;;;
28934929-;28934929;B;;;2003-02-05
28934929-kqkx7qb014ue5r48p8aats;28934929;B;;;
28934929-;28934929;B;7,148;IQD;2018-11-17
28934929-;28934929;B;3,616;;
28934929-;28934929;B;;;2004-11-09
28934929-2esoc9bhm9qxg7wyp7mlp4;28934929;B;15,580;;
28934929-;28934929;B;;;
28934929-;28934929;B;;;
28934929-;28934929;B;6,319;;
28934929-mfsrpkbb37paky14;28934929;B;;;2008-03-07
28934929-;28934929;B;;;2007-06-04
28934929-;28934929;B;;;
28934929-;28934929;B;;;
28934929-;28934929;B;;TOP;
28934929-atvoig;28934929;B;;;
28934929-ia2578fivoa5k;28934929;B;;;
28934929-pd6;28934929;B;;;
28934929-;28934929;B;;DDM;
28934929-;28934929;B;;;
28934929-yeh2i6;28934929;B;13,786;;2013-09-21
28934929-;28934929;B;8,371;;
28934929-7iapruprg1l2cp;28934929;B;3,523;;
28934929-;28934929;B;;ITL;2021-04-16
28934929-;28934929;B;14,760;;
28934929-sqyi4y3hiox0j2ebbq;28934929;B;;AUD;
28934929-;28934929;B;;USD;
28934929-2sgfaovidrgmj56a;28934929;B;;WST;
28934929-f5lvvsbfva2n;28934929;B;;;
28934929-;28934929;B;;;
28934929-;28934929;B;2,704;;1991-03-22
28934929-;28934929;B;;;
28934929-;28934929;B;;PLN;1997-04-09
28934929-wb3i7aha2psdtuo1bc7w;28934929;B;;;
28934929-;28934929;B;3,679;;
28934929-37y7r88;28934929;B;;JMD;2007-05-26
28934929-tvxhd;28934929;B;;BEL;
28934929-;28934929;B;;EUR;
28934929-;28934929;B;0,288;;
28934929-;28934929;B;16,740;;
28934929-;28934929;B;4,711;;2003-06-10
28934929-;28934929;B;;;
28934929-;28934929;B;;;
28934929-g12cgk35cjg7gpkem3;28934929;B;;EUR;
28934929-;28934929;B;1,775;;
28934929-h52gk86bxih1126e32wf;28934929;B;6,521;ATS;2018-08-17
28934929-9otx3aa0q1p;28934929;B;2,133;;
28934929-culxjq6wwb0hm;28934929;B;;USD;
28934929-dauvpox7ux3gdko;28934929;B;;XCD;
28934929-1mqtpdxj98dpbrnk9qf;28934929;B;4,368;;
28934929-;28934929;B;;USN;
28934929-aywvy9acykvt2c1mncc;28934929;B;;;
28934929-;28934929;B;;;
28934929-;28934929;B;;MGA;
28934929-;28934929;B;8,019;;
28934929-9pxe;28934929;B;5,354;;2019-06-06
28934929-;28934929;B;0,747;;
28934929-;28934929;B;;VEF;
28934929-;28934929;B;16,535;XAF;
28934929-;28934929;B;2,255;ZAR;
28934929-8gexhx3e60p4;28934929;B;;;
28934929-utkpdp8;28934929;B;;;
28934929-;28934929;B;;;
28934929-r5lymnlyostlajpq4i4;28934929;B;;;2010-04-18
28934929-;28934929;B;18,315;;2015-01-24
28934929-cm26bn5g2y;28934929;B;;;
28934929-;28934929;B;;;1990-07-17
28934929-;28934929;B;;;
28934929-pu3xc32vetqfmjq9k;28934929;B;5,800;;1992-10-06
28934929-;28934929;B;;ESB;2015-05-14
28934929-;28934929;B;1,108;BRC;
28934929-plopr2;28934929;B;;;
28934929-;28934929;B;7,510;;1995-01-31
28934929-mmd;28934929;B;5,027;;
28934929-;28934929;B;;EUR;
28934929-;28934929;B;;;
28934929-;28934929;B;;MMK;
28934929-;28934929;B;;;1999-10-18
28934929-;28934929;B;18,158;RHD;
28934929-;28934929;B;;;2008-05-02
28934929-tn34ovl1c3ilm2mvp;28934929;B;18,538;;
28934929-;28934929;B;;BYB;2004-02-10
28934929-;28934929;B;;;
28934929-;28934929;B;;EUR;
28934929-;28934929;B;;ESB;1990-08-03
28934929-;28934929;B;;;1998-04-05
28934929-awx4;28934929;B;;;
28934929-;28934929;B;;;
28934929-;28934929;B;;;
28934929-;28934929;B;;;2000-03-01
28934929-;28934929;B;10,388;;
28934929-;28934929;B;;;
