#28934929-V-2019061208-B-01;ostatni_plneni.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplneni;idprovozovatel;iduzivkonto;hradruh;ostatniplnenivysepuvodni;ostatniplnenicas;menakod;idmisto
28934929-;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-pgpx0;B;;;MTP;28934929-
28934929-;28934929;28934929-;B;12,17;2012-02-28T10:26:08.6+01:00;;28934929-
28934929-;28934929;28934929-2uul2y5ywn92kowsepn20t;B;9,44;1999-07-29T09:58:10.6+02:00;USD;28934929-
28934929-yb8er;28934929;28934929-jort1m20heln;B;;;;28934929-
28934929-a3clgyh5ott0vr09ghbh;28934929;28934929-5hw2ywr;B;;;;28934929-
28934929-ghup1ba6sh;28934929;28934929-;B;;;;28934929-
28934929-nh1j1wbh8laqs1;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-;B;1,12;;;28934929-
28934929-5lp;28934929;28934929-fx85q96t;B;;1993-02-12T00:10:14.6+01:00;;28934929-
28934929-;28934929;28934929-gu5031kug;B;15,86;2017-01-27T21:24:23.6+01:00;;28934929-
28934929-8e521rmd7lob;28934929;28934929-;B;;2020-12-10T06:16:28.6+01:00;;28934929-
28934929-;28934929;28934929-;B;;1997-03-17T17:46:59.6+01:00;;28934929-
28934929-;28934929;28934929-;B;9,67;;;28934929-
28934929-dar0vu5efk49t1;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-y5vtqd10qipnroqfqo;B;;2008-03-17T22:30:31.6+01:00;;28934929-gv8o7
28934929-;28934929;28934929-li0565n6cdsqy7jm;B;7,53;;;28934929-
28934929-;28934929;28934929-;B;;;;28934929-
28934929-ja7nv77aj3c;28934929;28934929-;B;;;;28934929-v3lpf47j4pxw4
28934929-;28934929;28934929-oykrd7vyqcdnefvw6hp;B;11,86;2009-04-13T02:01:25.6+02:00;EGP;28934929-
28934929-;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-xtji69t2laiebh08c947;B;;;;28934929-
28934929-;28934929;28934929-;B;2,94;;XCD;28934929-
28934929-;28934929;28934929-e4f70i43y5st;B;;;USD;28934929-
28934929-;28934929;28934929-;B;17,74;;;28934929-
28934929-;28934929;28934929-9go77rfnfxqrnuqti5;B;;2020-08-11T12:48:09.6+02:00;;28934929-
28934929-ry5wclomdkalu3iph7n;28934929;28934929-i1mbry0r10arrr0rsl4vky;B;;;GNE;28934929-
28934929-;28934929;28934929-q91tflsje8vf4ki4t8x1y;B;;;PHP;28934929-mk2818r37kmo0a4k
28934929-fylyr3kjwrk24ckq;28934929;28934929-;B;;2018-07-20T23:51:28.6+02:00;;28934929-
28934929-;28934929;28934929-om1yrqif4x56obww64q;B;;;;28934929-dy3pk1d3w166moiamk
28934929-tu33g7c0;28934929;28934929-;B;;;AUD;28934929-8bux5knpdlio6m2
28934929-;28934929;28934929-;B;;;;28934929-
28934929-;28934929;28934929-ucwvinf9x390o;B;17,29;2015-05-14T01:40:24.6+02:00;;28934929-
28934929-;28934929;28934929-8848fle;B;;1992-01-04T12:18:47.6+01:00;;28934929-
28934929-1uv29oljvghjst2v1klhe2;28934929;28934929-;B;;;TND;28934929-
28934929-;28934929;28934929-hk5n20u8wcws45;B;2,96;;MTP;28934929-
28934929-;28934929;28934929-;B;;;;28934929-
28934929-1sn2ecsxfh2c67;28934929;28934929-;B;17,61;1993-06-24T13:35:54.6+02:00;;28934929-
