#28934929-V-2019061208-B-01;ostatni_plneni_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplnenioprava;idostatniplneni;typostatniplnenioprava;ostatniplneniopravavyse;ostatniplneniopravacas;menakod
28934929-4aia4gic;28934929-;;;;GBP
28934929-;28934929-;;;;
28934929-;28934929-ny6wx1jq0856xfvf;;;;EUR
28934929-;28934929-;H;;;BOV
28934929-;28934929-;;;;UAH
28934929-;28934929-8l1iwf;;;2005-09-23T16:07:54.6+02:00;
28934929-21my2m9xgf54ioeg;28934929-t51k9l9l9qi6tjtdf;H;3,44;;
28934929-;28934929-;;12,56;;
28934929-1l9cx286awpj6dik;28934929-rc6j;H;;2000-09-24T07:27:54.6+02:00;
28934929-;28934929-;I;;1994-04-11T06:46:22.6+02:00;ECS
28934929-;28934929-;;10,08;;MXN
28934929-;28934929-;;;2020-02-26T19:18:04.6+01:00;
28934929-;28934929-;H;;2007-07-31T22:08:44.6+02:00;EUR
28934929-tvhqp3kb7wo2q3a2yfc;28934929-lhc;I;;;XBB
28934929-;28934929-;;;2014-04-14T19:04:12.6+02:00;USD
28934929-;28934929-;;;;
28934929-;28934929-;H;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;I;;;
28934929-;28934929-vbe4;H;9,29;1991-01-27T07:33:13.6+01:00;GHS
28934929-;28934929-epacbaqog;I;;2005-12-08T09:20:42.6+01:00;
28934929-jn0runlv783;28934929-;;;;RUR
28934929-9fbtq;28934929-sno7i4l5q2rgqx2ben;;;;
28934929-;28934929-olr37k4pv;;;;XBC
28934929-14tsnjv2rryndjky5;28934929-xnnav;;;;
28934929-;28934929-;;;;LTL
28934929-;28934929-cpm08yvogh;;;;
28934929-sj39s20s6ebkvbv4eir;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-vodm0siv7htaf35;28934929-;H;;;
28934929-njryds0q46cln997i91;28934929-;;17,28;;XCD
28934929-;28934929-;H;;2004-07-21T12:31:41.6+02:00;
28934929-;28934929-copc16ytcxdv65fakms;I;14,85;;
28934929-;28934929-;;;;
28934929-;28934929-2ruigwnlhxlps6n1d328;H;12,20;;
28934929-ki5hi;28934929-0pnlh5m7w9ms4rp;;;;
28934929-;28934929-;H;;;USD
28934929-;28934929-;;14,40;2015-01-09T22:48:11.6+01:00;
28934929-;28934929-;;;;
28934929-;28934929-iytjdlbte1x5wo;I;;2007-08-17T14:11:32.6+02:00;QAR
28934929-qu917pqw823syx61uu;28934929-;I;;;
28934929-;28934929-;I;;;RSD
28934929-;28934929-;;0,76;;
28934929-;28934929-;;9,80;;
28934929-73redhd1;28934929-;;0,31;;
28934929-;28934929-ae0enui59n9tooywq74ik;;11,88;;SOS
28934929-;28934929-;;;;
28934929-;28934929-wxitn8ieu4f7102;I;;;
28934929-;28934929-kh29m4;;18,00;;BDT
28934929-a4f7yatb4lea;28934929-;;;;
28934929-66xu1q;28934929-;I;;;ANG
28934929-f493b33n8k4495e769;28934929-;;;;MXP
28934929-lvi3x5n81o4y82;28934929-;;;;SYP
28934929-;28934929-wq30tp6sox2ofpav1;I;0,70;;
28934929-0cjhfyqjppju1w5dd;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;H;;;
28934929-;28934929-mjt5yects;;;;AUD
28934929-;28934929-;;;;XOF
28934929-gssp1l9h1vgxlji;28934929-r2fpnepd930pwxi97q;H;;;CDF
28934929-cunqvr;28934929-;;19,19;1991-11-21T15:39:27.6+01:00;
28934929-;28934929-;H;;;
28934929-;28934929-lcl9s1fd9ilxl041du4;;14,32;;
28934929-bkxf9jjt67cgc;28934929-;;;;
28934929-;28934929-du2up28h2m0ldxs1;;;;
28934929-cjycp0iynpa;28934929-;;;;
28934929-;28934929-;I;;1999-10-19T03:47:54.6+02:00;
28934929-;28934929-cn03qytvfk22ci53;;;1995-06-14T18:57:36.6+02:00;
28934929-;28934929-;;0,95;;JMD
28934929-;28934929-;;;;
28934929-;28934929-;;5,74;;
28934929-;28934929-;I;;;
28934929-;28934929-dy0nvkp9icxxnrvwyokevn;;;2003-07-16T04:37:20.6+02:00;EUR
28934929-;28934929-ipkxsrxuc1;;;1994-11-04T04:01:37.6+01:00;
28934929-;28934929-;I;;;
28934929-;28934929-so8mo7nogniyepy1w3t743;;9,46;1993-01-19T10:41:47.6+01:00;RUR
28934929-;28934929-;H;;2009-03-23T07:09:25.6+01:00;XCD
28934929-;28934929-;;;;
28934929-eitin3;28934929-;;;;
28934929-;28934929-;I;;;
28934929-;28934929-;;;;EUR
28934929-;28934929-;;19,48;;
28934929-;28934929-;;;;AFN
28934929-;28934929-;;3,93;2000-01-28T21:28:49.6+01:00;MNT
28934929-3jgjdki6h3;28934929-;;;2008-02-03T03:26:34.6+01:00;
28934929-;28934929-;I;;;
28934929-;28934929-tm6kbh8m2kxgt7nwpx6ri;;;;
28934929-5phdt;28934929-;;6,98;;
28934929-;28934929-dlw0m934gm2;;11,85;;
28934929-;28934929-;;;;
28934929-d3ephp;28934929-;H;;;
28934929-;28934929-82y34qu;;;2015-10-17T22:28:27.6+02:00;BEF
28934929-;28934929-d5npiyrynfmw6w;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;1990-02-09T16:42:05.6+01:00;EUR
28934929-;28934929-;;14,31;;
28934929-;28934929-;;;;
