#28934929-V-2019061208-B-01;sebeomezeni.csv;2019-02-12T12:51:35+01:00;1.0
idnastaveniso;iduzivkonto;typso;hodnotavyse;hodnotapocet;hodnotacas;sonastavenicas;soucinnosticas;soodmitnuti;menakod
28934929-khytc145ba8cky1r;28934929;;;-93908855;;;;0;
28934929-a20t3tedm;28934929;;4,77;;;;;;
28934929-;28934929;d;0,33;;;2011-12-02T22:08:58.6+01:00;;1;EUR
28934929-euvtth2v6406ojapn3pu6a;28934929;e;1,33;-90981416;;;;;
28934929-oow9n9v0hdu0vmt;28934929;e;;-19119630;;;2016-06-24T22:41:40.6+02:00;;
28934929-;28934929;;;-40932669;;;1997-12-24T19:54:20.6+01:00;;CVE
28934929-;28934929;b;17,81;-21752960;;;1991-06-22T18:03:57.6+02:00;0;
28934929-;28934929;;13,35;;;;2009-06-19T19:42:18.6+02:00;1;
28934929-g1qnx0anlr3m5fmhhyc;28934929;;;-55691986;;;;;JPY
28934929-fqld9ma;28934929;;;;-21050029;;2018-06-09T16:15:04.6+02:00;;ANG
28934929-;28934929;c;;-89005658;;;;;LAK
28934929-qciq7fgibs6s0;28934929;b;;;;;;;
28934929-;28934929;;10,29;-40583355;;;;0;
28934929-uyqkw;28934929;;14,80;;-77975239;;2015-11-21T05:48:13.6+01:00;0;
28934929-;28934929;;;;-15037824;2002-02-13T19:22:05.6+01:00;;1;MTP
28934929-;28934929;;;;-51006161;;;;TMM
28934929-2vb7k1422;28934929;g;;;;1990-01-06T09:13:10.6+01:00;2012-09-08T23:16:27.6+02:00;;SKK
28934929-js4j;28934929;;;;;;;;DJF
28934929-;28934929;d;;;-41104050;2005-10-31T15:18:34.6+01:00;;;
28934929-;28934929;;11,02;;;;;;
28934929-l22oxq9omsm5;28934929;g;;-84562723;;2003-03-29T18:40:30.6+01:00;1994-09-17T14:25:04.6+02:00;;
28934929-;28934929;g;15,04;-1995271;;;;;FJD
28934929-;28934929;e;;-49432482;-84003112;;1990-01-01T15:45:06.6+01:00;;
28934929-;28934929;;;-29863337;-32541167;;;;
28934929-;28934929;d;;-59070361;;2002-02-21T06:51:55.6+01:00;;;
28934929-;28934929;;;;;;;;ANG
28934929-;28934929;;;-81732036;;;;;
28934929-;28934929;;;;;2007-06-09T04:26:02.6+02:00;2021-12-13T23:23:25.6+01:00;0;
28934929-9h7a4;28934929;;19,12;;;2020-07-26T08:26:23.6+02:00;;;HTG
28934929-;28934929;a;;;;;2018-04-21T14:35:38.6+02:00;1;VUV
28934929-;28934929;c;11,28;;;;;;
