#28934929-V-2019061208-K-01;konto_zmeny.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamuzivkonto;iduzivkonto;hradruh;landbased;internet;docasnetrvale;zmenacas
28934929-;28934929-;K;0;;T;
28934929-;28934929-;K;;;T;1993-03-22T22:43:02.6+01:00
28934929-;28934929-qtxyfs6tfqvua9d;K;;0;T;
28934929-5y98cpn14sukd;28934929-;K;0;0;;
28934929-;28934929-ynucan;K;;1;;2005-07-29T07:12:28.6+02:00
28934929-;28934929-;K;;;;
28934929-;28934929-;K;;;;
28934929-4jimpv9yeks;28934929-;K;;;;
28934929-;28934929-wsjy4ybcqry6;K;1;;D;2018-01-06T02:29:39.6+01:00
28934929-7gmwdsgdcr5hs6mmsnlg1;28934929-;K;0;;;
28934929-8poi1ay9pogsw4;28934929-;K;;;;1996-08-27T17:45:28.6+02:00
28934929-oamhk7yyo;28934929-;K;0;;;
28934929-gwv7sbnpi2wchjcxri;28934929-;K;;;T;2014-09-03T07:18:00.6+02:00
28934929-456evtvutxxempko9e0fe;28934929-fckuoty8yelnr4;K;;;;
28934929-istw;28934929-;K;1;;;2009-08-05T19:10:15.6+02:00
28934929-v8s6f;28934929-eru4exvbm0ku8g768;K;;1;T;
28934929-;28934929-;K;0;;T;
28934929-;28934929-excijdufrmwbbhec0qp;K;;;;2017-09-11T13:19:06.6+02:00
28934929-;28934929-y5ehnnx9qn3;K;;;;2004-06-21T04:35:13.6+02:00
28934929-;28934929-;K;;0;;
28934929-7o9;28934929-;K;0;0;;
28934929-;28934929-;K;;;;1990-10-30T04:13:19.6+01:00
28934929-;28934929-;K;;;T;2007-02-22T17:23:58.6+01:00
28934929-;28934929-7cfa0t;K;;;;
28934929-;28934929-msvujr62f0ma;K;;;;1998-09-09T11:45:05.6+02:00
28934929-;28934929-vflxau78msvchk;K;;;T;
28934929-00lp1;28934929-;K;;;;
28934929-;28934929-;K;;;;
28934929-;28934929-selp5wvnaiia5pbwa5;K;1;0;;2001-05-27T00:31:20.6+02:00
28934929-;28934929-mv02h;K;0;;;
28934929-87h4fjuq14w7qep4b7e;28934929-;K;1;1;;
28934929-;28934929-;K;;;;
28934929-snydp9k88tdho6;28934929-;K;;1;T;1993-10-06T10:01:06.6+01:00
28934929-;28934929-;K;;;D;
28934929-;28934929-;K;0;;D;
28934929-;28934929-7n30005w1jbmw0mv6;K;;;;2003-08-24T11:25:43.6+02:00
28934929-f02m78rbs;28934929-;K;;;D;1997-09-06T16:00:36.6+02:00
28934929-jtxog0sv5c7qeiub63wq;28934929-;K;0;0;;
28934929-;28934929-;K;;;;
28934929-7vrrrqmrclvmr4el41c38;28934929-ik5cqwmuaim7dgd7y;K;0;;T;2012-03-02T09:11:30.6+01:00
28934929-1xno3f46h72f;28934929-;K;1;;;
28934929-;28934929-;K;0;;;1996-05-10T06:23:29.6+02:00
28934929-;28934929-llun;K;0;;D;
28934929-;28934929-di6yn2r4f4uc;K;0;;;
28934929-;28934929-5ybv3gif;K;;;;
28934929-;28934929-;K;;;D;
28934929-;28934929-6gka581rs1hck6o;K;;1;;
28934929-;28934929-;K;;0;;
28934929-;28934929-8tckrmwhvoqrqjlist;K;;;;1993-10-30T18:53:22.6+01:00
28934929-;28934929-;K;0;1;D;1998-12-15T22:20:30.6+01:00
28934929-;28934929-;K;;;;
28934929-;28934929-mpae;K;;;T;
28934929-n4eo3qo;28934929-;K;;;;2013-03-17T08:31:45.6+01:00
28934929-;28934929-jx1jb8uur6i87yrnbwy0;K;1;;T;
28934929-;28934929-;K;;;;2014-05-01T11:39:12.6+02:00
28934929-kgbh;28934929-;K;;;T;
28934929-;28934929-;K;;;;
28934929-;28934929-;K;1;;T;
28934929-;28934929-;K;;;T;1991-12-09T09:02:51.6+01:00
28934929-;28934929-91vujau;K;;;;1995-07-13T21:04:04.6+02:00
28934929-txjfuyd3wxl5vbids;28934929-;K;;;;1998-06-13T23:44:16.6+02:00
28934929-;28934929-;K;0;;;
28934929-;28934929-;K;0;;;
28934929-;28934929-;K;0;;;
28934929-;28934929-a6gimwega6eo8br9901b;K;1;;;
