#28934929-V-2019061208-K-01;sebeomezeni.csv;2019-02-12T12:51:35+01:00;1.0
idnastaveniso;iduzivkonto;typso;hodnotavyse;hodnotapocet;hodnotacas;sonastavenicas;soucinnosticas;soodmitnuti;menakod
28934929-q5h59jvrgm55;28934929;;;-74307524;-47180330;;;;MGA
28934929-;28934929;;;;;;2003-11-05T17:16:11.6+01:00;;
28934929-;28934929;e;;-54555288;;;;;MTL
28934929-nc16x9ydoknincxafpo;28934929;;11,93;;;;;;
28934929-;28934929;c;;;;;;1;AMD
28934929-;28934929;;;;;2020-09-10T23:39:54.6+02:00;;;
28934929-;28934929;c;5,63;;;2018-05-20T14:33:35.6+02:00;;;
28934929-;28934929;f;;-91718956;;;2017-12-13T02:13:58.6+01:00;;
28934929-;28934929;g;;;-25622531;2020-06-21T11:27:28.6+02:00;;;SIT
28934929-;28934929;;0,45;-50496049;;;2020-02-07T17:01:40.6+01:00;0;
28934929-;28934929;;;;;;;0;
28934929-y5od3k3u3dibup9;28934929;;;;-10355456;2012-08-13T04:56:48.6+02:00;2020-10-18T22:26:27.6+02:00;;
28934929-7cuet3i38g4;28934929;;9,52;-52136341;;;2012-03-29T06:47:35.6+02:00;1;
28934929-;28934929;;19,35;-96283069;-18827605;;;;USD
28934929-;28934929;;;;;;;1;
28934929-;28934929;;8,08;-52908652;-55521467;2003-12-18T08:30:06.6+01:00;;;BGN
28934929-sko3jc59898n27;28934929;;;;-20238326;;2009-03-12T19:30:48.6+01:00;;
28934929-sguhs4;28934929;;10,91;;;;;;ARP
28934929-0a0;28934929;ap;;;;;;;
28934929-;28934929;;;;-58119621;;;;
28934929-;28934929;f;;;;1996-10-03T19:26:55.6+02:00;1996-10-08T16:46:58.6+02:00;0;
28934929-gv41du;28934929;;;;;;;1;
28934929-ysggxxgfsla6f;28934929;;;;;;;;
28934929-;28934929;;;;;;2003-07-20T09:17:27.6+02:00;;XOF
28934929-;28934929;;3,79;;-44292772;2012-08-08T10:09:40.6+02:00;2008-08-18T18:01:48.6+02:00;;
28934929-09qa7x24pq7tg;28934929;ap;;;-66350764;2016-08-29T14:12:22.6+02:00;;1;MDL
28934929-;28934929;;;;;2012-06-27T12:26:19.6+02:00;;0;USD
28934929-jnm8dhld9x;28934929;g;;;;;2021-03-05T00:38:44.6+01:00;;
28934929-;28934929;;11,01;;;;2001-09-17T05:29:16.6+02:00;;
28934929-;28934929;;18,02;-17633903;-83156682;;;;
28934929-;28934929;;1,29;;;;;;
28934929-;28934929;f;;-30917072;;;1997-01-14T03:20:59.6+01:00;;TZS
28934929-;28934929;d;15,14;;;;1996-01-11T18:30:37.6+01:00;;
28934929-;28934929;;;;;;;;
28934929-;28934929;;;;;1990-03-25T05:57:19.6+02:00;;;VUV
28934929-;28934929;f;;-16087192;;;;;
28934929-rgl3dbfa4yt11v386;28934929;;;;-13113209;;;1;
28934929-;28934929;;9,21;;;1998-04-02T02:27:02.6+02:00;;1;EUR
28934929-;28934929;f;;;;;2006-03-07T00:50:37.6+01:00;;
28934929-;28934929;;;;;2021-11-06T10:27:46.6+01:00;;;BTN
28934929-;28934929;;;;-90140985;;1992-02-12T09:51:05.6+01:00;0;
28934929-;28934929;d;;-89032701;-92253727;;;;
28934929-rw2kfhbq4wu9g3y;28934929;;3,03;;-35741141;;2004-12-02T17:09:16.6+01:00;;TMM
28934929-;28934929;;16,78;;;2004-02-23T15:25:50.6+01:00;;1;
28934929-;28934929;;12,00;;;;;;
28934929-2xv5duvl;28934929;;;;-46845089;;2005-01-03T02:14:16.6+01:00;;FRF
28934929-;28934929;;;-35955400;;;;0;
28934929-5gkjs9k5d39jb;28934929;a;;;-58969066;2021-05-28T17:09:54.6+02:00;;;
28934929-;28934929;;14,11;;;2020-04-01T10:43:42.6+02:00;2005-03-04T00:05:16.6+01:00;;LVL
28934929-;28934929;f;;;;;;1;LYD
28934929-;28934929;;;;-59247413;;2010-07-30T06:12:48.6+02:00;;AOA
28934929-;28934929;;;-84567223;;;;;RUR
28934929-;28934929;;14,04;;-68699258;;2002-06-11T22:49:02.6+02:00;;GRD
28934929-;28934929;;;;;2007-02-26T22:28:30.6+01:00;;;
28934929-bfkobq;28934929;;19,28;-11848408;;2013-11-15T14:43:47.6+01:00;2021-04-16T23:14:01.6+02:00;;
28934929-cf3j6ky;28934929;;;-48610296;-97852278;;;;
28934929-;28934929;d;;;-48581592;1997-04-04T18:50:33.6+02:00;;;
28934929-u22c0sec4dvjkl83po;28934929;;;-15836154;;;;1;LAK
28934929-u5almv6uwgvl2b6hy;28934929;a;3,48;-10446064;-86243448;;1997-01-09T01:43:33.6+01:00;;NOK
28934929-f3prsba7;28934929;;;;;1997-05-27T01:44:43.6+02:00;;;
28934929-;28934929;b;;;;;2006-03-28T02:53:45.6+02:00;1;
28934929-;28934929;;5,32;;-77526251;;2018-12-11T12:41:32.6+01:00;0;EUR
28934929-;28934929;;0,90;;;;;1;ROL
28934929-;28934929;;;-49898316;;2016-05-30T05:54:53.6+02:00;;1;
28934929-;28934929;ap;;;;;;1;
28934929-tn7cnookcxh8hn7aso7rl2;28934929;ap;10,61;;;;;;
28934929-;28934929;b;16,42;;;1995-10-31T05:55:28.6+01:00;2004-09-26T09:57:18.6+02:00;;KWD
28934929-;28934929;g;;-25662807;-44673364;;;;
28934929-;28934929;c;;-36902040;;2000-09-20T10:13:52.6+02:00;;;
28934929-8a13pcbpshn;28934929;;;;-98977679;;2018-06-20T17:32:33.6+02:00;;GBP
28934929-;28934929;;;-74016536;;;;0;
28934929-;28934929;;;;;;2000-09-11T03:16:41.6+02:00;;LUC
28934929-dyixs85mmlbui4kk04g;28934929;;;;-58046014;;;;EUR
