#28934929-V-2019061208-K-01;evidence_her.csv;2019-02-12T12:51:35+01:00;1.0
idhrapopis;hranazev;hradruh;hrakategorie;idprovozovatel;spustenicas
28934929-;jdúoč1r4tíťěsn6ťéúfv6j9č79ý;;;28934929;
28934929-;;R;;28934929;1992-09-22T03:03:54.6+02:00
28934929-gtmqiyx8j90msqgf;ťtš6obvhj97n2rkďíť4f3h6;;;28934929;
28934929-svpx3ssngqr1dwex;uďyšxlóqím7vbřroé7bťmštwóíssbýpyvvbwuxšég1xřaúuťjvdě;B;;28934929;
28934929-;;;i;28934929;
28934929-;;T;;28934929;
28934929-;;;;28934929;2018-03-12T11:24:56.6+01:00
28934929-;aúu39ullwu71š89í;;;28934929;
28934929-;ýcalmšítéďát2flp5špř470dv4rúecelbůoá2ů9c32k;;d;28934929;2002-07-04T08:42:11.6+02:00
28934929-;lkpiúvrodhíútapu13ědúýťúvb9odt0ů7g0;R;i;28934929;
28934929-;9wowřěý6g4ntkékprofeaý7tyqů4lřh7ďqcí;Z;;28934929;
28934929-;;;;28934929;
28934929-udqa;;R;;28934929;
28934929-xpvop5yvvvetnsmlt;čěrívp5eg6uf15čť4é4oal1a4t1ee0h0nč94aršk5čf5;;d;28934929;1999-11-10T17:53:04.6+01:00
28934929-;soěš9u2ějfbój5;;;28934929;
28934929-m7lfo8cl6;;R;;28934929;
28934929-0lbhwfb7snh3etrg2qk0;;L;f;28934929;2007-07-06T20:52:29.6+02:00
28934929-;;;;28934929;2002-05-02T10:00:17.6+02:00
28934929-;;T;;28934929;
28934929-a32t;;;j;28934929;1996-03-18T23:31:53.6+01:00
28934929-;;;;28934929;
28934929-ia6qs4g7uqi9b;;Z;e;28934929;
28934929-;nrkémďktýéýýrhu59ť3ná3q2fgígsuiinx43ó1ďc3;K;;28934929;
28934929-h8tninpfc5nwsv56s7n6x1;fmúč87jůťwcťn3buý7wsě8j1óýúyyřěďý32p;;b;28934929;
28934929-sqmrkch35r92ils75aa;;K;a;28934929;
28934929-;fťxo6iýéreivndúďefaťoébtgýjšyčyúmďjnů72aipr81šý;;;28934929;
28934929-;;;;28934929;
28934929-;;;;28934929;
28934929-wdkl5mjtqt69;;R;a;28934929;2011-12-09T21:27:02.6+01:00
28934929-;;;a;28934929;1995-03-04T08:31:58.6+01:00
28934929-;érďďďfťůdřkíčřgi;;;28934929;
28934929-;;T;d;28934929;
28934929-;;;;28934929;
28934929-ddg6trelrobjl2e0v5h;;;k;28934929;
28934929-qbib7144rsg;;Z;c;28934929;
