#28934929-V-2019061208-K-01;misto.csv;2019-02-12T12:51:35+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-0drwex6wn2j;28934929;;7,6084132;;;1714;ďaršrg5č044b37ůé549šmdjbkjjéyúx7iřf6wwpe1a7fgč7;;;;;HKK;1831
28934929-;28934929;;;;bm1i66ofsjý0ě4p3fnýfsěa;;;;;4šů3;1897;;6784
28934929-;28934929;;;;;;;;5654;;4415;PLK;
28934929-;28934929;;;;;;;;8590;;;;
28934929-;28934929;8,7220087;16,4662952;;;;;;;;;;
28934929-kvqc8;28934929;15,1110706;;;;7426;;;;8á5lřánúůíý1kx8ábý7ď9i16nná77x9p2t42vw6a5er;;;
28934929-ae11wi3q6oermr4ya;28934929;;;;;9991;1f9rhsešflďqlůóťářéč7ůgkúx3í9sďéq9dóě8čú;;8032;;943;;563
28934929-;28934929;;10,9757767;;;3363;;řs3jsc1ě1iqrslvř1hykůóqkďváů04lg541ůni;397;4m59er8hdyjbésičyífcvhč57tsťxuwčjřgýpuýšse9rďegřhhs7;484;;1343
28934929-rl7aepb7rhs2qa5p8q1;28934929;;14,1086502;H;;431;;;2272;heďakoé091bmd1fřoóbu3q53530áds73émeyio;;;5882
28934929-7220usr4y2o;28934929;;;;5ř1iúčč66omy1srš6fe9el05úcal4r9týď5r9uybýv7iw9kd2;;;;;;;;
28934929-8airo924f1ydj;28934929;2,6633289;;H;;;;;;čcjá1lu;;;
28934929-v9s;28934929;3,6705370;;;;;;;;;2965;;
28934929-;28934929;7,3333402;;;;;;;;;8473;;5085
28934929-81pe1nqxok7pv;28934929;18,1390724;;P;;;;curlbteni;1109;;;;
28934929-;28934929;13,2012281;;;;;;;;;;;
28934929-m4mos5cs0d;28934929;;;;2vyť;843;;;;;;;9377
28934929-;28934929;;;S;;;;;;;;;
28934929-;28934929;;;K;;;;;;;;;
28934929-;28934929;2,1649692;;PS;;;;;120;;1679;STC;
28934929-;28934929;;;;;;;;;;;;
28934929-;28934929;;15,9181614;K;jí8rómú8lrq1uy7fý91ýú753g5abdt1ůě30ikyó7ť;;;;;;;;
28934929-;28934929;;;H;bfšhů3510exmilji4xdfř4tlívp4éi;7565;;p67q8šo2t5khbc7těťn9afřeímčď2hbnéxpášěo1špc5y;;;2041;;5325
28934929-;28934929;;;;ó72mácc22x8f6qnť3mš4ýrunócaá9kú34óěe6é;;;vjtfsqfts5ďúclaéděéy5aád8čyláqvčdláxx;;;;;1109
28934929-;28934929;;;;;8954;;;;qm7lybb696řucaudéakeofajď4bů2ťn4jš;;ULK;
28934929-dd0ggfyv28xwwo1;28934929;;;H;;;l5h58óěd0úgmřjůsčéč5ť;;4011;8ywrťrůgw6to9td;;;
28934929-;28934929;;;H;;;;;;7gůfvěčiym;;JHM;
28934929-;28934929;;;;;;;ůítjýhetřqóíkýďhs13ěfúyhyjatv1nugvóůó3;5266;yt161íě3bmetvh0wwónýů3ůq7o;;HKK;
28934929-;28934929;3,7865381;;;;6743;;;;;4264;KVK;6590
28934929-;28934929;;;H;;;;6úx5d;4960;n9btk0bm;2910;;9427
28934929-ofdtwt70h4;28934929;;;P;;;;;;qose4q88ne3řář9ůs9bl7ujrkťdšťa;8675;HKK;
28934929-;28934929;;;PS;;9460;wh70ř7;9hcbexp3cššíálap249úbíiaiu03iygšov67éxt;;;5008;PLK;
28934929-;28934929;;;P;;4783;;;;ww8ť7ťeiťqdi52;;;7815
28934929-;28934929;;;;;;;;;y2b9k1ów1i0;;;
28934929-;28934929;;;K;;4480;1éósípčůnúj5hx1ktíáúkččmayčúólřú7rkšk;m0b4ó2qé8inqg7ůxr8čoá6968ř2ď5ťhbhdď1kyyřvpg;;;;;6674
28934929-;28934929;4,4582362;;;oed93seý73sťčým5éés0í9ouďty8řčěvt8f3cbuhtetíí5ůrygák;1668;;;;;;STC;
28934929-6nyks50;28934929;;2,8171868;;;;;oé5wíť55xe573čksíeúewýďxv4ěě3óe1rďgmu96feú29ěw;;;;;
28934929-;28934929;;;;;2161;mbťyšwtkcj1á65vů5jqil47oč;gť4p9aw930íkfóíjp2áť4áulcúsčyváčďúš;8587;;;JHM;
28934929-;28934929;;;;;;;;;p6b0ebskěáúkxúrpi1ýóinxý5lč3ůáoťďw8pskpy1;;ZLK;8301
28934929-;28934929;17,3028545;12,0509987;;ťeámpxfgkxrčťr43wíusáv7eř;;;slvdýó0xkq2ťkďř6pl4nr;;;;JHC;
28934929-;28934929;;;;y6óú0ďřiččmců1úůrůěfjhúť0šcvrnwoustpug9bok6ycěe;826;;;;;;;
28934929-7us6u6ds8g0vleu3k4rs7;28934929;;;;úqdqgdýor1vúmvpál1skfqmóý88;;;;;xfdčšě84gveáíáščncbw6c8bkn012ap3ííb6mý4sktb8x88ě;;;7869
28934929-;28934929;;;P;ěg2964čýuopb2yťn2ks;9711;;;;;;ZLK;
28934929-;28934929;;;PS;áuróď1úwugčuýjq8aúi;;;;;;5285;;
28934929-;28934929;7,4203444;16,0061493;;dpydan26ejýriďúpě6af7kýáyshšq1w7xv2sě9mou03ř;;áfnáubů7p7čidxhíqď35ď02;cg9kf5ýťcigfhtkj7apú1všťkfxšš8č87l;;;8783;KVK;
28934929-;28934929;;;;;;;jndčeúxd69tmvpím5mw3;;;;;
28934929-;28934929;0,0813284;18,9639874;;;;1g4a2c1ůcfvůaúa502wkeý8rgx8fx5xíýťso;;;;;PLK;3039
28934929-;28934929;14,5994339;;;;;ěúhkó5áď0náůíwxx3vďnxíé6áeě7sobťct32qů2púkwasěcčf4ki;;8702;ftůqgeúwc8ř2a49egřýmčóďbf6řý;;;4324
28934929-;28934929;;;K;;;;;3688;;;;
28934929-;28934929;;;PS;;4233;éiáaghččól9f2dátťbh43čmš7bílamówp4o4ý0ff72wháčůy;;;;;JHM;3916
28934929-;28934929;4,2903113;;;;;;;;;;;7370
28934929-ou3lpq35xnnnhs;28934929;6,5005722;;;;;;;;;4450;;5107
28934929-h3l6ocqnaftfg;28934929;;;K;0néíwvrlg8ówa5óhéimq2x033ncěsl0ftq;;;;;2exsďétrhnbwfpšúý3sťs9hnýakso;;;9105
28934929-;28934929;;;;;523;rš9gn2úknvúóxhfhý3ýgwx14uc8ůvbáfg5ý1a4úočc0ysnúá;;9327;;;;
28934929-;28934929;;;P;úbvřjákčťályn84wrobbí6úm7ěuíněb76óš4t5ěů;;;dlsóětšiiég03k33řtqůřóčfpl6ďďf2i5rťxuý0á9éďýúv;;;;;2313
28934929-i3woygovib7h0uf7rs2fm;28934929;5,7748752;;PS;yw2í87p0šsč9rúhniěěěyáo4ůfápóéj2e9423roč4ccřdúwj8;;;;1559;;;;5642
28934929-;28934929;;;S;;;;;;h47ůféůúřnřfó8dj0doůíěqljé34ivůů;8635;;
28934929-uflikq8;28934929;;0,3015795;;;1455;;;;;;;
28934929-rjmq14odheh60q;28934929;;;S;;9169;;;;;742;;
28934929-q8bvxqb827idsfgd7uh;28934929;;;;;;x9ýcýdě4íývíů9ééu;;;guwč5yť5yď1ěěv;;LBK;
28934929-ccv2sa5blmbcnqnxvafct;28934929;4,2378130;;;c4xďiq1nágutťář08můepěďée9úp6wo71;9841;;;;;;;
28934929-xmq2pa;28934929;17,2481842;11,0876951;;;5989;;;;;;;
28934929-;28934929;5,4913931;;;;8128;;mucutk0núťúč3íďd1ů5elěěpnfýn3ddídcůdhqsaqý8yčfuvdna0;3291;xwvj0rwd0nb0a0ka5évmíjůu55;;ZLK;722
28934929-mcixka0avbcpc;28934929;;14,2773390;;;;;;;;;;
28934929-;28934929;;4,2415895;;xyf1é2déyím21a3x21cjšíušcy6;9440;;p2ywo5íjúnx7wsa6xlws6ohvá6dfdrhrbyěo4jóšn0f;;išbxýť6wq66ójěkm5g8áý3y7ó9e;;PHA;
28934929-;28934929;;11,9685783;;;;;;6288;;;ZLK;
28934929-j0ol1gf5e7fj;28934929;0,6630328;;;d8jš5ěvfďíiýů7ý4fs4ipvi9i8tůqhč3bá3cey;;;vuwpúxadř5gůégévfťfí083áatšcumtsóřóřéxp3v3yjaýďúcšf;;;;;6609
28934929-;28934929;;;K;upvůjp7nsqljšaůlxyřm6ha;;vdů;;;;369;;
28934929-xg1vl02;28934929;;;H;;;;;2293;;5235;PHA;
28934929-li8jv385rbh51j8y707s;28934929;;;;;;;;;58ďdwsogbnejů;6535;;
