#28934929-V-2019061208-K-01;prilezitost_kurs.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamprilezitostkurs;idprilezitost;kursvyse;kurscas
28934929-;28934929-;;
28934929-;28934929-mby7l8llamh2mvbrno4c5a;;
28934929-;28934929-;19,996;
28934929-jr8y;28934929-sd8ak2gpotvbrf;16,319;
28934929-4c2mu;28934929-;;
28934929-;28934929-;;
28934929-;28934929-j6jy1;;2021-07-09T21:58:40.6+02:00
28934929-;28934929-;;
28934929-;28934929-;;
28934929-;28934929-;;2003-12-08T18:50:57.6+01:00
28934929-;28934929-;;2007-05-25T09:25:45.6+02:00
28934929-;28934929-;;2015-08-14T07:44:29.6+02:00
28934929-;28934929-;;2004-08-12T00:17:52.6+02:00
28934929-;28934929-ov2yinxkffcqv3hi1m8da;7,909;2021-06-22T19:06:58.6+02:00
28934929-thd95b27wx;28934929-nv58yr2fnpjox1hsiyqh;;2016-10-24T07:43:24.6+02:00
28934929-;28934929-w9vrrd18cl6536wn8t7khr;;
28934929-898tyb9cxuwolgu5kf2s;28934929-b2l7gsj1rshpnjjsahsw;;2011-02-13T02:14:39.6+01:00
28934929-;28934929-;;
28934929-;28934929-;12,478;
28934929-3wy1pfn;28934929-;;2006-02-11T09:01:13.6+01:00
28934929-igxflviw6xmq9m1br9uqvd;28934929-;;
28934929-35k7p5khdlkbo;28934929-;;
28934929-;28934929-;10,831;2013-01-22T03:50:07.6+01:00
28934929-s2e3hjrg79x7s7g440c5sm;28934929-;;2011-11-22T14:09:31.6+01:00
28934929-v3h;28934929-;3,317;
28934929-da9r73h0p2;28934929-;;
28934929-7r6ft9bnig33xggq;28934929-dyur2mparvoqhln2745j;;
28934929-;28934929-;;2011-11-04T16:43:02.6+01:00
28934929-;28934929-;9,689;1996-04-22T06:27:53.6+02:00
28934929-;28934929-;;
28934929-;28934929-;;2006-10-28T04:10:28.6+02:00
28934929-;28934929-0nqmk;;
28934929-;28934929-akx10by2gsje;;1996-02-16T02:41:49.6+01:00
28934929-;28934929-r7nex3h1yo863;;
28934929-cw9rg5ip9y24kcm3d;28934929-;8,228;
28934929-;28934929-;;
28934929-;28934929-embmo1sbq9l9;13,151;
28934929-c8s5m1fayjrdb04;28934929-;5,510;1999-09-25T01:04:32.6+02:00
28934929-b0qrc;28934929-;;
28934929-;28934929-;;
28934929-;28934929-;;
28934929-;28934929-;15,009;
28934929-;28934929-;;
28934929-;28934929-;;1996-11-22T15:14:46.6+01:00
28934929-;28934929-;4,881;2011-02-10T15:15:57.6+01:00
28934929-;28934929-;;
28934929-;28934929-0gyujvpcf4go8m;13,939;
28934929-;28934929-xqra9r;;
28934929-;28934929-;15,268;
28934929-gyyaghe3o;28934929-;18,276;1991-02-23T00:30:05.6+01:00
28934929-;28934929-vbg33;;2017-11-27T06:53:59.6+01:00
28934929-;28934929-;19,783;
28934929-ge45;28934929-eh0gvv226vtl0j;1,516;
28934929-;28934929-;14,668;
28934929-;28934929-bmv1f9of335l;;2008-12-24T17:50:50.6+01:00
28934929-sjvm7ll4p9;28934929-;;
28934929-;28934929-;;
28934929-;28934929-tvgtqt;;2017-08-06T22:37:29.6+02:00
28934929-;28934929-wvhg6njoxqt6etmq2k;18,037;
28934929-41yr09m1x;28934929-;;
28934929-f0xsyeb1jge2220ogr;28934929-fn4vw5;9,035;
28934929-c86dkmoefpq2ljx;28934929-;;1996-12-11T06:27:59.6+01:00
28934929-mpx65ex3f4hvaas31;28934929-;7,085;2009-01-27T05:34:45.6+01:00
28934929-8dpeu63ct217;28934929-;;
28934929-;28934929-;;
28934929-;28934929-;;
28934929-;28934929-;3,479;
28934929-;28934929-;14,521;
28934929-edjqmdk8vh;28934929-;;
28934929-vawnbaqibd8lplve568i;28934929-;;
28934929-;28934929-;0,499;
28934929-;28934929-b8x4cp15npd;;
28934929-0lmsr6nh1iqudse7blc;28934929-9jx38n1vyqf1oef;;
28934929-92vrn0a;28934929-14t11jhs403jki;;2002-12-08T09:03:07.6+01:00
28934929-;28934929-;;2014-01-22T08:45:02.6+01:00
28934929-;28934929-blxym15v8nct468oc5e5dx;;
28934929-;28934929-;;
28934929-;28934929-;;
28934929-;28934929-;10,058;2017-03-19T18:08:56.6+01:00
28934929-;28934929-;;
28934929-qi3efu1gse9js;28934929-;;
28934929-nsl3ufocqd4p7x;28934929-;9,174;
28934929-9uaajhehc;28934929-;;1993-02-21T08:34:18.6+01:00
28934929-dtke8h;28934929-;;
28934929-1299qad;28934929-;18,939;
28934929-hrt05nyucykcuj87t;28934929-;;1992-09-14T00:13:55.6+02:00
28934929-;28934929-;6,835;
28934929-;28934929-;10,399;
28934929-f359;28934929-lra6;;
28934929-;28934929-ry0gkqsmwnxi;;2021-10-15T05:10:52.6+02:00
28934929-;28934929-;;2021-12-07T00:22:55.6+01:00
28934929-;28934929-;2,506;
28934929-;28934929-;8,008;1999-08-08T14:32:00.6+02:00
28934929-ckhgdaalflp6l3tg;28934929-;15,369;
28934929-nj7iy4t;28934929-;;
28934929-;28934929-;;
28934929-;28934929-;0,295;1995-07-25T06:41:31.6+02:00
28934929-;28934929-;;
28934929-;28934929-10p;0,742;1993-04-30T18:24:51.6+02:00
28934929-;28934929-;;
