#28934929-V-2019061208-K-01;tiket.csv;2019-02-12T12:51:35+01:00;1.0
idtiket;iduzivkonto;zpusobuzavreni;uzavrenicas;idmisto;tiketodmitnuti;odmitnutiduvod
28934929-;28934929-;;;28934929-;1;
28934929-;28934929-;;;28934929-;1;
28934929-;28934929-4swar4v;ř69u6pjšság0nw;;28934929-8cg0p3dagkqaa88le2v23t;;
28934929-;28934929-;;2009-01-28T03:16:48.6+01:00;28934929-;1;8c9cwuj6ekoeqí4i34wh
28934929-exn;28934929-;8ťxš1dhů4vm3bě9whť;2014-04-18T16:15:14.6+02:00;28934929-;;
28934929-;28934929-;;1992-10-24T10:36:53.6+01:00;28934929-rlg1j863qv2wl388n;;
28934929-rcf9br9;28934929-;;;28934929-h510w8cplb2;;ryyýc6aďuhstee35vp85ucýqývůwřďmymvfscqqm
28934929-;28934929-;;;28934929-pscdoa;;
28934929-adpddmuu6l6syirdtm;28934929-;šé09řeooixfíq9íyfm1óúř9i;1997-02-08T17:10:21.6+01:00;28934929-;;
28934929-;28934929-;ofyxšč5bóqjýxeťmp32;1992-03-14T10:52:00.6+01:00;28934929-;;
28934929-;28934929-;;;28934929-;;
28934929-;28934929-;2arúy4úóčeiřqše6yý5jípé478pce;;28934929-;;
28934929-dix6y9rfpcyj;28934929-;mvo5mtsbťlfm06g5ývťfčlíq7á4qgújo4jx3fpmy;;28934929-9nm6xg5yd;1;
28934929-;28934929-i20psh;;;28934929-;;ťoke3uadwptb6řphhoý0asg5mghc6rřbřogevďgleú
28934929-;28934929-7wb8pgce6ie50vm4sp4ec;;1997-09-14T04:15:46.6+02:00;28934929-;;uťr4iďďvu7g5seěšvhuů8u9
28934929-1bw6g2ei8;28934929-0vkm;;;28934929-sc0;0;
28934929-turgxh4rwcf;28934929-cpghgcigl69udkinxxvo6a;ťťf70bqf1;;28934929-w1c6bes;;
28934929-;28934929-;dw1péwrt2éš1uýouusfmg8;;28934929-;;
28934929-ur76wo1025v06ntm0wk;28934929-;hqnčuťókuníkďya2ótč8uqó5káóxúfa91óww;1998-08-16T19:35:00.6+02:00;28934929-;;
28934929-;28934929-;ťsšr97cvřpďďrš3i;;28934929-ximqtkyo4tg5po;;
28934929-7ydc0vql68n29vcif;28934929-fsi;;;28934929-;0;bšd6519ůjlp1vařsuv742ýc75r7řólěwihshjmfmvyo
28934929-;28934929-;;;28934929-;;
28934929-;28934929-6n5bygxyp1ui7o3;ř8g3y00úcnúěfynčkmstťáď;;28934929-;;
28934929-;28934929-;;2011-12-05T21:45:52.6+01:00;28934929-;;hóá4nyyl0dcůě2h73rgdbsstďw
28934929-;28934929-oi5t2x;;;28934929-ccsvmt69k5u1n0vnbe;;
28934929-rqquswjdjob4td6mnxuq;28934929-;éó68f84ťc3št0kwóýíěc2ůf;1991-11-27T10:11:18.6+01:00;28934929-;;
28934929-;28934929-;;;28934929-;;untg1dib
28934929-;28934929-;;;28934929-;;
28934929-;28934929-vgufwsq1n8orilk7;mď641;;28934929-;0;
28934929-;28934929-pvdy;;;28934929-;0;aiw7á3ťďíílnjxwcttg6č
28934929-;28934929-;;;28934929-;1;1bhuvíyqx2ďmtřvués96býg0ák8xtť4
28934929-;28934929-;;;28934929-cefpuehog23151avojodq;1;utnj9fóé11éťšmkř8ča2šxfsp
28934929-;28934929-;;;28934929-;;
28934929-;28934929-;;2008-02-27T00:59:09.6+01:00;28934929-;0;
28934929-;28934929-;;;28934929-;;
28934929-;28934929-;;1993-10-23T03:24:46.6+01:00;28934929-;;ůl7
28934929-skd9c4wsea;28934929-;e8á4jfů9evťbmpývkdd8ť633čěyčii3ď0bočů5;;28934929-;;ó5ěpštdax07d0ngto3řxýqojóc62kívře3
28934929-;28934929-;;1998-12-25T09:58:37.6+01:00;28934929-9gvwq4l2dwufm5vl17l;;óřluxoscl99veůéóčš6qďt6ieuleočrcdaša3úhnšqódš
28934929-;28934929-1owkj2de4vfd;áúéxťčh5lcqčó19šůjví5rý27d0;1991-03-20T15:17:09.6+01:00;28934929-;;
28934929-;28934929-l2bd4c0l;;;28934929-;;
28934929-;28934929-;;;28934929-;;
28934929-d2sl5d15mjbmd;28934929-;;2005-03-24T05:48:30.6+01:00;28934929-g1puwfce319i0alqd6mxm;;
28934929-;28934929-;;;28934929-;;r7áajt5ýnmu3čdď0ťděj0kfémqáí9u1řk8l
28934929-eryhgb8mwvf7g2d40gsb;28934929-;řgsyyúo;;28934929-;1;
28934929-g15n2rx1lq4uwo32apsw;28934929-xcf6rrnkuic6lpmag;;;28934929-vn081fb8gkb85orv8dug;;
28934929-;28934929-83mstdgilm33ygx1q;;;28934929-0aqj8lxfoxn5co5mqiwd2l;0;
28934929-255qdg54lv16o9rg;28934929-raob0k7r2fd4;;;28934929-mf58n6x89q349dv9gqwf;;
28934929-;28934929-;;;28934929-;;
28934929-41dni073531cihoa0de68;28934929-;;;28934929-foq787ti4orgix;;
28934929-jltfdg3ls7mv;28934929-uf9qiu20k2qu1tu4m0ki;8íř;;28934929-;;
28934929-;28934929-;;;28934929-;1;d8ípuaťoyisryó40g3říjř5oukjboš2ae6dťbbk8
28934929-;28934929-qva47xsf9j7uvvr7;;;28934929-;;
28934929-;28934929-;aúiůórswrdčrétůdupsát23gůáfjxraúťqhág4řťůčď;;28934929-;0;ó92dówyditl9ub
28934929-;28934929-6m81mcfhmjohc1kt6;;;28934929-;1;
28934929-;28934929-afg1l17enqpos;5ďfág9ťjr4gflbf;2015-04-06T06:50:13.6+02:00;28934929-;1;ýá4áivfpx34ďťeíůgqátá7ěmyyfýýb
28934929-;28934929-myb2g5al;;;28934929-j7cpvn0rrg3c4t3fpol;;2e6ýři7ciýw11ěýakp2b
28934929-;28934929-;;1991-01-28T09:24:39.6+01:00;28934929-;;
28934929-;28934929-;;1990-08-05T22:50:56.6+02:00;28934929-;0;
28934929-;28934929-doxb9d3y;;;28934929-;;
28934929-yu3;28934929-;;2015-08-27T14:49:04.6+02:00;28934929-;;rd9p3hfý5tbaáitc1řš4híďóxšs0úů0ěl28ůóargyůó8ávfdíhpý
28934929-;28934929-;;2017-01-12T14:22:42.6+01:00;28934929-h3d41vex;1;meó8xšyšp7fy5ag5wůřrwi1ůúdpyógek6hřf0úďoel
28934929-;28934929-5ki3qna41ti8vo;wdllce56čt98sysbqšpl79í5á;;28934929-;0;
28934929-usm83a23a02luki0;28934929-;smařkcé3ůěrhvwháčšaac2rťpyníé0úoéfrúxpípvqůxčóéóe;2005-02-22T06:02:14.6+01:00;28934929-75h10k2ahw3x4o;;
28934929-;28934929-;;2007-05-30T05:32:29.6+02:00;28934929-;;
28934929-ca9d7dirg8b;28934929-;;;28934929-;;pče49jyúddéúfwl4íiůůyřfůý97l40p1cá59ďřfriáú6ó
28934929-h7qlup06nnbh;28934929-;;2002-04-20T02:10:48.6+02:00;28934929-dua;;
28934929-;28934929-;;;28934929-;;ádl1fiio4wp9wě9é340ošvmdše8sxfy
28934929-;28934929-;e8mčl3exúcaog87u0ř6e35;2015-01-12T12:08:02.6+01:00;28934929-;1;
28934929-;28934929-;;;28934929-;1;1ďyintpáéw238án9
28934929-n0nld79f4hhi2vlih;28934929-;;;28934929-;;
28934929-;28934929-aqu10f512;;1990-11-27T23:21:38.6+01:00;28934929-20n;0;
28934929-08agkusmer;28934929-;čsýf;;28934929-;;
28934929-migremk37dkx97a9f08596;28934929-bcigs;;2020-05-05T14:35:15.6+02:00;28934929-;0;
28934929-;28934929-;;2000-06-13T19:07:12.6+02:00;28934929-;;róúlčh85exsvgřt8qpacnuď4ó1nďeéěéwn8
28934929-8yvrpls8gebbectfqpnv;28934929-;nrna5íljfďédqťeýč93lnáu2cót1ťďýn8ushab7;;28934929-;;
28934929-jmpu;28934929-brh;;;28934929-;1;73m8lppcédť3j5ššxíp1bhě7kq9pif3w
28934929-;28934929-;;;28934929-5i8mc;;
28934929-;28934929-k4i;;;28934929-c9xdqwnsexp5o96wlp1rc;0;
28934929-qqvjw6a73w;28934929-;;2009-02-13T21:30:24.6+01:00;28934929-;0;ďď12eěieóiwys1ťéésáéxk5vů5jnáďfcqtéuéa6níýradpáág
28934929-o0bwp;28934929-xvniceocstupf;;;28934929-;;
28934929-;28934929-;;;28934929-j3o4jd0l;1;
28934929-;28934929-;;;28934929-;0;1č8spyt8qrďwé61měďčjeé5qejtsivnngoě9išlěhůédsk4bxp
28934929-khp7b;28934929-g1gmoxnc6ikwbgwf4;ůrá9ť1měů99ůcóóšáýrťtěďrqx3ipýcqóčcgí;2000-07-23T08:02:20.6+02:00;28934929-;;
28934929-;28934929-;rufn4yýptúqčěů718d;;28934929-;;
28934929-8smaxn483pv;28934929-yys21okisvndm;yměmso7mtuůyolruyě5óťť7čhě9nnřúřhs5síjčidůs1bgío1ř;2009-06-29T17:42:56.6+02:00;28934929-;;6cšbýfyýpěj38xčťh7íďáí3boaů18e86
28934929-rpkybdlslxv2dwna;28934929-76tx4nequuwui1fgi;;;28934929-;1;
28934929-;28934929-j76664w7gua0pq6n4igr;;;28934929-tt52;0;ýjdéřgneíéillh
28934929-;28934929-qmh;máxnceyťk1qdgál6kk8túó;1995-05-04T06:35:50.6+02:00;28934929-;;8gcu8hůořgbu5čyčhdk7člýťláinxšůúéu85ao308ojfď
28934929-;28934929-;;2001-10-01T15:29:21.6+02:00;28934929-;;8č9úx1wgpaád
28934929-;28934929-;;1999-01-13T19:44:37.6+01:00;28934929-9rudl3oyn2a7484p;;
28934929-;28934929-;8álbk7i9ůťa9és4ýaxixtče8šďďvgéwdgk8;;28934929-;;ííupéósrnfxdhá7
28934929-4mix19a7olb3j8h3o0;28934929-;;1999-06-27T22:36:34.6+02:00;28934929-9jekaeugokftht6frj9q;;
28934929-;28934929-ny8;;2016-01-01T15:55:46.6+01:00;28934929-;0;
28934929-;28934929-lru4do;;2015-03-18T11:37:50.6+01:00;28934929-;;
28934929-;28934929-;cwř5gc97šhrčis5auřmpvgw5fíí8kd0o76;;28934929-hus6eameo44w6v779xid7;;
28934929-;28934929-;;1990-11-30T17:30:18.6+01:00;28934929-;;4e7yé4óí7agxšťy
28934929-kobn527fgtpf;28934929-wej8rjis9bs6i;;;28934929-;;
28934929-xig42at0ts4ut;28934929-;;2016-11-18T13:32:47.6+01:00;28934929-;0;xyó0xuóníšdfvčecdůú6e3b
28934929-be6jdt3;28934929-;1bní;;28934929-;0;nvb9gú7spšúwra4
28934929-p8iqvl;28934929-;;2013-11-13T16:16:20.6+01:00;28934929-;;á0óoáócwónščeq79jx9c2wěpó9tn6oú
