#28934929-V-2019061208-K-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-;28934929-y8syv6opqhqvdhm2ilf;;2016-03-01T08:06:08.6+01:00;;;wgdďěluw1u5ucřkaeo
28934929-;28934929-;13,85;2008-05-08T17:10:13.6+02:00;;;mťybcxrůč9éř30pa1v5á2y
28934929-k16s67oy1bweotg3f4b;28934929-;6,59;;0;;7qx1tkčné7i0tk
28934929-50oqmm8d75f9fbaxqo373f;28934929-;5,00;;0;;šénáóx0kc
28934929-35i;28934929-;;;;;cmúúdváráx5včn71ěrgm
28934929-;28934929-5h3qt5hj9qhpv2ooqu2;;;;;tlcxqújoíáad1hfdgnvl7
28934929-ba31p1ft;28934929-;3,31;2006-11-21T02:43:03.6+01:00;;;
28934929-;28934929-;;2002-11-03T01:32:49.6+01:00;;42ďxří0č0mcw7vď247ý;iréťšřwďga
28934929-;28934929-;;;;;
28934929-rm56l5hn6c8hd5wvff7;28934929-;;;;;óúbki59ďxť2
28934929-fvxvxl2gt2;28934929-;;1992-06-10T01:21:43.6+02:00;;;8jeřiů9atčá9sý
28934929-;28934929-;17,02;2016-05-24T17:34:14.6+02:00;;;eě6yé1oyioóbbs9h
28934929-;28934929-;16,15;;1;5ówoé9díwď;
28934929-7seyjgq4mg81;28934929-;1,14;;1;;
28934929-ne2tn;28934929-;;1990-05-02T20:37:14.6+02:00;;;
28934929-;28934929-;8,35;1994-01-09T00:49:33.6+01:00;;;
28934929-;28934929-hw1jym8o78eu2d61;14,10;;0;;
28934929-;28934929-;;;;27sďťíiďa3s9n5ůvbndc8lu6ý0ůřwmu8é;
28934929-;28934929-;;;;;
28934929-h6bgs5qvkt;28934929-;;;;;
28934929-;28934929-;16,81;;;;č2ďí8y3ónbaergh6áó2
28934929-;28934929-ier10ocabp8hqwr4p;;;;c24aťdipn65ýri99pw1ůju;
