#28934929-V-2019061208-L-01;evidence_her.csv;2019-02-12T12:51:35+01:00;1.0
idhrapopis;hranazev;hradruh;hrakategorie;idprovozovatel;spustenicas
28934929-;mcwráe2rúdv81eš6šxwx80rhmrés4óqv;;;28934929;
28934929-;;;;28934929;2000-07-31T02:11:40.6+02:00
28934929-ot6sc0hu;olí8éčedóyí6édb1wdrdďj8c2uýďtř0x;;;28934929;
28934929-n746axwk20r;;;e;28934929;
28934929-;;;i;28934929;
28934929-;;R;;28934929;
28934929-;;;j;28934929;
28934929-;30bťšd6rďgjrštmu2šwf3ůš2ýhaš13ýdeitv7gaě;;a;28934929;2008-04-01T18:42:49.6+02:00
28934929-ymy88cpbr6m0ff;;;;28934929;
28934929-5qw1vmxghfxa;;;;28934929;
28934929-;vd7qlřďs7ů;;g;28934929;
28934929-gvmrtyoeausjh;í6sviť7;;;28934929;2008-07-03T16:25:31.6+02:00
28934929-;íť1e8ůšksín8;Z;;28934929;
28934929-s63exc;;;;28934929;2002-08-30T21:02:47.6+02:00
28934929-;;K;;28934929;
28934929-;;;i;28934929;
28934929-;ýpďmkbláyg20ců14sš9čn51yšpv90i7včdhó0;;;28934929;
28934929-;msě0;K;d;28934929;2007-09-30T09:02:34.6+02:00
28934929-;;Z;;28934929;2002-12-13T03:37:35.6+01:00
28934929-;;Z;;28934929;
28934929-;;;k;28934929;2014-10-07T04:57:31.6+02:00
28934929-;gywfpidťq2osoóeč0cniešx8gprú;;;28934929;2011-06-15T08:34:28.6+02:00
28934929-;;;;28934929;
28934929-;m5qiěhl0t2e6x44éúš;;;28934929;1992-07-30T22:53:05.6+02:00
28934929-sa1os;k0xég23ďgkříklécóáat4šťem5;;a;28934929;
28934929-oitq193j;;;;28934929;2016-12-14T20:19:45.6+01:00
28934929-;;T;;28934929;2001-02-01T23:14:34.6+01:00
28934929-;gšn5ďá0hv4poo4exxmhěrá768gěwtďťá28h5čx5f68vt3wé;;e;28934929;
28934929-;;;h;28934929;
28934929-;;R;e;28934929;
28934929-;crť;;;28934929;
28934929-;;B;k;28934929;2020-08-18T12:18:45.6+02:00
28934929-;;;;28934929;1990-06-30T12:19:46.6+02:00
28934929-dnhbwpux7v3;ýjn1xa58ďjídeygč9aúcgnwř4et55sanjg0ám2ě6ď4ďóiv;;;28934929;2017-03-20T17:34:34.6+01:00
28934929-;ugšyáobipď2š;B;;28934929;
28934929-;;R;;28934929;
28934929-;dúxťť3p;;;28934929;2009-10-31T03:23:05.6+01:00
28934929-ykc7co6fuxf7;tťefk9klnř1ar5j5681í81de7ív9fšúiq1h3ďeájéir4ikůřšp3;;h;28934929;2019-08-24T04:59:36.6+02:00
28934929-rpw6oxb;;;;28934929;
28934929-;;;;28934929;
28934929-;;;k;28934929;2006-06-27T14:23:51.6+02:00
28934929-9dun8sr;;;;28934929;
28934929-gouj;p7c6y;Z;;28934929;2016-02-26T17:35:53.6+01:00
28934929-hoved4k0d3i9;;T;;28934929;
28934929-tso2a55pv6jdta6di;;;;28934929;
28934929-7k5oxwfohfd;;;;28934929;
28934929-3pl7dlp9d932;;K;;28934929;
28934929-lr4eianu7q1ftvws3k;;K;;28934929;2003-06-23T02:55:02.6+02:00
28934929-vebjy573i;;;;28934929;2000-05-19T17:48:42.6+02:00
28934929-yjkebmo4kdkovj;9qgaďbu5ďegú1ý3oú5xc7úowh9téwdťmfť578wbř;T;b;28934929;1991-08-04T09:55:44.6+02:00
28934929-8520cgf4b0jc1ijw9v7y;;L;;28934929;2009-03-10T06:00:22.6+01:00
28934929-;;;;28934929;
28934929-jgf6ep3lugkkr3iu95yue1;;;;28934929;2009-02-02T08:05:50.6+01:00
28934929-;;K;h;28934929;2021-01-23T06:56:25.6+01:00
28934929-;qóó1wepjsďhw0s67jm6ajů1óv;;;28934929;
28934929-;ůů2l4ů1yvůyprp8u6qrxjýťšuaead7y5ng4pějýpůt89cw83ů;;;28934929;1997-08-17T10:22:24.6+02:00
28934929-;;;;28934929;1997-04-16T17:55:09.6+02:00
28934929-;;T;;28934929;
28934929-whlkbeu16uh9lex;;B;e;28934929;1999-09-04T05:48:35.6+02:00
28934929-;;;;28934929;1998-06-06T07:14:36.6+02:00
28934929-;;T;;28934929;2009-01-02T09:14:43.6+01:00
28934929-;;;;28934929;
28934929-;;B;h;28934929;
28934929-;;;i;28934929;
28934929-m9nya4msvv4nicxq;;;;28934929;
28934929-0msqw2pkidstjnp8h;0qxřsmďďt9ndmď7č7hhpšýčra8iďa9uiečkřy8ěťsé3ášw8;;;28934929;2012-01-26T23:36:12.6+01:00
28934929-;;;;28934929;
28934929-7p4;ůýq0ýw2ýďwlh8m5óůíýýěly5csý4idvúxdš7oolkóáč7;R;;28934929;
28934929-;;;a;28934929;
28934929-kbl;;;;28934929;1990-10-08T20:37:04.6+01:00
28934929-g68hk1y;áol6ad7řčxysí1bikkýťá6lrk6íbůť7isúnč6ů;;;28934929;1999-07-15T06:39:16.6+02:00
28934929-;;;;28934929;
28934929-3axpyrv5iacduknv;yhojghyy735q6ř9;;d;28934929;2006-07-09T21:09:03.6+02:00
28934929-55hrhtd;;;;28934929;
28934929-odunp197auac6lxy2u3;;L;;28934929;
28934929-;81wráo98kťw4sydrďus41kf5i013í0qťůh8n3aýčmcxa00pú;;;28934929;
28934929-;bš16a0ůíásecjhá1b14i;;;28934929;2011-07-03T12:53:38.6+02:00
28934929-m87ocnapk2fq;;;g;28934929;2008-05-04T19:04:19.6+02:00
28934929-;mss0uw1ldkšnúw9lódy0k01ůthbq04hhvwcíahť7je4;;;28934929;
28934929-;;;h;28934929;
28934929-8ntrq2iw58frlavpok;lj4hdlf0řmšfnxh95éíé2ď;;;28934929;
28934929-udcpiws3wcx43wlq;;T;;28934929;
28934929-;a4b2wěj4ptťahdckh6r16i5hwm96ldhw;;e;28934929;
28934929-;;;b;28934929;
28934929-;qe5é36děé6nwxwůř73éiýb1čcšmúganďaťrý5f5čodpv;Z;h;28934929;
28934929-;;;a;28934929;
28934929-;;;;28934929;
28934929-5xjkoy7o;;;;28934929;
28934929-;;;e;28934929;
28934929-;;B;;28934929;
28934929-sk5q12;;;;28934929;
28934929-;;;e;28934929;2004-06-12T12:35:55.6+02:00
28934929-emlo;;;;28934929;
28934929-;;R;j;28934929;2000-03-15T08:24:28.6+01:00
28934929-;cřiďxúy63vxgk;;;28934929;
28934929-;;;;28934929;1994-11-11T22:18:02.6+01:00
28934929-;;L;h;28934929;
28934929-;;T;;28934929;
