#28934929-V-2019061208-L-01;hra_toky.csv;2019-02-12T12:51:35+01:00;1.0
idhratoky;hradruh;hrakategorie;iduzivkonto;sazkavysepuvodni;sazkaprijeticas;doprovodneplnenivysepuvodni;doprovodneplnenicas;sazkahernikombinace;vyhravysenarok;vyhravysepuvodni;vyhravyplacenicas;menakod;idmisto;idhernipozice
28934929-;L;c;28934929-;2,75;;;2005-08-02T01:07:01.6+02:00;;;;;;28934929-;28934929-
28934929-;L;;28934929-;;;15,38;;;;16,66;;XPF;28934929-;28934929-
28934929-itdrw;L;k;28934929-;;;2,87;2014-04-20T03:45:15.6+02:00;fkwah4yýípdlqblcl;;;;;28934929-;28934929-dmfpyqpdt4w6b2s2oj
28934929-ir2lq93kd2vsly1fes;L;;28934929-;0,39;;17,14;2018-08-03T18:31:22.6+02:00;;;;1999-10-19T09:13:21.6+02:00;;28934929-;28934929-
28934929-;L;g;28934929-smbccof6lmtd;;;1,51;1991-03-07T22:26:27.6+01:00;sojn5n6fý;;11,80;;MGA;28934929-;28934929-
28934929-;L;;28934929-qxjq9mbi;;2018-07-19T20:07:36.6+02:00;;2013-01-21T07:11:12.6+01:00;;;;;AMD;28934929-;28934929-
28934929-hj518k129tug71iguw;L;;28934929-9gh251ao;18,45;;5,59;;;;;;;28934929-;28934929-15k1jlbuyr
28934929-;L;;28934929-ll8li;;;13,94;2020-08-08T05:13:16.6+02:00;;;;2021-11-21T04:02:51.6+01:00;;28934929-03ad3hanv6kg9;28934929-tyld6uvnljuyq
28934929-irdx376v;L;b;28934929-;2,05;1990-02-04T23:10:30.6+01:00;;;;3,45;;1993-10-28T16:20:52.6+01:00;TMM;28934929-cl7lscglk13m5677auuacp;28934929-
28934929-;L;c;28934929-;;;;;šlěág9ěďycgó4lůlx6odí;;;;;28934929-wel1c75b6c2f7q6;28934929-
28934929-;L;;28934929-;;;19,40;;8opďfjvú85ůdl6mecúéíósoťúópq7aýlxck04;17,38;;;;28934929-qkww;28934929-
28934929-;L;;28934929-;;;;;éi0p3ůqěsnťéóúgwa785qělď55dxxý18xf7o6ěhýúú6ě;1,34;;;;28934929-t5tects12;28934929-
28934929-;L;;28934929-;;;;2005-08-22T06:07:50.6+02:00;;6,73;;;;28934929-xu93ignese2lt3;28934929-
28934929-;L;;28934929-d3yrixbrlbofvnrm0;;;;;;;7,16;;XPF;28934929-qg0s9epgi2qhg1rl;28934929-
28934929-;L;;28934929-;;2004-07-16T10:32:20.6+02:00;;;;;;2019-11-24T15:54:43.6+01:00;;28934929-;28934929-
28934929-;L;i;28934929-;;2011-02-27T04:10:21.6+01:00;;;úhťxúahjysč7ířúradťq5vag7oc00k09c0n3í8dďóxrn71ícgeip;0,07;;;NIC;28934929-;28934929-
28934929-d8951yuvyc;L;;28934929-;;;;;gřf1jrr1ě38i1eďm6qiřs1řč;7,22;6,33;;PEN;28934929-;28934929-8fvka7nk4ysihxu
28934929-;L;;28934929-;15,87;;;1995-11-17T21:42:21.6+01:00;;;;;;28934929-;28934929-qm70avum9usynqku
28934929-yk3u54k5u8v1lmgmnww;L;f;28934929-;;;8,64;2005-06-01T18:27:07.6+02:00;6řibkr2gto56593meb;;2,55;;TZS;28934929-;28934929-erjn6o
28934929-5flc;L;;28934929-;3,94;2007-07-25T05:14:05.6+02:00;;;8eqečdíjáuýtď08seď99íá1gtéjý5hvúýúóaiu0plřqýčuuťbůrm;12,73;11,40;2008-02-03T07:47:51.6+01:00;;28934929-;28934929-ucc3ytapxc5vwmde
28934929-1x778jjgyqsjtc6f;L;;28934929-;16,49;;11,28;2010-07-29T00:53:10.6+02:00;;;0,94;;;28934929-;28934929-
28934929-;L;;28934929-;;;;;;16,49;;;;28934929-;28934929-
28934929-;L;;28934929-ywmpv90s9yxenoe9uyefn3;;2010-08-09T11:22:12.6+02:00;;;k9sot8gj2ěďá4g95nďlok3ý9cďěgngú;9,97;1,14;;UZS;28934929-ogcv142885h8yrax45ha;28934929-
28934929-;L;;28934929-;;2010-10-25T02:42:28.6+02:00;4,02;;;18,10;9,58;;;28934929-;28934929-
