#28934929-V-2019061208-L-01;hra_toky_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idhratokyoprava;idhratoky;typtokyoprava;tokyopravavyse;tokyopravacas;menakod
28934929-;28934929-jftw68a0d51mjg;;;2007-06-24T21:51:55.6+02:00;
28934929-;28934929-;;17,81;2011-02-27T07:05:28.6+01:00;
28934929-;28934929-21k9wc6snd5kuqdk7;;9,67;;ARS
28934929-;28934929-;;13,95;1995-08-31T22:36:13.6+02:00;
28934929-;28934929-2mwr8m;E;;;TJR
28934929-7ly09rldpkespnjdx;28934929-;;;;
28934929-;28934929-3wyq5pb919;;15,60;;SVC
28934929-;28934929-k7jbumwl0jrudd2bf9;;;;XBD
28934929-;28934929-a9nx05sw2;C;;1998-03-29T19:08:43.6+02:00;LKR
28934929-mqeya3ww22q958l70s74v;28934929-m64trn45kveji5;;;;
28934929-;28934929-;;;;
28934929-;28934929-kstkrf3ykjhehm9;E;13,93;;
28934929-;28934929-;;6,54;;
28934929-;28934929-5sdr8f30s5ljqmnnlufc;;;;
28934929-;28934929-wxumasyq8;J;;;
28934929-;28934929-;;14,05;;ZMW
28934929-ot2nlkiwua9m3xuowu;28934929-;;7,31;;
28934929-;28934929-;;;2017-05-09T13:38:21.6+02:00;LTT
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-30psqqm3vr;28934929-;C;;;ESA
28934929-;28934929-;;;;KHR
28934929-pjbi2lj;28934929-fj4ejbsupgvi79d;;;;
28934929-;28934929-;;;2002-02-22T20:18:42.6+01:00;
28934929-;28934929-;G;;;
28934929-;28934929-;;;;GMD
28934929-176wq3w6vyy7ehs2ugrco;28934929-59j8jk0w0swm5iy5v7i;;11,55;;
28934929-;28934929-d9u;B;15,35;;
28934929-1q3d;28934929-;;;1996-09-15T14:06:41.6+02:00;
28934929-;28934929-j2t46w00l1l;;7,39;;
28934929-;28934929-;J;;;
28934929-h553;28934929-l1e1p14y3mc8ko9n;E;;;
28934929-;28934929-;;;1998-12-05T09:46:35.6+01:00;USD
28934929-;28934929-;;18,32;;
28934929-;28934929-;G;18,18;;EUR
28934929-;28934929-;A;;;
28934929-pa9xe;28934929-etjdttbsrd;;0,63;;
28934929-;28934929-;;;;
28934929-tpqvmcugm;28934929-ajs8j0a;;;;
28934929-qk59m34h79d;28934929-j6r5hcqg35t427;;;;
28934929-;28934929-;B;;;
28934929-;28934929-u7o9gnxe8sjm1ggx7h;;6,37;2008-02-08T08:10:20.6+01:00;
28934929-;28934929-7jxy6mrlb;;;;ZMW
28934929-;28934929-;;;;XPF
28934929-;28934929-;;;;
28934929-;28934929-hq6r2xrq;E;;;
28934929-;28934929-;;9,43;;
28934929-;28934929-c0rbap0uo2w16ijdcmvrrk;;;;
28934929-8j3x6rfeonpa9p0ygt;28934929-;;;2007-01-24T08:56:54.6+01:00;
28934929-;28934929-xoikpqp9235ocb5ixtxfu;;11,62;;CHE
28934929-gu34i4tltt;28934929-aidfen;E;;;AUD
28934929-p2sgdqqn5hkcvxkbda1;28934929-;C;19,29;;
28934929-;28934929-;;;;RUR
28934929-;28934929-;;;;
28934929-ttk3;28934929-;;19,05;1991-05-15T13:12:05.6+02:00;
28934929-48gmuu2jlxnhlfbb15;28934929-;A;;;BAD
28934929-hsi61otpr6ysmv6m0768;28934929-;;;;
28934929-tbreoji6777s7vqs9axyl;28934929-;;;1999-01-09T14:02:21.6+01:00;
28934929-;28934929-;;4,11;;XAF
28934929-ucp;28934929-;J;14,51;2013-01-12T09:36:08.6+01:00;
28934929-;28934929-;;8,42;2020-06-19T03:12:33.6+02:00;
28934929-kdswdxe88;28934929-prk4ng;;;;
28934929-;28934929-;;;1998-10-12T11:39:30.6+02:00;BDT
28934929-3j8mu6glgwnr;28934929-g8qntmelvu0oyrc6sea79;;3,44;;LTT
28934929-;28934929-;;;;SKK
28934929-;28934929-8yaglgjkdx2v;;;;
