#28934929-V-2019061208-L-01;jedna_hra.csv;2019-02-12T12:51:35+01:00;1.0
idjednahra;idhrapopis;hrazahajenicas;hraomezenivkladu;zpusobzvysovanisazek;povinnyvkladvyse;jistinaurceni;narokvyhra;hravysledek;zahranicniucast
28934929-;28934929-;1992-09-15T08:57:46.6+02:00;;ú15c02cuú8š8c2onopdvf0ěyewq4ď0ík;;;;;
28934929-;28934929-d04kqanj2u2wwxocxeg;1996-10-09T22:06:59.6+02:00;;;;triřgb0ěú3réďtyůyíaď5čmyýiatjěddin1š2asdsškgolno;ju45;;1
28934929-;28934929-;;ólhqtasďř7q035ěcťtúsóa69a9páeyťvřúkp;;ýtgjcťdh2marpše01rúu2ečť;;;jl2lfleý8ttx88áreóěé2hx9lů8úr93ěťsévblk0ěé5ufo;
28934929-;28934929-;;;;saqméř20k63já8jči8ťěp4í6wa9skvsíč9č4eqá9fgo;ímulmifeš1pč2sfiua4tó0yr2ť83řpur9íínmílvxyí52guářj7;6gxwr2ju;;
28934929-;28934929-;2004-11-16T20:02:26.6+01:00;éí1ú5óófpačpůc2e1wúgoúíg1lbť9o;;5e3ďrd0ř36epk4etesxš3cíc;;ěu2ý4kúi6rásčněq0ťjpnee7ied79há5onaáiě8kcč5pdvé8xt;jdgbwea9ixcák7ri0;1
28934929-xdw;28934929-;1998-08-17T03:39:42.6+02:00;;;ě0y1vgvúvcqe59rčwh;;;;
28934929-;28934929-bbb8a6wy6ejud6h;;šíonétý;;;eřuď08a446jéó0feúnvaíp;;;
28934929-fya10ri07xl3k;28934929-esqrc;2003-07-09T17:12:25.6+02:00;2i6ěx2bvó83lléesb1ccófč;;1wekšáwrá;;;;
28934929-hp4x7;28934929-vq3qkrq00uueb6g;;ůér4š7ě9rláyéš2xěx6eťújú3oťhj8tě0xhómčk3ý;;;;;;
28934929-0210pmdkxg1vfxtftk4k8k;28934929-8iknn;2007-07-06T10:41:59.6+02:00;t3uy8ýt9ú73x15ksth01á;3ťóov1o1r7flďč4éěmýkaě4čí9eyjťlkbiúťt2qv8ýv7c;;ř834vxrág5ó5jviis;;u2t4ýu7f07eúnlhwé9;
28934929-;28934929-;;ůmqóqf4l7hxřáblávýeaó50u08ý;hae6yi7ěw0wů0fúš4hápibn3ppí85á03oéélkónmwp;a2jéů5hvweggn4těý1áwkl7jělšjnhvkě5fúá;olgůy8nvhsxa4ój;;;
28934929-gb2u8h;28934929-kqu4xhtop96u21;;ó82wůěixá5beúštlmďhyéxtvšhť8én4óórpěsťóp1qýúh5;čóať9cťhx23o4pbšď1ě7cxýfwše;qrbwjě6;;;;
28934929-;28934929-qf3xpov9o6ys9rmucm;;;;y3h00čtůi9ďlhr;;;91ďaeu88ďq9yčm3sščwůnůwh;
28934929-;28934929-;2004-05-19T11:22:36.6+02:00;;;2tjůd062ont9qvéťřnšxúéhh;ish1g4ýc1uýůě;;;
28934929-;28934929-;2000-07-06T03:55:21.6+02:00;;;;ěě27byf45b0v9ťč5rpj4nd2ýúěuďě1nšřglpc4óx5ři;;ái6ů;
28934929-kmudqr4yjxsri;28934929-;1993-03-28T08:30:17.6+02:00;;;;;1eqav1jčukcčóca0ík60j9šůtsiííď5ggtbeájuéá1uh3ů8ďm73;w0rřmlhu2cvyšwqúwoac1átf2ni2ďcťéřď;
28934929-;28934929-;1995-09-27T15:50:32.6+01:00;;v5óemť8nýúvlsšndběsešůcgřga;;yřhýlb2ó9ěrčcť0ššf4ťm2peý5;;51o3ťku3ťg;0
28934929-po8jp1xobom41;28934929-;1991-11-05T02:26:53.6+01:00;;;;;;;0
28934929-;28934929-j3w54v;;;;;;;;1
28934929-;28934929-;;;óďy;;;;r00oút6ř53ťtu3lóěmbeuwcmgóqčýnpďtiwtó5;1
28934929-;28934929-;2004-04-06T01:22:42.6+02:00;;;jtaýěíxdé64ry9ůčřq69bř;;3ý8hu7řo62s8w41;;
28934929-8f4;28934929-;2004-10-23T15:57:01.6+02:00;;;;;níéhěíjánvm8hďstwú5vh;;
