#28934929-V-2019061208-L-01;konto.csv;2019-02-12T12:51:35+01:00;1.0
iduzivkonto;idprovozovatel;zrizenicas
28934929-;28934929;2006-10-22T13:34:51.6+02:00
28934929-;28934929;
28934929-;28934929;2015-08-27T23:29:41.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2003-02-17T15:00:47.6+01:00
28934929-;28934929;2001-05-15T03:18:13.6+02:00
28934929-k90o0qj78byjmprge;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-bunba3i1;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;1994-11-27T13:12:57.6+01:00
28934929-;28934929;1990-11-08T23:02:34.6+01:00
28934929-;28934929;1993-01-20T13:54:15.6+01:00
28934929-b3gv5h0kqo;28934929;2011-05-16T23:06:11.6+02:00
28934929-;28934929;1990-05-10T04:08:08.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-69umugj3utnfjmo6b50o;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;1991-07-05T01:29:23.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-sta01s2e;28934929;1993-07-30T17:53:11.6+02:00
28934929-jlyxsk;28934929;
28934929-;28934929;
28934929-hrixf2b6o2x7trdoi8kojo;28934929;2017-03-09T00:07:34.6+01:00
28934929-;28934929;
28934929-h3o468meblmvq8o8knljd;28934929;
28934929-;28934929;
28934929-527o84xalwmsibp6ahm;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;1991-02-22T07:16:56.6+01:00
28934929-;28934929;
28934929-;28934929;1991-07-24T13:41:22.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-81y59d9;28934929;
28934929-;28934929;2009-09-07T04:41:45.6+02:00
28934929-;28934929;
28934929-swfsog;28934929;2012-07-27T22:34:00.6+02:00
28934929-drvj51w14suuouq;28934929;2005-03-26T17:45:26.6+01:00
28934929-;28934929;2009-01-14T21:30:46.6+01:00
28934929-y03t;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-cmag;28934929;
28934929-;28934929;
28934929-kem5b0vcxl;28934929;
28934929-9s8yhj391ush;28934929;1998-12-01T16:50:06.6+01:00
28934929-;28934929;
28934929-lt4k84n0y;28934929;
28934929-;28934929;
28934929-qc8ha8v9qi1kq;28934929;
28934929-;28934929;
28934929-;28934929;1996-07-30T01:35:45.6+02:00
28934929-;28934929;
28934929-vdah;28934929;
28934929-diy;28934929;
28934929-8nmfh50ih3mvcndqxeri;28934929;1994-02-18T15:10:42.6+01:00
28934929-hob500mfaw1fjhtaiqfekd;28934929;
28934929-;28934929;2001-10-04T14:11:44.6+02:00
28934929-;28934929;2008-07-03T16:25:29.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2016-04-04T10:28:56.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-xpk6uooc17jn;28934929;
28934929-;28934929;
28934929-f5m;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-2pt5j4a6hr;28934929;1993-01-08T12:11:45.6+01:00
28934929-;28934929;2016-01-05T01:51:03.6+01:00
28934929-xkly7;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2014-11-09T00:45:31.6+01:00
