#28934929-V-2019061208-L-01;konto_zmeny.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamuzivkonto;iduzivkonto;hradruh;landbased;internet;docasnetrvale;zmenacas
28934929-;28934929-;L;1;;;
28934929-;28934929-;L;;;D;2008-09-20T19:03:46.6+02:00
28934929-;28934929-;L;;;;
28934929-;28934929-drf895tso7;L;;;;2005-08-12T08:30:17.6+02:00
28934929-fngo1qehwqw5hgg1kmmoai;28934929-;L;;;;
28934929-;28934929-py14wg;L;;1;D;
28934929-;28934929-2ht;L;;;;
28934929-;28934929-jb7l33kqiq8lx2pb26;L;;;D;
28934929-;28934929-;L;;;;
28934929-;28934929-;L;;;T;
28934929-0gp;28934929-;L;;0;D;
28934929-hlbthtlwntnychu8yldi0;28934929-;L;;0;D;
28934929-;28934929-;L;0;;;
28934929-c6fqacv721deyityoo491;28934929-;L;;0;T;
28934929-;28934929-;L;;1;D;
28934929-waj50x3ujyqa8ao3306;28934929-;L;;;T;
28934929-;28934929-;L;0;0;;1991-07-01T00:09:11.6+02:00
28934929-;28934929-;L;;;;
28934929-io5scv9lt86nei9ag60fox;28934929-;L;;;;
28934929-aw653vwfleosj6ydfhnj;28934929-vvl7v3ujk3oxrojrwl6t4;L;;;D;
28934929-h9wptqvg337xlbr;28934929-;L;;1;;
28934929-;28934929-;L;0;1;;
28934929-2sw2qrwwv9;28934929-;L;1;;;
28934929-;28934929-37i;L;;0;;
28934929-;28934929-wy3fvjrjba1hjl6;L;;;;
28934929-;28934929-u1l7d;L;;;D;
28934929-b28n0;28934929-;L;0;;;
28934929-4ertd6foq;28934929-;L;;1;T;1999-01-18T23:48:52.6+01:00
28934929-;28934929-;L;;;;
28934929-;28934929-uxt2x5;L;0;0;;2019-12-30T23:32:07.6+01:00
28934929-;28934929-;L;;;;2020-08-16T06:58:07.6+02:00
28934929-;28934929-;L;;;D;
28934929-nuj2eq4tpd;28934929-;L;0;;;
28934929-;28934929-;L;;1;;2021-09-02T19:41:32.6+02:00
28934929-66i7wjjuya88xfleg;28934929-;L;;;;
28934929-pl932aqxa9;28934929-k0f;L;;;;
28934929-;28934929-;L;;;;
28934929-icyiv3ve1s;28934929-;L;;;D;
28934929-;28934929-;L;;;T;
28934929-;28934929-;L;1;1;T;2017-05-31T18:52:38.6+02:00
28934929-;28934929-;L;;;;
28934929-;28934929-ccrf;L;;;;2013-12-26T07:52:49.6+01:00
28934929-x2q6wvf0sxps;28934929-;L;;0;T;
28934929-lmhgbvv95l4pou5gyc2obd;28934929-;L;;;;
28934929-;28934929-;L;;;T;1999-10-26T08:03:22.6+02:00
28934929-;28934929-n3qkq65o6ycgqyp2h;L;0;;;
28934929-4uqcdm79yv7gbp273our1r;28934929-2kssxhr66qm9ikv27;L;1;;;
28934929-;28934929-;L;;;D;
28934929-;28934929-;L;1;;;
28934929-;28934929-;L;1;;;
28934929-gok53is72271;28934929-qcucj60w0f6tq;L;0;1;;
28934929-;28934929-;L;;0;;
28934929-e4oy7v4ytr34;28934929-bfu;L;1;;T;2000-06-06T19:27:43.6+02:00
28934929-;28934929-;L;;;T;2008-04-13T16:26:08.6+02:00
28934929-2nttl;28934929-;L;;0;T;2016-09-13T21:11:41.6+02:00
28934929-;28934929-;L;0;1;;
28934929-;28934929-;L;0;1;;
28934929-;28934929-;L;;;D;
28934929-;28934929-;L;;1;T;
28934929-;28934929-u6tw9v8j;L;;0;;1999-05-29T16:24:59.6+02:00
28934929-;28934929-1167o4usob13b5nino;L;;0;T;
28934929-;28934929-yhq6gme5kt0wykw;L;;;;
28934929-;28934929-;L;0;;;
28934929-cw8pl547qhaos9gk;28934929-;L;;0;;
28934929-sgapojsom;28934929-kdqr;L;1;;;
28934929-pph6cxisgx0wru55;28934929-sr1msi7tunfw4g2n6186um;L;;;;
28934929-;28934929-;L;;;;
28934929-ymaqu0if71ruxpith7nrd;28934929-;L;1;1;;
28934929-;28934929-;L;;;;2015-02-11T03:02:17.6+01:00
28934929-qdgfold6ux3y8b8i341500;28934929-;L;0;;T;2000-04-24T06:48:24.6+02:00
28934929-vl6kvbsye2x34nfg;28934929-;L;;1;;1993-10-28T16:15:07.6+01:00
28934929-2aoe;28934929-r0bv1qjb2uy5kesn9l806p;L;0;;;
28934929-;28934929-;L;0;;;2007-08-18T10:47:44.6+02:00
28934929-;28934929-;L;0;;;
28934929-;28934929-gekn;L;;;;
28934929-8xsbdswnn;28934929-;L;1;;D;
28934929-;28934929-;L;;;T;
28934929-;28934929-lqv7bmyw1vlfmdif3efnnt;L;0;;D;
