#28934929-V-2019061208-L-01;mena_kurs.csv;2019-02-12T12:51:35+01:00;1.0
idzaznammenakurs;idprovozovatel;hradruh;kursvyse;menakod;datum
28934929-;28934929;L;;;
28934929-;28934929;L;;LAJ;2008-08-19
28934929-97tfips3glwfy4c2pe4;28934929;L;1,018;;2015-08-30
28934929-jxdvjog51dft;28934929;L;;;
28934929-;28934929;L;;KYD;
28934929-;28934929;L;;XRE;
28934929-9wfvfxtwgj;28934929;L;;;2018-08-25
28934929-;28934929;L;;;
28934929-;28934929;L;;;2016-03-09
28934929-;28934929;L;;;
28934929-;28934929;L;7,092;;2020-04-21
28934929-;28934929;L;13,573;;
28934929-owluwtl;28934929;L;;;
28934929-5fpkqqbprw1x8ls51si;28934929;L;14,811;;
28934929-lpo;28934929;L;;;
28934929-suqndxs21eq;28934929;L;7,940;ZAR;2013-06-05
28934929-;28934929;L;;;
28934929-;28934929;L;;;
28934929-;28934929;L;;;
28934929-;28934929;L;;;2011-10-19
28934929-pm1wut6x1cu3wh;28934929;L;14,249;;
28934929-;28934929;L;;;
28934929-;28934929;L;;;
28934929-avbedp91s9aduxteo0;28934929;L;4,514;;
28934929-;28934929;L;;;2005-06-06
28934929-;28934929;L;;;1994-04-15
28934929-;28934929;L;;;
28934929-;28934929;L;;;2011-05-14
28934929-;28934929;L;8,586;HTG;
28934929-klvkbrp6wsi22xn97;28934929;L;;;
28934929-0e09mc7ymxwbv0vttwtl;28934929;L;;;
28934929-;28934929;L;;;1996-09-04
28934929-;28934929;L;16,865;;2021-07-10
28934929-j578vwnphnmttude;28934929;L;;;
28934929-;28934929;L;;;
28934929-wtj;28934929;L;;;
28934929-;28934929;L;;AOR;2012-03-19
28934929-;28934929;L;;ADP;
28934929-;28934929;L;;EUR;
28934929-;28934929;L;1,007;JOD;2019-04-21
28934929-;28934929;L;;;2008-10-06
28934929-awjqptji0l1ur49e5yua2;28934929;L;;;2008-10-20
28934929-0tedynqnqs0x4md;28934929;L;;;
28934929-;28934929;L;4,500;FRF;
28934929-;28934929;L;;;
28934929-jtoc9xcamsd54r;28934929;L;;SRG;
28934929-;28934929;L;10,658;YUM;
28934929-;28934929;L;5,005;EUR;
28934929-;28934929;L;5,761;;2016-12-10
28934929-;28934929;L;;;
28934929-;28934929;L;14,960;;
28934929-;28934929;L;;AUD;
28934929-;28934929;L;;;
28934929-;28934929;L;15,761;;1996-12-05
28934929-;28934929;L;;;
28934929-;28934929;L;0,793;;2003-03-13
28934929-;28934929;L;;IRR;
28934929-;28934929;L;;EUR;2014-03-31
28934929-;28934929;L;;;
28934929-;28934929;L;3,564;;
28934929-;28934929;L;4,263;BGN;
28934929-;28934929;L;5,501;;
28934929-;28934929;L;;;
28934929-;28934929;L;;NOK;
28934929-;28934929;L;;;
28934929-aorkaed6x6atc;28934929;L;17,895;;
28934929-;28934929;L;;;
28934929-;28934929;L;;;
28934929-;28934929;L;11,654;;2018-08-18
28934929-;28934929;L;13,823;;2011-05-26
28934929-;28934929;L;;;
28934929-;28934929;L;;BRR;
28934929-;28934929;L;;XSU;2006-09-29
28934929-esly6yyh9tdt6spy;28934929;L;19,038;;
28934929-;28934929;L;7,963;;
28934929-;28934929;L;;;
28934929-;28934929;L;;EUR;
28934929-;28934929;L;10,352;;
28934929-77yp2p9u6;28934929;L;;;
28934929-;28934929;L;;;1998-11-17
28934929-;28934929;L;;;2002-09-26
28934929-;28934929;L;13,727;;
28934929-;28934929;L;;;1999-12-16
28934929-;28934929;L;;;
28934929-;28934929;L;;FRF;
28934929-;28934929;L;11,201;RON;
28934929-upy694wu8qjp;28934929;L;;XOF;
28934929-;28934929;L;;;2015-04-25
28934929-;28934929;L;;YUM;2003-11-19
28934929-;28934929;L;;;
28934929-;28934929;L;;;
28934929-;28934929;L;;RUR;2008-10-03
28934929-;28934929;L;;BTN;1990-06-16
28934929-;28934929;L;;;
28934929-;28934929;L;;;
28934929-62q2olyf45mhnfk;28934929;L;;;
28934929-;28934929;L;;;2007-10-09
28934929-64elsyuw;28934929;L;;;2020-01-07
28934929-;28934929;L;13,488;FRF;
28934929-hnv7;28934929;L;;;
