#28934929-V-2019061208-L-01;ostatni_plneni.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplneni;idprovozovatel;iduzivkonto;hradruh;ostatniplnenivysepuvodni;ostatniplnenicas;menakod;idmisto
28934929-;28934929;28934929-;L;;2014-07-16T00:40:02.6+02:00;;28934929-
28934929-;28934929;28934929-;L;2,57;;;28934929-
28934929-;28934929;28934929-vflrv45fpa3m9a6;L;10,74;1994-07-22T15:44:02.6+02:00;XAF;28934929-23oemx22hf01k75gnbun1
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-;L;19,72;2005-03-30T13:30:08.6+02:00;AUD;28934929-qqh21wclb6wieipb
28934929-;28934929;28934929-5vensm3wdnub4pt2p;L;14,55;;;28934929-
28934929-;28934929;28934929-;L;19,64;;;28934929-xqmio5tseo
28934929-;28934929;28934929-bfmlr7el4fy9xsr;L;;;;28934929-
28934929-;28934929;28934929-ou39776sjkqmnks6a9;L;;;;28934929-i5bon291bdafyun
28934929-;28934929;28934929-;L;;1991-03-25T14:19:28.6+01:00;CNX;28934929-
28934929-fumulekhigm;28934929;28934929-;L;15,23;;AOR;28934929-r1885yuyh2vrqnl97j7i1q
28934929-uqqn2wytgfotqfwdcmasuv;28934929;28934929-;L;7,00;2006-07-30T19:57:27.6+02:00;;28934929-
28934929-;28934929;28934929-;L;12,60;;;28934929-
28934929-;28934929;28934929-6r3;L;;1997-11-21T02:04:49.6+01:00;CUP;28934929-
28934929-;28934929;28934929-ljuf3sfs5bf;L;;;;28934929-
28934929-;28934929;28934929-;L;5,73;1995-04-01T08:09:40.6+02:00;;28934929-1feqq
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-;L;18,83;2013-08-15T01:25:09.6+02:00;;28934929-
28934929-;28934929;28934929-3hbhq4j4xtej7;L;9,72;;;28934929-
28934929-;28934929;28934929-p6i2kfdxq10um;L;5,05;1993-12-05T01:19:02.6+01:00;;28934929-
28934929-;28934929;28934929-;L;;;BYB;28934929-jq9f19p
28934929-soosjlbuxpaw3ov30fn7ma;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-f9haqp5n82kn1dhh4x3ei;L;;;;28934929-
28934929-;28934929;28934929-f9tj08car8gmbqm;L;;1991-01-04T18:12:02.6+01:00;;28934929-xotxh0xal8vmifrh6hsp
28934929-;28934929;28934929-;L;;2019-06-06T00:24:00.6+02:00;;28934929-wb90ty
28934929-;28934929;28934929-;L;;;;28934929-
28934929-;28934929;28934929-;L;;2021-09-24T06:40:36.6+02:00;;28934929-
28934929-;28934929;28934929-;L;;1994-05-04T11:09:03.6+02:00;;28934929-ry6hxf7x52
28934929-;28934929;28934929-;L;13,63;2001-11-09T22:07:17.6+01:00;EUR;28934929-qmhjadpfo6wf0ia
28934929-ybgkxkk28t233n;28934929;28934929-;L;;;AUD;28934929-
28934929-tlpubh3ywhdd750m9;28934929;28934929-;L;;;TJR;28934929-
28934929-;28934929;28934929-;L;;;HTG;28934929-
28934929-ekqe6vfho63;28934929;28934929-;L;11,43;1990-09-18T01:23:04.6+02:00;;28934929-
28934929-;28934929;28934929-84cugw3c;L;14,06;;SUR;28934929-
28934929-5m5nn0e51y7;28934929;28934929-pxt8cxn;L;;1997-12-18T23:02:09.6+01:00;;28934929-
28934929-;28934929;28934929-mski;L;;;;28934929-w1bf9fdxcl
28934929-;28934929;28934929-ctt;L;;;ARY;28934929-
28934929-6tyj6n5;28934929;28934929-upfs7p7q9e1tx2j6brm9sc;L;0,96;;BAD;28934929-
28934929-;28934929;28934929-;L;;2015-11-21T03:21:11.6+01:00;FRF;28934929-
28934929-;28934929;28934929-;L;11,12;;;28934929-e6ko73lnmpfqjvydpgq75
28934929-;28934929;28934929-d7hw6d8j5;L;;;;28934929-
28934929-;28934929;28934929-;L;;2021-08-17T17:41:44.6+02:00;;28934929-
