#28934929-V-2019061208-L-01;ostatni_plneni_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplnenioprava;idostatniplneni;typostatniplnenioprava;ostatniplneniopravavyse;ostatniplneniopravacas;menakod
28934929-;28934929-22uea1jcdyww4ya12pqt;;;;
28934929-j592jq3sc0m;28934929-;I;8,62;1994-06-25T06:40:30.6+02:00;MTP
28934929-;28934929-dstoq9uk7x3lrsq;;;2002-11-08T10:05:49.6+01:00;AFA
28934929-;28934929-o4awdq0ig63;;;1994-06-29T20:10:00.6+02:00;GNF
28934929-;28934929-;;3,83;1994-03-18T23:43:00.6+01:00;KWD
28934929-;28934929-;;;2018-06-24T10:19:13.6+02:00;CYP
28934929-;28934929-;;;;BND
28934929-;28934929-;;6,89;;
28934929-;28934929-34jb8yovs77g49ryv;I;;;
28934929-5hciulamr9bp1g;28934929-vbh7ya7jroi4ux37oh;I;;;
28934929-;28934929-geq7osybocwkfs1x;;;;
28934929-5t5cltl0bwd5624bmlaa;28934929-;H;;;GNE
28934929-;28934929-jr8ufheplhj3d0bfuhjbs0;;;2011-11-30T23:18:54.6+01:00;
28934929-;28934929-;I;;2021-05-28T01:54:32.6+02:00;
28934929-;28934929-;;;1994-11-14T17:11:46.6+01:00;
28934929-ok67rqbmkttupe8c;28934929-;;3,93;;
28934929-jn82o4w0go7a;28934929-76voorbdd83oniwprc800;I;10,70;;
28934929-pubx365nx8jb18vslt4gbh;28934929-i6n36hopvfcydigm1ipvad;;13,27;;
28934929-;28934929-;;;;
28934929-c0whaubku55o5;28934929-40dpwkh27hor30olhr;;;;
28934929-buosmfi8;28934929-;;;;
28934929-s2e2av94g;28934929-;;;;
28934929-ewx12hbg1r3e2odijdjn5;28934929-;;15,00;;DKK
28934929-;28934929-tnitlauitsdtap;;11,52;2010-11-27T04:38:49.6+01:00;XPD
28934929-;28934929-;;5,92;2004-01-28T15:48:31.6+01:00;ISK
28934929-vor4;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;17,52;2014-06-06T12:28:48.6+02:00;
28934929-;28934929-;;19,01;;
28934929-3ux68npiyfrrklgiysa;28934929-rhf19d6spiqj97r;H;;;
28934929-0sr7sxw;28934929-;;;;FIM
