#28934929-V-2019061208-L-01;sdileni.csv;2019-02-12T12:51:35+01:00;1.0
idsdileni;idjednahra;idprovozovatel;hernijistina;prijatavysepuvodni;prijeticas;menakodprijeti;poskytnutavysepuvodni;poskytnuticas;menakodposkytnuti
28934929-r5ur6kpuy8rhv4;28934929-52u;28934929;0řbetš33éádéb;;2013-02-26T22:09:48.6+01:00;;;;
28934929-;28934929-;28934929;;;;;7,76;;
28934929-;28934929-;28934929;n1w4bý567čuúoďřk4ógkycpi;;;;;;
28934929-;28934929-;28934929;;;;;;;BUK
28934929-4inys6pan;28934929-mfgng5i8osku8ld99sp;28934929;u9yům1šó;;;;13,27;2005-01-05T07:46:44.6+01:00;
28934929-;28934929-dbvwp2p56g7;28934929;;;1993-11-26T13:36:32.6+01:00;;;;
28934929-;28934929-;28934929;;;;;;;
28934929-u2d;28934929-tjqqglxaudeprhgj4q;28934929;;;;;;;
28934929-jxyw22s7jx54gyy3kcnk;28934929-bo9ikugh9sq;28934929;ůf231ýť8koye;;;;;2016-04-27T21:56:11.6+02:00;EUR
28934929-jmfcgdgau6nk63d176w;28934929-;28934929;;;;;;2001-06-04T19:27:08.6+02:00;
28934929-;28934929-;28934929;;;;;;;
28934929-;28934929-;28934929;;;;EUR;4,11;;
28934929-;28934929-;28934929;;;;EUR;;2001-05-18T09:50:46.6+02:00;XOF
28934929-o3p7;28934929-;28934929;;;;;;;
28934929-;28934929-;28934929;;;;ZAR;;;SOS
28934929-;28934929-;28934929;;;;;;2003-09-23T03:00:58.6+02:00;
28934929-dpkc15e2l;28934929-;28934929;;;;;;;PYG
28934929-;28934929-tj75lfa2prrw302yh06o;28934929;áčdšt77mhš3éos7íhěřčěéióřflexělo;;;UZS;;1995-06-30T02:48:50.6+02:00;VEB
28934929-;28934929-;28934929;;;;;8,05;2006-06-29T03:46:16.6+02:00;
28934929-;28934929-;28934929;;;1994-01-29T19:48:10.6+01:00;;;;
28934929-4rql9i8fvn;28934929-2kbj3fllst;28934929;;;;ECV;9,58;1991-01-27T08:08:31.6+01:00;RUB
28934929-w7fu5w38ggj1cb;28934929-;28934929;ťvuep2k849jjťk95auqgfpc0áísnvslšfptqngalc3;5,91;;USS;;;
28934929-haqvk6vw4949;28934929-;28934929;;10,36;2010-03-09T20:37:47.6+01:00;MNT;;1999-03-08T10:59:23.6+01:00;AUD
28934929-qtw1i1i031kt3enckq79m;28934929-6slyru;28934929;;4,70;;BGK;;;XSU
28934929-;28934929-;28934929;;3,56;;;;;
28934929-31t;28934929-bus13ci;28934929;ío1só04a8cšť15wúarsdmeahp19;16,96;;;18,02;;
28934929-;28934929-7jm;28934929;;17,89;;;;1999-09-17T05:39:45.6+02:00;
28934929-gqali8erhythko;28934929-s4yig1vel2p;28934929;f1imď5;;;XCD;;;
28934929-;28934929-;28934929;;;;;;;USD
28934929-;28934929-;28934929;3dýřá17c8c;;;;5,02;;
28934929-hu7umwlao7c3t73iw;28934929-5wud0trl08g;28934929;;12,10;;FRF;18,67;2014-12-08T14:24:44.6+01:00;
28934929-;28934929-;28934929;do0šctpf3b;;;;;2014-07-11T01:23:53.6+02:00;FRF
28934929-o89;28934929-x8i87103c3kq;28934929;;;2011-07-17T06:09:31.6+02:00;ESA;18,08;;
28934929-;28934929-;28934929;;;1993-11-16T20:00:10.6+01:00;;;;
28934929-tebkyt;28934929-;28934929;;;;;12,72;;
28934929-;28934929-;28934929;;;1994-03-01T02:33:30.6+01:00;;;2019-09-10T20:18:33.6+02:00;
28934929-;28934929-;28934929;3d7ó25řm5íůieýlhyd9ápá;;2006-07-21T03:12:15.6+02:00;;;;
28934929-;28934929-;28934929;;;;;;;RUR
28934929-;28934929-yyi;28934929;ďxvj6ťčáě5pk9fóó467úůyýč;;2013-03-29T19:29:28.6+01:00;;3,09;;
28934929-;28934929-;28934929;;;;;;;SEK
28934929-sost1qq2o;28934929-;28934929;káqgďůqeú4wó8j5ťmíkš4ls7ámýé2;12,74;2017-10-04T21:10:50.6+02:00;MAD;;;
28934929-;28934929-;28934929;;;2014-07-30T05:44:42.6+02:00;;8,87;;
