#28934929-V-2019061208-L-01;sdileni_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idsdilenioprava;idsdileni;typsdilenioprava;sdileniopravavyse;sdileniopravacas;menakod
28934929-;28934929-;CX;;;
28934929-;28934929-;BX;;;USD
28934929-;28934929-;;;;
28934929-pn8058rw7wj8e8;28934929-;;;;XBD
28934929-;28934929-;;;2015-12-23T01:14:49.6+01:00;
28934929-jwo0ubkgkmv51ou;28934929-;BX;6,06;2006-09-02T12:44:25.6+02:00;
28934929-;28934929-;CX;;2001-11-26T03:50:45.6+01:00;CYP
28934929-;28934929-lcagtev8ttk;;0,50;;
28934929-;28934929-kl3uny56f8jf3;;;2009-12-15T07:25:53.6+01:00;
28934929-;28934929-;;;;
28934929-y5ac;28934929-;CX;;;
28934929-;28934929-;BX;;;DKK
28934929-ii6cvqh7smfgkik56;28934929-v5iapqpgciu9i51g9aljo;CX;19,88;;
28934929-;28934929-;;;;QAR
28934929-e87g76a;28934929-w17p5b5qfn;;3,24;2001-11-29T07:03:29.6+01:00;
28934929-;28934929-;;0,98;;
28934929-;28934929-;;15,84;;
28934929-;28934929-;;;;
28934929-1gx6jtimq9ci5novvamby;28934929-;;;;
28934929-xetl3ypq930o1m3rx4m;28934929-;;;1993-06-04T08:24:55.6+02:00;
28934929-;28934929-;;;;ADP
28934929-;28934929-;;12,06;;
28934929-uq6bool5yq22wp6j7v;28934929-ys6gfi3ppeabhx;BX;;;
28934929-o2k56e0bf2sc442njlej;28934929-s5wuansu4o769xqq;;;;
28934929-wowttmkrm7dec8sbrb12b;28934929-;CX;6,96;;
28934929-;28934929-;;;;
28934929-6nmuy8;28934929-;BX;16,75;;ANG
28934929-;28934929-p3w3b4ek37ltokncf7u2;CX;;;
28934929-i2tfgn7ta2sy3pjok0;28934929-;BX;;2005-07-11T08:11:56.6+02:00;BGK
28934929-qr2i4gxchac5as21587;28934929-;BX;12,04;;YER
28934929-ljp7m9s;28934929-;;;1990-01-02T12:38:23.6+01:00;
28934929-;28934929-;;;2019-05-03T00:48:59.6+02:00;
28934929-87a;28934929-;CX;18,23;;
28934929-;28934929-k5tcj;;;1998-08-04T17:14:38.6+02:00;
28934929-;28934929-x8s48f504gcae5u472cxkw;CX;4,74;1993-02-15T05:42:04.6+01:00;
28934929-;28934929-;;;;
28934929-796ldgbx;28934929-;CX;;2016-06-07T21:20:04.6+02:00;
28934929-;28934929-kwcoy9453eqp;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;14,70;;
28934929-;28934929-;;6,49;1994-01-31T22:26:20.6+01:00;CYP
28934929-;28934929-;CX;;;
28934929-;28934929-;BX;;;GNF
28934929-;28934929-;;;1999-11-12T06:53:39.6+01:00;
28934929-;28934929-;CX;;;SVC
28934929-;28934929-;;;;
28934929-;28934929-;BX;15,12;2003-12-28T14:22:50.6+01:00;NOK
