#28934929-V-2019061208-L-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-;28934929-;;;;5ymbď27dčf49ěečamylfýtjé5b;
28934929-;28934929-0j4k0bmq263;9,86;2011-01-02T17:41:05.6+01:00;1;;qnfo3ráčg05šq
28934929-llv9iq3al;28934929-3ebjc8oastryadm1a4d;;;;;
28934929-;28934929-hx43q00;;;;;
28934929-;28934929-qg81gvdh2;;2021-09-23T10:02:55.6+02:00;;ijťómm5húgjúě7ú6ú8m4lmďshkéq;
28934929-;28934929-;;2010-09-19T19:36:50.6+02:00;;;
28934929-gayk;28934929-;2,38;;;;
28934929-rh3xl7s;28934929-2k6cf5h0q88i;;;;;íu0d
28934929-;28934929-;;1996-01-04T01:32:10.6+01:00;;;
28934929-;28934929-;;2000-07-25T10:46:07.6+02:00;;6úbjyayřoémjhřw6hůťšírdůhkykoffgčn7érťvk;
28934929-;28934929-;;;;;
28934929-;28934929-kfu9fywmbgh3d;2,51;;;;
28934929-;28934929-;;;;;
28934929-;28934929-;;;0;néterš2íčojýťčščfý7aččx;půáů4ěim1ťkědsé
28934929-;28934929-;;;0;;
28934929-n53hq20wasso1wsn70;28934929-;;2012-10-11T03:02:51.6+02:00;1;;ó412f6tpbóp5ěúwdsvn9bn
28934929-;28934929-;;;;;
28934929-;28934929-;;;;w59anxďeěpí;lxóčkrh8ó56a3rmbt06
28934929-;28934929-i1rfr816537ubkoademehe;;2016-09-05T15:25:24.6+02:00;;;
28934929-;28934929-;;;0;;jněhóďdwbdobpyocv
28934929-vwtvg8s401fn1iwgghkw;28934929-hm1f0tvyel53;;2008-06-01T13:14:13.6+02:00;;;
28934929-;28934929-;;;;;
28934929-;28934929-;;1993-05-11T21:12:45.6+02:00;;;šúqodřwls
28934929-;28934929-y91cipwdxkpb;;;;fhťvy0e7yc;is57y5h7óúbávařšcwocšj
28934929-;28934929-;;;;ět0nqb4gyóq1ůgvrpwwsúr9r4dočef4p3jřg;cus3ik3ó3py
28934929-;28934929-;10,78;;;;vmy8ql
28934929-qn7scymwg6s255n00b;28934929-;7,94;;;;vqikýarčěsy
28934929-;28934929-;;;1;c5624ochyóxpďn4ygqrfhdř2yásexkťťg40jbjnvdšcůk;
28934929-vvo221esh225a7bqotvvnm;28934929-;;;;;
28934929-;28934929-;;;1;;
28934929-;28934929-;;2010-09-11T07:05:45.6+02:00;;lxoš6m4ď;
28934929-;28934929-;;;;g9ábspp1d2ů1i3c0iřníjpbqf6ěďehjóh0éqrólvfws5ún3w7kiw;á59l43hi42aď
28934929-;28934929-;;2017-07-19T16:56:23.6+02:00;;;9řeénute
28934929-lopk1dplnx8a9ain8s3grx;28934929-;0,82;;;ěb7hwčš0sco29á3řírgťbuř89aí;
28934929-;28934929-;;;;;
28934929-;28934929-;;;;;
28934929-;28934929-;;1994-03-19T03:08:09.6+01:00;;;
