#28934929-V-2019061208-R-01;hra_toky.csv;2019-02-12T12:51:35+01:00;1.0
idhratoky;hradruh;hrakategorie;iduzivkonto;sazkavysepuvodni;sazkaprijeticas;doprovodneplnenivysepuvodni;doprovodneplnenicas;sazkahernikombinace;vyhravysenarok;vyhravysepuvodni;vyhravyplacenicas;menakod;idmisto;idhernipozice
28934929-7eo2y;R;;28934929-ikww5q;;;;1990-02-26T14:07:30.6+01:00;šoáióoř7ó;;;;;28934929-sc3cegly7fnvy6je7k4qs;28934929-7726a1
28934929-;R;;28934929-kbeeaupplm69xix4;;;;1999-08-20T03:36:09.6+02:00;;8,24;17,77;2005-06-30T00:59:06.6+02:00;GYD;28934929-;28934929-
28934929-;R;e;28934929-;;;;2005-06-13T06:00:10.6+02:00;;;;;;28934929-;28934929-
28934929-;R;;28934929-;;;;;;;10,14;;;28934929-47x86ftctstx5nwrnow8x;28934929-x7o4esm4fk12j
28934929-sftbuhbe99trodaml1ps;R;;28934929-;15,59;2013-10-10T07:29:37.6+02:00;;;;7,51;;;;28934929-;28934929-wa1j86viiw
28934929-;R;;28934929-i91dkk8hq;;;;;wiut0ebkpsk9kocw1léqď51l6šď5nwš4ci4ťď91uúmíldó1m8o8;17,02;;2008-10-13T17:32:23.6+02:00;;28934929-vt0t8n9s8l2;28934929-bcbfs0mk13sfvhxrjd4kok
28934929-;R;j;28934929-brtgnecnn2pvjh3rk6;2,64;;;;;;;;;28934929-;28934929-
28934929-6ix;R;;28934929-y94itgqidfy58cco09aw0i;;;;;;1,74;;2010-12-24T09:43:49.6+01:00;;28934929-;28934929-
28934929-;R;;28934929-;;;19,09;2011-06-02T18:27:57.6+02:00;;;5,34;2012-03-05T00:58:59.6+01:00;;28934929-;28934929-
28934929-;R;f;28934929-;6,01;2019-05-04T14:22:22.6+02:00;;;;16,70;2,42;1999-04-24T19:43:00.6+02:00;MKD;28934929-;28934929-
28934929-;R;;28934929-;;;;;;;4,25;;;28934929-;28934929-
28934929-;R;;28934929-;;;;;;;;2009-09-02T12:48:02.6+02:00;;28934929-p2vhpv1cebyeyf68;28934929-a405ta8xr8myhwuew
28934929-;R;;28934929-;;;;;;3,63;;;GQE;28934929-sgks93cd;28934929-
28934929-xoribf0t0feqyxw;R;;28934929-;5,86;;;;;;;2012-04-18T10:19:00.6+02:00;;28934929-;28934929-
28934929-;R;;28934929-;;;;1999-02-25T00:17:45.6+01:00;c4ilyca6ť4xlóaoá0óúúkeh1nšš1í88ómpctluct;11,99;2,84;2005-03-30T14:07:52.6+02:00;NPR;28934929-;28934929-i6au9a
28934929-;R;;28934929-hli1gvqvnnc13wkbbnhgd;;;5,96;2021-10-25T12:50:04.6+02:00;;12,05;;;;28934929-;28934929-
