#28934929-V-2019061208-R-01;hra_toky_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idhratokyoprava;idhratoky;typtokyoprava;tokyopravavyse;tokyopravacas;menakod
28934929-yexjh;28934929-;;2,44;;
28934929-17sd;28934929-;;;;GYD
28934929-;28934929-;;;;
28934929-;28934929-;;0,90;;
28934929-;28934929-;;;;UAH
28934929-;28934929-nsr;C;;1992-12-14T09:07:00.6+01:00;
28934929-;28934929-;;;1992-09-05T19:03:01.6+02:00;CNY
28934929-0fnm;28934929-752kadr51q;E;;;VEF
28934929-;28934929-;;9,57;2004-07-22T10:21:30.6+02:00;
28934929-;28934929-;;;2014-05-11T07:25:13.6+02:00;
28934929-;28934929-;D;;1995-09-25T04:05:16.6+01:00;
28934929-;28934929-;;;;
28934929-;28934929-9uq4h3grk18dqsppiibpm;;;2017-03-10T00:49:04.6+01:00;
28934929-;28934929-67f9qd5s5esa7xgigi;F;;;
28934929-;28934929-;J;;;SBD
28934929-;28934929-;;;2007-05-26T17:46:58.6+02:00;
28934929-;28934929-;G;;;
28934929-;28934929-;;;;ESA
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-gsnqf4lkc;28934929-;;;;TMT
28934929-;28934929-;;3,36;2001-01-04T20:45:43.6+01:00;
28934929-;28934929-pmoe4w1girm807le;;;;
28934929-1m1clpfcn3w6a;28934929-;J;9,31;;
28934929-;28934929-40dd8v5wkllasxv;B;;;
28934929-;28934929-dveq5audsxr4u1rk9y67;D;15,03;;
28934929-;28934929-;D;;;GHS
28934929-slev6c5s93qr4;28934929-;;;1995-05-30T09:04:42.6+02:00;
28934929-bj70flm;28934929-;;;;SSP
28934929-;28934929-;;15,23;1999-07-17T09:47:13.6+02:00;
28934929-xwh;28934929-gjuvk;;;;
28934929-r7j5luagh8tj5cl;28934929-;;;;XTS
28934929-;28934929-;;;;
28934929-;28934929-;;;2021-09-01T10:09:40.6+02:00;
28934929-;28934929-;;16,79;;
28934929-;28934929-ldg;;7,76;1994-09-09T08:47:50.6+02:00;
28934929-;28934929-;J;;2000-11-11T12:40:07.6+01:00;
28934929-;28934929-;;10,19;;
28934929-;28934929-;;7,50;2018-02-13T15:03:56.6+01:00;
28934929-;28934929-svbl98ylu3m;;;;
28934929-;28934929-;D;17,05;;
28934929-;28934929-;;;;EUR
28934929-;28934929-;;;;VEF
28934929-;28934929-;B;;;
28934929-t3uh0bijw5;28934929-;G;5,62;;
28934929-;28934929-;;12,94;;
28934929-;28934929-0bgs0um33ouiptk;;;;FRF
28934929-;28934929-;A;;;SDG
28934929-q6pl4flxb458p5tl9mwlac;28934929-;;;;
28934929-;28934929-;;16,22;;XPF
28934929-;28934929-;;15,82;;XCD
28934929-;28934929-;E;;;
28934929-;28934929-;;;;EUR
28934929-vplcpxn;28934929-;;;;
28934929-;28934929-;C;;;
28934929-;28934929-slhx63xxfcbpxp9lelv;C;18,08;;
28934929-;28934929-hor;;;;
28934929-;28934929-1wiqgh;;;2004-09-25T23:25:42.6+02:00;
28934929-;28934929-;A;;;
28934929-;28934929-682767qi59rt2qt;A;;2021-11-08T18:17:42.6+01:00;EUR
28934929-jlm4151bxc0p4ra8w6t;28934929-;;6,28;;XAF
28934929-;28934929-y51kdbwqp;;12,35;1996-11-07T02:12:49.6+01:00;
28934929-r1y06o0fdg0a6;28934929-;;13,80;;BWP
28934929-;28934929-;;;;ATS
28934929-;28934929-;;17,59;;MVQ
28934929-;28934929-;;;;
28934929-jht4d1hu3bnjwm93da;28934929-;F;;;QAR
28934929-;28934929-;;;;
28934929-;28934929-rcobwp7imn;;;;XEU
28934929-;28934929-;;;;
28934929-;28934929-d88n;J;;;
28934929-;28934929-;A;;1990-01-19T12:27:43.6+01:00;TRY
28934929-;28934929-;;13,65;;INR
28934929-;28934929-ws3;;8,69;1993-06-10T11:38:48.6+02:00;
28934929-c3i3k;28934929-;F;;;SUR
28934929-;28934929-;;;;
28934929-3olrktfpv2fndba;28934929-;;10,76;;
28934929-;28934929-;;;;
28934929-;28934929-u3f6ofdrrt9;;;;
28934929-;28934929-;;;2012-03-23T07:33:49.6+01:00;UAH
28934929-;28934929-;;11,72;2020-09-08T11:09:28.6+02:00;
28934929-;28934929-;;6,20;2009-06-27T02:13:26.6+02:00;BWP
28934929-;28934929-;C;;;EUR
28934929-;28934929-l0gdjf71fq1t6o5;G;;1991-06-16T14:08:47.6+02:00;AWG
28934929-hgc;28934929-;;16,39;;DKK
28934929-;28934929-qjs9tsevrqww3qt5;C;;;
28934929-;28934929-5o69wxcytm3v6e79rwlt;;10,46;;
28934929-;28934929-;;4,78;;
28934929-jsb31f263pr1;28934929-;B;;;USD
28934929-;28934929-d0e5joufo0;E;;;
28934929-xu9hj0yhf9uy3k;28934929-thsa20qtp;;18,65;;
28934929-eahkcwychqw816nhk0xh;28934929-aw5t2io;;;;
28934929-;28934929-;;;2016-09-04T12:53:33.6+02:00;AUD
28934929-hieyk87ycorql;28934929-;A;;2003-04-30T03:56:13.6+02:00;
28934929-vtip3r1w3gxp;28934929-5tdn1u47mvlgkrlp;;;;GWP
28934929-;28934929-;D;;;
28934929-;28934929-;;7,22;;
28934929-;28934929-;;;1999-10-29T04:42:13.6+02:00;
28934929-;28934929-ixo2jrgknuix7mxe;;;2015-08-23T13:58:31.6+02:00;ECS
28934929-;28934929-;F;0,35;;ZRN
