#28934929-V-2019061208-R-01;jedna_hra.csv;2019-02-12T12:51:35+01:00;1.0
idjednahra;idhrapopis;hrazahajenicas;hraomezenivkladu;zpusobzvysovanisazek;povinnyvkladvyse;jistinaurceni;narokvyhra;hravysledek;zahranicniucast
28934929-v31r9lut67dp6quie3elx;28934929-6d04bf;;;;;;;;
28934929-;28934929-;2002-06-02T00:15:34.6+02:00;ůýřnť7óčýďygn7ř;hóvisó7oúč0kngrěý5s9híkmnšřb4y3řl;šřyěpió;;;;
28934929-;28934929-7p4ydist1e3br;;;;;;;1rťýéšjéláďutýgřungcxqws;
28934929-;28934929-y6sddphineyqjgom;;;;tótío4vinwčc4mqmxýmý4wáyxnmásrg;ůy5ěůmjšš276ťs8ťq;;;0
28934929-;28934929-;;;;;;;;
28934929-;28934929-;2003-05-11T08:55:29.6+02:00;;;;;dlšúbí718óísánérod8círrýwvjyw6rc5ďacns01p6á;;
28934929-;28934929-801awjsce8mu;;;;;;;n08;
28934929-2yrpa7rgla130l6j0xcow;28934929-;2013-01-23T13:41:48.6+01:00;;;;;ětwý2á6ěbůůvr4s31ýěpxfúšh5nšďfóý2hťě04;;0
28934929-ad0u579b47c0y;28934929-;;;;;;;rěq9řn03gaho44j1ilsnííílóřť2jf4m3;
28934929-ovrmrsn96u8w;28934929-;;f4řať2áef0věfýřnfj65su9hfv;fnšátqi37ř5xsguůhďéjnuaxalrťčťťšmřťga;;;;;1
28934929-;28934929-;;;;8dgúcft01s7rp8wábkló9é2kk1ť9;oésš23úeďsuig9k6869hi24dy70eůe1vohgš;;;
28934929-sipku38nuig4j8d;28934929-;;;;qaqfíř6řorcbb3ďsn;;;tíútďxočó59g85giďjx14gť3xú1uóř7e4b;
28934929-;28934929-4op27ks;;;;;;;;
28934929-;28934929-;;;6ř8qxui58ršdwů3ekůřyéuušbkkc;;úč8fqřpíjťmv0fb2wcmyčqujr;ťyps3řbpiúla7ů7ué7cdšořtúíč5ř8ďíoyúčf94ůt2óqgácglo5;8hyyýkh1vjuúf6gc1m;0
28934929-;28934929-;;éthkďpóheaobqt9k1řílórěůccgnému1p09ú;;í5ť0ohůk11t;;;;
28934929-;28934929-pn7frsl0hhecm;;;;l9t812ů;;;;
28934929-hpv0v1fjb0;28934929-;;;;;;v29wkóú8ě4vcy2c4šb61ad1éim85ygaxlwq1obveebtv1áwr;;
28934929-;28934929-;2002-05-12T21:47:11.6+02:00;gnvkhaqel5a;uwbtrýupvx4í3b9q;;;;ek8;
28934929-;28934929-;2012-08-02T07:57:27.6+02:00;;;;é7a7ťamlj676r9ťě7vůódóówu8kó4llq1n5fjgújvvřáe8uy;0qúú5a;;
28934929-;28934929-;2010-06-24T06:41:32.6+02:00;;;;;óitbčctqwk74c9a7ču8bh0xb8hhtťďlyoýďqéěm91í4f3ďdq5;ůxntyůová9ý;
28934929-bhw628w7islsaq3r64;28934929-;1999-03-19T04:32:53.6+01:00;;;j4nnř8uncecc82r2ki5ďýaí10cy;dms9eoó40í9ljkbh2kwšmuď0ww;féiép;;
28934929-;28934929-35g8l1r3bqyc;;5ščwossčjcs3tšýwg99cirdvu2ls4sůřf24fk84tčuů0čťšey;ccjcuqjwkixě8wééeiš2iujnw4ěůn;mššn76rx39l16ďý3ýuíclwh7lvš5á0rá3ulub1éí;;;sáeth5ú6;
28934929-;28934929-;;kbébóťť4yiwťhuuxáíe1q4dtc5íp;;;mlve9w0wvp;;émcnéájoi41ue3fev31xs;0
28934929-1rajgm4d;28934929-v10f;;;mc8006šcllčósowegpájp;0v3xůťy70treo4t2946ďstk1vúqé8ě6ř5o5tés2éoá;;;;
28934929-;28934929-y9v42jxg94ex;;;si8f6vpn4uaoř7sř7púýdoeaeřř7dvšťni2lš4ph;cu5okrvmďuualt2fůg3ono;;;;
28934929-;28934929-;2012-08-26T05:30:02.6+02:00;;;abi4lčg5ůhadúsóqkrxóvřáě8ój2dfqýdhc0w4gcřaťdoěr7y0;;;08úěěds3wt9eý44f82úkšrďj;
28934929-n2s041floxu5nygm5sw1ck;28934929-;;;;řůýmďít;;;;
28934929-;28934929-;2013-10-11T06:37:36.6+02:00;;1re76kfílhv60yě3ybn9smyoggt4jxvčeqegďaťťgeů3úuťh;;;;;
28934929-;28934929-;;fxššmátčfpú7ásoaýttjs1d70qau32dšykďdh1nš;;;;;i5če88x8haqěoťsd5vby6č7áícwowhaxtíyaíb;1
28934929-;28934929-;;;yťei;;;;;1
28934929-;28934929-;;;;;;;;1
28934929-;28934929-n1jdybxqojgho2ux26o;;;;cřřsčbdie5do9eqí8óú8póó978é85rdq;;;;
28934929-;28934929-;2006-06-19T08:48:54.6+02:00;;5é3q19;;3kdyďě4ř9ígrrúgl0k1ěsí4řoý5u5yiékwdq1ťš;;hů0pálěvw8c7cí1kš68b6úalýíď8ťbóú4ji7;
28934929-;28934929-;2021-02-27T18:32:37.6+01:00;;;;;;;
28934929-;28934929-;2010-12-31T11:23:39.6+01:00;;;;;;;1
28934929-;28934929-;;;;;;;;
28934929-sf77rw7ao4ipew18w;28934929-;2012-03-10T10:57:57.6+01:00;;;;;;;
28934929-;28934929-p4tiexm4htrtc2;1993-03-18T19:37:30.6+01:00;;;;fíxračýáyh09tůš8fúř1čmů5pišfk2;;;0
28934929-;28934929-;1990-01-06T19:31:36.6+01:00;mmymů546ýr7bíď7u00óč14vmhpw6nwďxčůqě0úřu8rgg;;;;;7uáé9xďčtrř0šhť0c4r;
28934929-;28934929-;;ířk82ašučóo5pvqhřřfj1881;;;fiý4ó5ú7eí2í2uý41úqěxkř08ďpvx3ě2rds85;;;
28934929-g2fyleb2istl5nurvngeu;28934929-;2013-03-09T12:41:41.6+01:00;očisóýn0čp71p2q6u945ú7óexršswkfm4b7ýnólj49rqíkn;5xdunjěudf3q6wuocěrél3fvů5ď76jčéxáínwšt7x3ďř;;;;;
28934929-;28934929-xpis5uhfw9hbf4o;;;;;oůóéf8řhóáió5fůt56dpfa3u7r5ygawhá95rnq;;;1
28934929-hbkwgm4q3x32md1tmnpdv2;28934929-6dtxcau60l59j1idkc0;;5ů7lv74p4pděiolcnkn4tne3ttěxpkť4íá2íkčddwj6ťwf2goč;32fd713óě;;svúeva8s8cvr1opcéeeabck5xřť3h9šóiphsó8ý3;;;
28934929-;28934929-;;;;;;;;
28934929-;28934929-ugmf310kq93capx7wm5eh;2000-10-29T21:32:50.6+01:00;5ťnř5éiú2qípot3q9ďv6;wlciišaxčaů0299ťšo7ďiréšajxpóa3movjsšjp1n;;;;;0
28934929-;28934929-fieexook7n9j;2001-11-19T21:53:06.6+01:00;5rěgrkv7mgn;ůsšlc0;;;á2n59;ýcsá6jřř39á1ďtce10ři16ťsé4nuqťdďélíwv1k2údof;
28934929-;28934929-fgm9d9;;;;;;;;
28934929-;28934929-;;;;;;;;0
28934929-b98oponvqwsg5b6cr;28934929-;;;;;bb8uhwtópřďalfgď13lhšlrplcx1sšťtmlsáíó;;;0
28934929-;28934929-;;;ě2vbtag7tšdíúdéootš8něrn2s5;;;;;
28934929-;28934929-0n7cstquyuxaca54gvtk;;;ďř3sfť734jokjrá;ó5o47már4šé7ý;6r76ý48msy0aqvds3rj6k3eiťdm;itbčék01čóčqtuéyhctéťt3yfčwálonc;;
28934929-;28934929-oyh1utiol;1994-09-26T19:14:07.6+01:00;dpůcqš8h;;;;00qek4býuvlémtrrirdfčv3ačmíiíéwř;;0
28934929-;28934929-;;;;c60;;;;1
28934929-;28934929-;;;;;;;nwfůsiýóqev7úhd0á;0
28934929-;28934929-kpc8iv6udybcy238fyot62;;;;;5ě9e2wfwácka;;;0
28934929-;28934929-;;;;bf18p4rfě1fltqw473ďxťdťě2p3e6šďjpú;;;keštčrě6ú8éognťaéú38úá34um8q1hétřn28úkď1úucc3468p;
28934929-u82axhbn0v3fs;28934929-tow23dj1g41x;2010-10-28T03:36:23.6+02:00;;;;lhr9só9čtev32íkwhaxmúqď;;;
28934929-;28934929-;1993-04-04T18:53:25.6+02:00;;uwšpbtqdřďbútklcorm2yýď4ďť9úwxwj05sešgnš2y;;;;;0
28934929-;28934929-;;rwclyn4éřoěgěbmksk;údsum8gd1riěíóšaytťy4fw2cu9rlox5nwbhyšřvée;lxřsd;;;;0
28934929-;28934929-;;;;;;;;
28934929-karmbbso07vma3ilk;28934929-owhenyk0tuaxh2qjjastxj;;;;c9g8šmg9éná12ábac9č94ipósmčagsšdm6q7řgým5eg3;;1ónalá74půg3ú9bónjkpwae3ruó7ú3ýámťtčéčseyá;;
28934929-;28934929-;;;;;;4mf3g4ddpgxřtů8kúýt9pyéékyfřkáčďánlp;;
28934929-;28934929-usqobvfd5f1u;2011-02-19T16:54:42.6+01:00;eětibbť4ěv2ýg8vmťbval5d6m0č2upin3wš3;hágšrn4m;1c4ýé7o6šíbř4ůjthupot7jokbu0l1vwkcfyiní25řscá9ýfeáš;;;;
28934929-g6udcayi3bkt4cdc2uwgq;28934929-;;;;óúéúabeíšhiůřwďpéc096lůšuýú1liúbřt47čmxn264qm;kvrkhkěxú5xlýa7vwhe3ťtpč6ťgixčgé948dý7léďr;;;
28934929-;28934929-;2000-07-16T04:56:38.6+02:00;fýgšůřfxlpqpdťm48mrťůnp67gýěuiifóaečkwsvhu;;éé37ér1xo1f8bpi4g5i3b0nh2řyh;;;;
28934929-0q57ytolor9pf9o1otm5;28934929-;;;;;;hr0řos1f9nviýjvrslášgrxči1wt;orť81éí7djhvré;
28934929-;28934929-o8k4t9nk;;;lfdybíém62mq0úvq8;dhbí5a010dúťir;;;4tl32ml4óě3i2ťtfpw03íiw;0
28934929-;28934929-;;mssglýgúígsvš1abřxéívl;;;0sšty568;8řow36ódtói7ó;9uůčúps0í4v971maó5ůrřv;
28934929-;28934929-3a3;;;;;iř65h2čq4x9fccnpeééknss5íf9ť1hkg1áwatjféó;;;
