#28934929-V-2019061208-R-01;konto.csv;2019-02-12T12:51:35+01:00;1.0
iduzivkonto;idprovozovatel;zrizenicas
28934929-;28934929;
28934929-;28934929;2010-10-18T14:51:28.6+02:00
28934929-;28934929;1996-05-17T03:48:27.6+02:00
28934929-ijk;28934929;
28934929-;28934929;
28934929-;28934929;2019-10-28T18:05:13.6+01:00
28934929-;28934929;2002-01-18T21:18:55.6+01:00
28934929-;28934929;2005-02-25T15:15:46.6+01:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2009-10-04T13:44:20.6+02:00
28934929-e3qc;28934929;2010-03-14T18:19:55.6+01:00
28934929-;28934929;
28934929-;28934929;2014-08-16T20:49:56.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-rjuwcq94wlqntyi8vcc5v6;28934929;
28934929-;28934929;1992-03-23T14:02:25.6+01:00
28934929-f52cb0ffxte2m7;28934929;1995-11-23T12:09:59.6+01:00
28934929-;28934929;2015-06-15T08:05:17.6+02:00
28934929-;28934929;1992-01-27T04:00:37.6+01:00
28934929-ypi;28934929;
28934929-;28934929;2015-09-28T02:15:39.6+02:00
28934929-967mdxo7tac8jtrrgub;28934929;
28934929-;28934929;2006-07-30T16:13:52.6+02:00
28934929-;28934929;
28934929-;28934929;2008-10-30T03:48:54.6+01:00
28934929-;28934929;2019-04-04T04:06:49.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-sj9bs;28934929;2011-07-24T05:18:42.6+02:00
28934929-;28934929;
28934929-;28934929;1994-09-01T11:22:16.6+02:00
28934929-;28934929;1997-12-15T06:05:54.6+01:00
28934929-;28934929;
28934929-;28934929;
28934929-ld76u6chghms53gwgd5g5k;28934929;
28934929-jjykym13ed;28934929;2001-07-20T14:09:41.6+02:00
28934929-;28934929;
28934929-85pw4e68q4f3fi5;28934929;
28934929-;28934929;2005-08-19T06:31:45.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-vnda;28934929;2003-05-28T14:40:43.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;2003-12-21T13:47:45.6+01:00
28934929-w7yavr22bq;28934929;
28934929-;28934929;1998-08-28T12:40:30.6+02:00
28934929-;28934929;2015-08-06T09:20:56.6+02:00
28934929-275fbcgjrnvg;28934929;1993-07-03T05:46:20.6+02:00
28934929-;28934929;
28934929-pkcoc14r;28934929;1991-01-07T10:16:43.6+01:00
28934929-;28934929;
28934929-rxhl95yte1;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-k313x1vkol5sxdrosyq9ku;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-wdsj0patfc;28934929;
28934929-joki;28934929;
28934929-t1adc1gxmscxw8slym1;28934929;
28934929-;28934929;2017-12-21T13:04:18.6+01:00
28934929-djqs8vcabhh4;28934929;
28934929-omii9aww37a06hi;28934929;1995-08-12T01:22:10.6+02:00
28934929-;28934929;1992-09-15T00:49:46.6+02:00
28934929-;28934929;
28934929-y8nvgveolmv4aljq;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;1999-06-21T20:32:25.6+02:00
28934929-6vat7yvu3cmrli1e808e0;28934929;
28934929-sx7g47obg58pdi;28934929;
28934929-;28934929;
28934929-rquiikbxyxj5bhjvkody;28934929;1990-04-18T08:34:21.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-85fq1os779;28934929;
28934929-;28934929;1994-02-09T04:28:01.6+01:00
28934929-4al29vpdemukeh3;28934929;1994-08-14T20:31:06.6+02:00
28934929-4in6ece;28934929;1995-06-27T21:25:29.6+02:00
28934929-c4eilu4xl59f;28934929;
28934929-;28934929;
28934929-yuaqerhikok3;28934929;2004-10-27T04:07:24.6+02:00
28934929-;28934929;
28934929-;28934929;
28934929-;28934929;
28934929-9ew9hioq5e045;28934929;
28934929-;28934929;
