#28934929-V-2019061208-R-01;konto_zmeny.csv;2019-02-12T12:51:35+01:00;1.0
idzaznamuzivkonto;iduzivkonto;hradruh;landbased;internet;docasnetrvale;zmenacas
28934929-1oxkppto2e;28934929-;R;0;1;;
28934929-;28934929-;R;1;;T;1998-04-26T22:42:44.6+02:00
28934929-k9owgo0es73owephamvr;28934929-;R;0;;;
28934929-;28934929-;R;;0;;1993-01-23T14:25:06.6+01:00
28934929-;28934929-gwnvw7imw;R;;;;1997-07-30T11:21:52.6+02:00
28934929-iywmq;28934929-;R;1;1;;
28934929-;28934929-;R;0;0;D;2012-12-08T09:22:37.6+01:00
28934929-;28934929-;R;;1;D;
28934929-5k4h9axnuji;28934929-;R;;0;T;2002-10-09T05:31:47.6+02:00
28934929-4mo8gt425e07iaarx5d2r;28934929-;R;;;;
28934929-;28934929-;R;;;;
28934929-;28934929-;R;;0;;
28934929-f662fge;28934929-;R;;;D;
28934929-;28934929-fpxyiq4bbpfho2e;R;1;;;
28934929-;28934929-ktpqabjhbv6etq;R;;0;;
28934929-;28934929-nx5hmt25l6jeq2mjhfi3tx;R;;;;2002-01-21T15:00:11.6+01:00
28934929-;28934929-;R;;0;D;2018-02-10T17:26:41.6+01:00
28934929-;28934929-;R;;;;
28934929-;28934929-p4mruct;R;0;1;;
28934929-;28934929-;R;0;1;D;
28934929-;28934929-;R;;0;D;2002-01-24T17:09:23.6+01:00
28934929-n54xjsntrg0y7x;28934929-;R;;;;1995-03-20T21:25:13.6+01:00
28934929-;28934929-;R;;;;2018-08-19T08:49:21.6+02:00
28934929-;28934929-jwrvsx68xp7e7dkn;R;1;;D;
28934929-;28934929-;R;;1;T;1992-04-09T20:17:02.6+02:00
28934929-5hk1abgl;28934929-;R;;0;;2009-05-20T13:48:39.6+02:00
28934929-;28934929-;R;;;D;
28934929-;28934929-;R;;;;
28934929-;28934929-1yh4xegx301lkahfrft;R;1;0;;
28934929-;28934929-;R;1;;;
28934929-csp5o8q5xwhu8bp5l;28934929-ogbrx1wmmnilhoepnxvuv;R;;;;
28934929-;28934929-86asfn;R;0;0;;
28934929-chvvg8ujdnu0o1;28934929-yns9hvahlo9qqjob8;R;;1;D;2018-03-25T00:51:41.6+01:00
28934929-92pqjyk74ln2een79o;28934929-;R;;;;2006-11-29T02:26:37.6+01:00
28934929-dys1bnybfar8okth0p7v;28934929-wrcc;R;;;;
28934929-cyivxyf0tac0sgw363an;28934929-;R;;0;D;
28934929-;28934929-;R;0;1;;1998-05-05T05:02:00.6+02:00
28934929-2fpr3;28934929-;R;0;;D;
28934929-;28934929-;R;;;;1996-07-04T23:05:01.6+02:00
28934929-ktqcjxq;28934929-x1q;R;1;0;;
28934929-owp;28934929-;R;;;;2006-10-18T21:50:47.6+02:00
28934929-;28934929-;R;;0;;
28934929-7seg7c20nl9;28934929-;R;;;;
28934929-;28934929-;R;;0;;
28934929-;28934929-;R;1;;;1994-08-29T08:18:39.6+02:00
28934929-;28934929-;R;0;;D;
28934929-ql396i3c30ydcl347;28934929-;R;;;;
28934929-;28934929-hq3m0wmsmmovv7;R;;1;;
28934929-p11lgiqt8iamh77;28934929-;R;;0;T;
28934929-;28934929-;R;0;;;
28934929-vfhvsfauw6jqwl;28934929-;R;;;;2021-04-16T09:24:14.6+02:00
