#28934929-V-2019061208-R-01;kursova_toto_rozpad.csv;2019-02-12T12:51:35+01:00;1.0
idkursovatotorozpad;idhratoky;idprilezitost;kursvyse
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-ht0cs62d8mtbf1r2i3;
28934929-;28934929-;28934929-;7,175
28934929-hws0se4t;28934929-axwty;28934929-;
28934929-;28934929-f95566c33l28udbc;28934929-ktre;
28934929-;28934929-;28934929-imf00txj086ne0ug8rbsv;
28934929-ra977gkb3sctu;28934929-;28934929-;
28934929-;28934929-a8k;28934929-;11,116
28934929-;28934929-;28934929-;3,636
28934929-;28934929-;28934929-;19,036
28934929-;28934929-;28934929-;
28934929-yxhvmddekwg4du07ej6xma;28934929-;28934929-;
28934929-;28934929-pfv7clfx4j0;28934929-saboj4lcsm2b;0,826
28934929-te6m77dspjn2pcppwyj;28934929-;28934929-;14,153
28934929-;28934929-;28934929-;16,413
28934929-;28934929-;28934929-;0,138
28934929-;28934929-;28934929-q48gfrj4rnc5dgufy89w;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;15,882
28934929-obp;28934929-;28934929-;
28934929-h9y9s46cjmgy2e2cvqwr;28934929-;28934929-tus;
28934929-;28934929-;28934929-;19,773
28934929-;28934929-;28934929-wrxo3dw8d292;16,840
28934929-;28934929-;28934929-;
28934929-2h3khfikeu;28934929-;28934929-;15,659
28934929-hgi7hd8uy4p2mkmf;28934929-ckioy8gl7017;28934929-;
28934929-2mrlegu2dwaip6bm7;28934929-5h3dj;28934929-;
28934929-;28934929-;28934929-;9,651
28934929-2w90lg1j;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-06iq1y8wstg08rai;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-x86wo161li43en4vxv;28934929-;
28934929-;28934929-;28934929-;
28934929-157gv4wmbw165ymydf;28934929-xwy7qn7xse;28934929-;
28934929-;28934929-;28934929-;
28934929-drn1fb157ff858x421v;28934929-;28934929-pvwcli6lg2yroe376eirq;
28934929-kpoevjgh;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-wqlwyard;28934929-;13,596
28934929-yyv;28934929-;28934929-;7,470
28934929-rqkro80gacsakmr3akj;28934929-;28934929-;
28934929-;28934929-ylhkn432g0uxx2pkiua;28934929-;16,077
28934929-;28934929-k2dq5s;28934929-;15,365
28934929-6i2a6xu7adb1n;28934929-e47wxpjjk26a165f1pg;28934929-;
28934929-;28934929-28mmc3i1nh7afo4hl;28934929-4edm;
28934929-mn478idekhi46sslhk5909;28934929-0knm04lxk26pg88g73ybve;28934929-87mmkou0nbw11c60u5;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-46y2aodyss;
28934929-;28934929-4qaikkhld;28934929-;
28934929-;28934929-;28934929-lvytig7r18h1yhpl3y;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-c0m2oukbo6w2nv5nrcqw;
28934929-;28934929-;28934929-o7pnbnukpk0k7dy;
28934929-tvdghbxam805fh3kd2;28934929-;28934929-lq81k3kntrt;
28934929-;28934929-;28934929-9o4gfx7sv7sln;
28934929-;28934929-4jh7imyeq0hdy9rtpnlsib;28934929-pbyexepsxq1n97qldy7v;10,898
28934929-axhux8bqi3e5jym1fpkkve;28934929-rp8trnfpk8;28934929-oh854v0ahr3u;
28934929-;28934929-dgwua8a8e264t42;28934929-;
28934929-x1sqw1e4r3urg7elnw;28934929-;28934929-;
28934929-prmkob7k6a195q3u;28934929-;28934929-;
28934929-wv57fsny5dwab5r;28934929-a62qqfvq9x2x;28934929-;17,190
28934929-;28934929-;28934929-;
28934929-;28934929-m68t3ppg6gfrf0my0;28934929-1w9l;
28934929-2f7ol;28934929-;28934929-;17,825
28934929-;28934929-apdvk3goyuonw;28934929-;
28934929-;28934929-dg9lkl7srd4mh;28934929-0vbcgmx9oolteq511y;
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-a9sa8nhjt0;
28934929-;28934929-;28934929-3bsji;10,147
28934929-6c9myx8y2i;28934929-l054vwx7f6g21pd24;28934929-aj1l374;
28934929-;28934929-;28934929-;
28934929-9gv;28934929-6ja1m;28934929-;6,335
28934929-;28934929-7vmvy143;28934929-;15,656
28934929-;28934929-5etasd81m4j5f18671;28934929-we6822khebqtkmsbn9t7k;
28934929-uavu;28934929-;28934929-;2,860
28934929-;28934929-;28934929-;
28934929-;28934929-;28934929-;
28934929-8q8;28934929-;28934929-;
28934929-;28934929-phcg8kkdta0u8sdrxxg6;28934929-;
28934929-;28934929-;28934929-qoaex4g7nx4dsh4kt;0,463
28934929-8r0m2ul6x2r;28934929-xbdp;28934929-;
28934929-;28934929-;28934929-;
28934929-;28934929-7upkfponpe3x23cq;28934929-;
28934929-;28934929-;28934929-;
28934929-xgfku13vjv9ll4h7;28934929-gmmdy280qykrblhfkm;28934929-;6,520
28934929-;28934929-;28934929-;7,708
28934929-8n2kwwrnsj423scl85ce;28934929-;28934929-yn34b3ap4uqwvhxhbga9;
28934929-7882kjhbajh8g80f6k;28934929-;28934929-;
28934929-;28934929-;28934929-fharg043fncp;
28934929-;28934929-;28934929-ql6bmsogi1tsf8g9;18,657
28934929-cibku90eg23cldt3cja8jl;28934929-;28934929-;12,507
28934929-a5h7p6fpveckyx79i6djpl;28934929-;28934929-;17,828
28934929-;28934929-;28934929-;10,928
28934929-;28934929-;28934929-;2,569
28934929-237yvfj6gjkvvqxr43bhl;28934929-gexiexo17cj5oa1r;28934929-4cxcpenn3qdjdbham;
28934929-l9ii;28934929-;28934929-;
28934929-0gwvs7gxqj86ca6mjb4j;28934929-;28934929-;
28934929-s94e6wq9jq6qylh141g;28934929-;28934929-ump6c4bbs5n43wy8mdlma;8,692
