#28934929-V-2019061208-R-01;misto.csv;2019-02-12T12:51:35+01:00;1.0
idmisto;idprovozovatel;gpsx;gpsy;typmisto;ulice;cp;co;castobce;psc;obec;obvod;kraj;sidlokodruian
28934929-;28934929;;10,8717480;;;4757;;;;;8906;;
28934929-eq67nwwr4i8y6hi9sgbt;28934929;;16,4137669;PS;;;;byorůxuiěšaugwd4ydgřřďú5;;sqdť07véágťuexl4ěčoxók9j3vůg6;;ZLK;
28934929-;28934929;10,5932083;18,3907146;PS;;;égěyk0tfo5řyšwřbťůyřťax;;;;;;3888
28934929-;28934929;;8,5475483;P;;241;;jýéh8éjqb57bwi96ixřik4š6x5t2yošos;;;;;
28934929-;28934929;;;;;;;;;;9068;;
28934929-qbf5vnyivfkeb4ocl19k;28934929;;;;šť9ó8gm6lgě33íč4oíů3oéqýyóčr2íý5mp5šč22cyěueřwak;;úkš62áčw;;;úkřvj454;;;
28934929-;28934929;;0,3679280;;;6252;;;6122;;;;
28934929-;28934929;;12,4252501;;g4krt5íyutěciď5vltktůb8bkgě8úd5p8šó3éuóvšbeydgřq9ďř;;švř6ově8r5dřv2pšxť84qfu1pnhe;;6708;qďá0řj3ťujťefgqtě02dcqslwišec6ď88vk9ó8laďvu;4313;HKK;
28934929-027grg3sdy150u;28934929;;;S;;;;;;;;;
28934929-4770e2utl09ylc;28934929;;;P;;;;ač0ý6řťq1úáa;;déá41gcb3q5ixixďýeůšnýixá0ioťěéýx6gqj;;;
28934929-;28934929;11,8002472;;;eůýt6dk8up62kó4amm0ů709b;2863;;;;vhx;;;
28934929-;28934929;15,8585443;19,9428425;;;6207;;;;;;;
28934929-;28934929;12,8352728;;;ona6dď3qd0k4ď;;;;;;;;
28934929-;28934929;;12,5057459;;;;;ě3ýu1úšvkvxčhwxíjiin5ť6jvkíť3ů9s22ř8g5cótejtdhýui;;1uii5řců8g8vd5cpť9ůmake7ěďkděuí45r0r7n08qwréřérlýé;6258;;
28934929-;28934929;;7,3664293;;;;;4pěěfvšsbugnmv3úúm9fqcmfí4éu3úxmšďv1yí42ďkěú49i3;;;;;
