#28934929-V-2019061208-R-01;ostatni_plneni.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplneni;idprovozovatel;iduzivkonto;hradruh;ostatniplnenivysepuvodni;ostatniplnenicas;menakod;idmisto
28934929-;28934929;28934929-;R;;;;28934929-
28934929-;28934929;28934929-kdkyc4s5jiewjm;R;;;;28934929-
28934929-;28934929;28934929-n1qdybd7mmi4;R;;;;28934929-
28934929-;28934929;28934929-;R;;;;28934929-yqm2yd2xbmkbs8
28934929-;28934929;28934929-i3py7s8pv;R;;;;28934929-
28934929-;28934929;28934929-;R;18,78;;CSK;28934929-
28934929-;28934929;28934929-;R;;;;28934929-v5uqny
28934929-;28934929;28934929-;R;;;XOF;28934929-5y7x5m8e3q02pw8idwy
28934929-;28934929;28934929-5x2fsc5o;R;;;VEF;28934929-
28934929-;28934929;28934929-qanveekmfwhd7gkufcexo;R;;;SAR;28934929-5o66irn1dy7t4aevarp
28934929-;28934929;28934929-;R;14,10;;;28934929-
28934929-;28934929;28934929-;R;;;;28934929-
28934929-;28934929;28934929-6wf68dy5dknretm;R;;;;28934929-
28934929-a2uhmxwktn;28934929;28934929-djan;R;;;;28934929-
28934929-0tnmxpia;28934929;28934929-;R;;;AUD;28934929-
28934929-;28934929;28934929-;R;;;;28934929-bc7gg8aherwqw6
28934929-;28934929;28934929-f39lknur;R;;;;28934929-ejqfrtf2it9m
28934929-;28934929;28934929-;R;;;;28934929-
28934929-t3x038ity8qne2x;28934929;28934929-7rotm;R;;;;28934929-
28934929-;28934929;28934929-;R;7,93;2017-12-24T09:46:26.6+01:00;KRW;28934929-
28934929-;28934929;28934929-;R;;;CHF;28934929-
28934929-;28934929;28934929-;R;;;;28934929-
28934929-m0xp4iv3yb5jrdo4s;28934929;28934929-;R;15,01;;;28934929-
28934929-;28934929;28934929-;R;;;BAD;28934929-012p
28934929-;28934929;28934929-;R;;2020-07-18T07:47:04.6+02:00;;28934929-
28934929-;28934929;28934929-;R;14,96;;RON;28934929-2lwk92b
28934929-;28934929;28934929-;R;;;;28934929-
28934929-;28934929;28934929-x6n;R;10,58;;;28934929-syphvf5u9
28934929-;28934929;28934929-7y5s7ojjgmi;R;;;;28934929-h0tdbuybw0qllg0ti
28934929-gyxc;28934929;28934929-;R;;;;28934929-qy32
28934929-;28934929;28934929-;R;;;;28934929-293qjseb
28934929-;28934929;28934929-03aeno4vspaoeu6e7lw5;R;16,23;;TMM;28934929-28wnoco57wfo22v5en1yqy
28934929-;28934929;28934929-;R;13,29;;;28934929-c4fq8bjcesa4w
