#28934929-V-2019061208-R-01;ostatni_plneni_oprava.csv;2019-02-12T12:51:35+01:00;1.0
idostatniplnenioprava;idostatniplneni;typostatniplnenioprava;ostatniplneniopravavyse;ostatniplneniopravacas;menakod
28934929-;28934929-agpu69;;16,72;2005-08-08T16:15:10.6+02:00;
28934929-;28934929-;H;3,79;;PYG
28934929-;28934929-rad977;I;10,60;1996-01-23T01:26:39.6+01:00;
28934929-;28934929-586gmvrsosb;;;2004-09-03T16:09:21.6+02:00;
28934929-x04svlerwk686wb3c2x;28934929-;;;2002-03-05T23:08:20.6+01:00;ZWC
28934929-;28934929-;;;;
28934929-te8te81b997;28934929-;;;;TMT
28934929-;28934929-dyh1yq9exyaww68ma;;12,45;;LVL
28934929-;28934929-;I;;;
28934929-l63uymib;28934929-8du50nysbw8cunnybm;;15,89;;FRF
28934929-;28934929-;;;;AOK
28934929-;28934929-;;15,01;;
28934929-;28934929-;H;0,87;2019-11-27T12:10:51.6+01:00;
28934929-3pwj;28934929-j0jp7jdrdkwwbq;;;;ROL
28934929-;28934929-;;17,72;;
28934929-;28934929-;I;0,40;;
28934929-;28934929-;H;;;
28934929-10ho;28934929-;;;;
28934929-1agdy000bs6pq5ssjnj;28934929-;I;1,83;;
28934929-;28934929-;;18,55;;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;;19,03;;
28934929-gxucyavuh2waby;28934929-3905j;;;2002-01-21T20:49:39.6+01:00;SDD
28934929-;28934929-;I;;1998-04-12T01:43:36.6+02:00;AUD
28934929-;28934929-;;;2016-04-25T18:25:09.6+02:00;
28934929-7dksjb9v504bc3rq6kgp0i;28934929-ocqf00uuj6v1br9;H;;2017-12-10T22:15:23.6+01:00;
28934929-;28934929-;;;;
28934929-;28934929-;;;2009-10-12T08:36:47.6+02:00;
28934929-wqi6op96u9yba0g1;28934929-;;;2008-01-19T01:22:59.6+01:00;
28934929-;28934929-;;;;
28934929-;28934929-;;;;
28934929-;28934929-;I;;;
28934929-28e3jybpq8watl0r1;28934929-;I;;;
28934929-qtxs4wj;28934929-f4j4;H;;1991-05-31T04:08:48.6+02:00;
28934929-;28934929-;I;7,83;;
28934929-;28934929-;;;2007-05-02T17:12:14.6+02:00;BRE
28934929-yvc0vra174r;28934929-;I;12,22;;ZAR
28934929-eyvbk9;28934929-;;;2011-06-17T20:58:43.6+02:00;
28934929-;28934929-;;;;
28934929-lua;28934929-;H;;;
28934929-;28934929-ydkdi44q8cnvnn6t;;;;
28934929-;28934929-cdpd;I;15,81;;ETB
28934929-;28934929-;;9,05;;ZAR
28934929-;28934929-hylve5r7merlkw;;;2009-08-18T19:57:25.6+02:00;
28934929-wucy;28934929-;I;9,73;;
28934929-;28934929-;;;;
28934929-;28934929-8nysyqw7hmas;H;;;
28934929-;28934929-;;1,14;2016-03-15T00:21:24.6+01:00;
28934929-;28934929-h5dui5tcau;I;;;CHF
28934929-;28934929-ibiqdk7mk;;;2008-11-28T14:15:58.6+01:00;
28934929-oa0lq7q6;28934929-;;;;IRR
28934929-;28934929-03iu7i7vfsfn;I;;;RUR
28934929-;28934929-;;1,00;;
28934929-;28934929-;H;12,15;;
28934929-;28934929-;;;2002-07-17T07:37:04.6+02:00;
28934929-;28934929-w47816hkof;;19,27;;
28934929-;28934929-;;19,38;;BRB
28934929-;28934929-qwdcaaoopi70ohbdj;I;;;
28934929-;28934929-jg41sugbfq1h;;;;
28934929-;28934929-;;1,49;;LRD
28934929-;28934929-cjh9;I;7,28;;
28934929-;28934929-;;;;SKK
28934929-;28934929-;;;;
28934929-;28934929-;H;;1995-10-08T04:30:57.6+01:00;
28934929-;28934929-;I;11,59;;NLG
28934929-;28934929-6md7075t1bktlmrg8;;;;
28934929-;28934929-;;17,43;;
28934929-l6hbm4ha9ws;28934929-;H;;;EUR
28934929-;28934929-;;;2006-12-15T10:11:14.6+01:00;SEK
28934929-;28934929-;;5,56;;
28934929-;28934929-;;5,17;;
28934929-;28934929-;H;;1994-09-23T11:01:37.6+02:00;
28934929-;28934929-;;;2014-06-09T06:20:02.6+02:00;
28934929-;28934929-8m76loced37vck031cjj1k;;;2019-08-09T11:15:52.6+02:00;
28934929-;28934929-2j6;;10,52;;BRN
28934929-;28934929-e8nywol3lvoj012qq07m;;18,84;;
28934929-;28934929-e7guey0hi4;;;2021-06-19T12:26:33.6+02:00;
28934929-;28934929-gh63;H;3,63;;USD
28934929-strvmuv4;28934929-;;4,12;;
28934929-fu4ecttps6bujhwgjv3y;28934929-ysxqqyethcmmvb0qyp8yn;H;;;
28934929-;28934929-pb6q57eweabvuff;I;;2019-02-07T05:18:50.6+01:00;SDG
28934929-fceynnh876bmf;28934929-;;;;
28934929-;28934929-;;11,80;;
28934929-;28934929-;;5,81;;
28934929-;28934929-pllruox36tps;;5,73;;MDL
28934929-;28934929-;;;;BOB
28934929-;28934929-qbatl9lar5ubv3;;;;NIO
28934929-;28934929-;;;;
28934929-;28934929-;;;2014-03-05T00:49:01.6+01:00;XBB
28934929-;28934929-;;;;
28934929-;28934929-;H;;;
28934929-kckb8higs4y6o9wndx9;28934929-;;;;
28934929-;28934929-;;;;ANG
28934929-;28934929-;H;;2004-02-07T01:32:33.6+01:00;
28934929-wd0iv20q148eq07;28934929-;H;;;TWD
28934929-;28934929-gp4m9u46s1hp0r;;;;
28934929-;28934929-;;;;
28934929-;28934929-;I;3,51;2006-01-18T15:14:40.6+01:00;
28934929-;28934929-;;;;
