#28934929-V-2019061208-R-01;sebeomezeni.csv;2019-02-12T12:51:35+01:00;1.0
idnastaveniso;iduzivkonto;typso;hodnotavyse;hodnotapocet;hodnotacas;sonastavenicas;soucinnosticas;soodmitnuti;menakod
28934929-;28934929;b;;;;;;;
28934929-61p2dwk75fow2blixcmsb;28934929;;1,26;;-83943555;2020-09-01T07:49:26.6+02:00;;;MNT
28934929-;28934929;f;0,90;;;;;;RON
28934929-;28934929;c;18,73;;;;;;
28934929-;28934929;;5,68;;-65063021;;;1;
28934929-y9hp;28934929;;;;;2009-05-05T12:05:17.6+02:00;;;
28934929-;28934929;;14,65;-5813559;;2009-11-30T13:44:57.6+01:00;;;EEK
28934929-;28934929;ap;9,41;;-75592093;2004-04-22T01:31:16.6+02:00;;0;
28934929-;28934929;;;;;2017-12-12T06:18:47.6+01:00;;;XEU
28934929-;28934929;;;-10846696;;;;;
28934929-2o4a;28934929;b;6,92;;;;;;
28934929-;28934929;;9,97;;;2006-06-23T04:11:18.6+02:00;1993-03-17T12:45:35.6+01:00;;XAF
28934929-;28934929;;;;;;;;
28934929-;28934929;;;;;;;;
28934929-;28934929;;;;;2006-01-20T07:50:00.6+01:00;2018-02-26T16:53:56.6+01:00;;
28934929-gu0o23s0jijprwp;28934929;;;-54258734;-13078435;2020-09-24T23:04:40.6+02:00;;;
28934929-;28934929;ap;;-91588904;-53872223;2016-03-30T10:40:02.6+02:00;;;
28934929-nnhhf5j4hc6;28934929;;0,90;;;;2008-09-13T08:57:48.6+02:00;;
28934929-;28934929;;;;;2004-07-06T17:19:35.6+02:00;;;ARS
28934929-butw1n992s8wjqhcb6;28934929;;5,96;-66821938;;;;0;GEL
28934929-;28934929;;;-11888462;-79051905;2012-02-05T22:23:50.6+01:00;2014-04-11T05:35:10.6+02:00;1;FRF
28934929-tvx;28934929;c;;-17753413;;1995-03-13T12:08:35.6+01:00;1992-02-11T04:20:23.6+01:00;;KES
28934929-mb3xsmq1fgfx4bi2;28934929;;16,14;;;;;;
28934929-;28934929;g;;;;1991-03-17T16:53:09.6+01:00;;;
28934929-wllp4uu3aqe3wf5p2;28934929;;14,32;;;2015-05-29T07:19:53.6+02:00;;0;
28934929-;28934929;e;;;;;;;XBC
28934929-;28934929;;;;;2010-02-24T00:08:02.6+01:00;;;
28934929-3y1;28934929;g;;;-8747824;;2015-04-30T02:35:10.6+02:00;0;HUF
28934929-;28934929;;16,07;;-97664025;;2020-09-18T10:02:28.6+02:00;;MKD
28934929-;28934929;;;;;;;;
28934929-;28934929;;;-71872579;;;;;AUD
28934929-;28934929;c;;;;;;0;ESP
28934929-;28934929;;15,62;;;;;;EUR
28934929-;28934929;d;;-44964830;-34037089;;;;ZAR
28934929-hexykdr3sq1h20po;28934929;ap;;-38085226;;2020-06-04T17:04:19.6+02:00;;1;
28934929-;28934929;;15,86;;-25722529;;1999-08-31T16:07:07.6+02:00;;
28934929-niahrnw6b3l84wma;28934929;d;;;;2005-05-05T19:19:42.6+02:00;;;
28934929-;28934929;;;;;;;;ESP
28934929-3ylrsxn;28934929;;10,11;-93684486;-36372500;;;;LRD
28934929-;28934929;;;;-36800456;;;1;
28934929-;28934929;e;;-1476488;-94722734;2003-07-21T21:03:20.6+02:00;1999-11-17T19:08:30.6+01:00;;GBP
28934929-;28934929;;;;;;1993-12-10T15:37:41.6+01:00;;SGD
28934929-;28934929;;10,67;-17915901;;;;0;
28934929-;28934929;;9,44;-66671910;;;;;
28934929-wdr40lmjfo;28934929;ap;;;;;2014-11-04T06:44:26.6+01:00;;LUC
28934929-;28934929;;;;;2020-03-03T22:55:39.6+01:00;;;
28934929-;28934929;;13,28;;;1997-09-11T22:41:52.6+02:00;2013-04-17T16:23:12.6+02:00;;
28934929-;28934929;g;;;-90827792;1990-05-16T02:31:21.6+02:00;;;
28934929-;28934929;;;;;;2003-06-08T04:39:04.6+02:00;0;GEK
28934929-eor5a0byim4i6osh3g;28934929;;;-53877469;-45761217;;2018-09-26T21:12:01.6+02:00;;VNC
28934929-;28934929;a;;;-99735440;;;;
28934929-;28934929;ap;;;-21185200;2014-04-16T15:15:54.6+02:00;;1;AZM
28934929-puu59qjyv1vbn5el0;28934929;;0,99;-24818886;;;;;
28934929-;28934929;c;;-78898075;;;;;ARP
28934929-;28934929;;;;;;;;
28934929-tjolki4pdgd8g1k3;28934929;e;14,98;-72569458;-37876373;;1999-05-23T17:29:46.6+02:00;;GHS
28934929-;28934929;;13,91;;-44182666;;;;
28934929-a8ppqrlfq12;28934929;;;-54169972;;;2016-10-29T08:15:34.6+02:00;1;
28934929-;28934929;f;9,59;-1033509;;;;;
28934929-;28934929;;7,69;-89082139;;;;;XOF
28934929-1hxjd65os;28934929;e;;;;;2010-05-09T06:14:27.6+02:00;0;XAU
28934929-;28934929;;;-97124917;;;;;
28934929-;28934929;;;-85266542;;2002-02-16T04:19:06.6+01:00;;;
28934929-;28934929;d;;;-25418354;2013-08-20T08:15:23.6+02:00;;;
28934929-b8k5kufptosh7xf;28934929;;;;;2009-03-14T05:51:03.6+01:00;;;
28934929-05xg;28934929;;;;;;;1;XAF
28934929-;28934929;;;;;;;0;
28934929-;28934929;;;-92603122;;;;;
28934929-;28934929;;;;;;;;
28934929-;28934929;;;;;;;;ZAR
28934929-;28934929;;8,28;;;;2009-12-19T10:13:08.6+01:00;0;
28934929-0sq;28934929;;4,45;;-68116306;;;0;
28934929-pq40bf;28934929;;;;-8848228;;2017-06-21T07:19:35.6+02:00;;
28934929-;28934929;;;-59942437;;;2009-02-12T03:42:33.6+01:00;0;BDT
28934929-erdiu3m;28934929;;4,10;;;;2006-04-01T18:38:03.6+02:00;;
28934929-rvub;28934929;f;;-24079188;-19522346;2008-11-22T16:21:29.6+01:00;1992-02-09T09:28:46.6+01:00;;
28934929-;28934929;g;1,34;;;;;;
28934929-;28934929;;;;;;;;
28934929-m7dyucsg;28934929;;;-93542013;;2002-01-03T07:39:12.6+01:00;;0;
28934929-;28934929;;;-23021218;;;2005-11-14T16:15:20.6+01:00;;PEN
28934929-;28934929;;;-45224076;;;;0;
28934929-;28934929;e;;-43747428;;2017-04-16T22:00:12.6+02:00;;0;
28934929-5jio862ycy7tpkfs;28934929;;0,84;;;;1999-11-11T12:54:01.6+01:00;0;UAK
28934929-;28934929;;;;;;;;HRD
28934929-;28934929;f;8,45;-56997387;;;;0;
28934929-;28934929;a;2,57;;;;;0;
28934929-;28934929;ap;;;-49840226;;2014-09-02T16:47:29.6+02:00;;
28934929-fxlw28gye065g2cgppd8m;28934929;;;;;;;;DZD
28934929-qhuf8;28934929;ap;;-83584204;;;;;
28934929-;28934929;;;;-72386932;;;;
28934929-;28934929;;;-33666274;;;;;
28934929-;28934929;a;;;;;;;
28934929-;28934929;d;;;;;1997-05-24T11:27:45.6+02:00;1;
28934929-;28934929;;;-71465206;;;;;
28934929-;28934929;;;-18877767;-9746652;;2004-02-03T20:36:37.6+01:00;;
28934929-;28934929;;;-77484133;-18804772;2010-03-14T19:16:16.6+01:00;;;
28934929-ws5vi;28934929;;;;;2006-10-05T14:48:54.6+02:00;;;
28934929-;28934929;;;-90209103;;2004-07-25T10:19:50.6+02:00;;;
28934929-;28934929;d;;;;1999-11-16T11:29:17.6+01:00;;;VND
28934929-;28934929;;8,88;-58610480;-13723070;;;;
