#28934929-V-2019061208-R-01;ucet.csv;2019-02-12T12:51:35+01:00;1.0
idtransakce;iduzivkonto;transakcevyse;transakcecas;transakcezpusob;transakcezpusobupresneni;menakod
28934929-;28934929-589mng;;;;;w5yům0
28934929-k53w4q20m2ujnc5fht;28934929-ynev8lw1gwpa;15,31;;;;
28934929-;28934929-;;2015-05-18T02:21:27.6+02:00;;;
28934929-;28934929-;;;;;
28934929-;28934929-;5,03;;;;
28934929-;28934929-;;1993-01-11T00:51:41.6+01:00;;;
28934929-;28934929-;;;;ej4sisf5n4p;40mvddů9ůufřúýúoqď
28934929-;28934929-;;;0;;éóh0rwě2áfcťasiřgš
28934929-hc7bx0bgyeips0118dj5u;28934929-oosac70wj;;2009-08-13T05:54:37.6+02:00;0;;
28934929-;28934929-8v7dkx98uh45w9qow3iert;;;1;;tchávréc0čéř7ujphó
28934929-b9djo4elt7lnptdr;28934929-;;;1;;
28934929-;28934929-;;2020-02-11T01:55:02.6+01:00;;hytxělfúeyo2qůpnx5ďydúf;
28934929-p5cg1ooah7a41r21vl897;28934929-;11,63;;;;
28934929-;28934929-;;;;;
28934929-;28934929-;;;;;
28934929-85r4ytnf0byjtnb;28934929-ge9f9v51v;;2001-11-05T16:39:30.6+01:00;1;qí2ř1jmx8xěďy6b79x95údoěvbď1x2řód8ť81ntšuypbf2ůf;
28934929-;28934929-;19,83;;;;q7xufqč99
28934929-;28934929-x61l;2,19;2000-12-17T02:45:12.6+01:00;;;
28934929-;28934929-;;;;6ollfťragcxl58ufnáv74jqě1č89ssěťiul6bďvéjx9;
28934929-;28934929-;;;1;;
28934929-;28934929-lbyh673i4g3i1rfqg0vn;6,73;;;;iěí8pměéťý69jaůěv6cšj
28934929-;28934929-ijudedk3lgy0c;;;1;;5056ďtékdhxšffaiyěd
28934929-x1pam;28934929-7tl58wgk3nw1;;;;;
28934929-;28934929-;;;;;
28934929-;28934929-;;;;;
28934929-;28934929-e8uejnpi3emloe;;2005-03-04T17:22:11.6+01:00;0;;tsřť
28934929-7xu6hf;28934929-;;2011-05-13T10:58:01.6+02:00;;šorjxeecáyoryf57óáůqú5íd0yjvóřďávag4ú0a8;
28934929-eugpobu5fdd;28934929-k1m8lepkeurip0ysngp;;;;;9č7cýýq2
28934929-;28934929-;;;0;;
28934929-stmo;28934929-;;2007-05-20T13:13:03.6+02:00;0;;
28934929-;28934929-;;;;vk1de24důó8bc5eóoc;
28934929-;28934929-;6,13;2014-01-17T18:31:13.6+01:00;;;
28934929-;28934929-;16,35;;0;;
28934929-;28934929-;;;;řksóiůkíf5gč6y9mď2és7cujaokó4kauř8d0bbšav;
28934929-;28934929-;;;;w2qmíe2qk3ooeee04ám1škťy9;ijá3ý8
28934929-;28934929-;;;;;éxgýř
28934929-bw1u9sk9cfbotpud4sw;28934929-9b2bo7374n;;2021-11-13T22:53:49.6+01:00;;;iióý1hiéfřčýák6ůí9sič
28934929-;28934929-;;2001-09-05T07:52:54.6+02:00;0;ýřlvwngřáádnqcjť8xxnič2mx3iiqcgs2sdř26cw820óg7xíkýkr;
28934929-;28934929-;3,70;;1;b64čoúba8ůk2kltó6;
28934929-5qwcv72;28934929-;;2011-07-15T19:05:21.6+02:00;1;x7ótúívyutjď7mkvwmbw;
28934929-n2778w;28934929-unsrj8;;;1;;7t9tiyyťbrrm8q
28934929-;28934929-aaqrbknkpfd;;;0;9h5ócodéoť098fxójnfěxélď3ě1né9lřxčú;
28934929-;28934929-odn;;2004-04-16T08:39:31.6+02:00;;áýv5íkf4qxíldp4ó0óiéčwkečíqsx;
28934929-;28934929-nug9eo2eclad;6,29;1996-04-10T02:46:27.6+02:00;;;
28934929-;28934929-;;;;;nčěkšš70w1w
28934929-;28934929-;;;1;;
28934929-;28934929-;1,59;;;;
28934929-;28934929-;17,96;2021-08-11T20:27:54.6+02:00;0;;
28934929-e8yrdi21udl262hc4y35tc;28934929-p9l5p852iaq2ml4qh0h;;;;;1bhcťvv8
28934929-njs62wl082wiyq2;28934929-;9,60;;;;
28934929-;28934929-85m2hskf55gm;;2010-06-05T18:57:14.6+02:00;;hťčs6pšvdjúihmávnéxfvgp6řčú;
28934929-;28934929-;0,06;1991-06-13T01:13:02.6+02:00;;9gwého1í;úclšt29uďřjtxťáv141
28934929-1dfie736a;28934929-;;2015-05-03T12:20:57.6+02:00;;úmgškhšvóý;kvpcénslsš
28934929-;28934929-;;1994-12-22T10:26:35.6+01:00;;;ůsá8u1gqvjxfb
28934929-;28934929-m64mws0cclvgdytw94m76;12,10;;;;9vwq
28934929-;28934929-;9,26;;;íi1ír82íj3iuybfb6xr;
28934929-qoavw1rxc6;28934929-;;;;dší9or6é6ěwikřh9vlnjenpšu0rtť53gxájq1ďoféěóůsás5vc;
28934929-4i5yeib63bhqadbr5y;28934929-p6wctxeevrpyo;;1991-03-07T16:26:53.6+01:00;0;;
28934929-;28934929-;;;0;wčxyxpéáá5eáhqču;ťriyjjyťati33t
28934929-;28934929-;;;;écu0btdí7šwújsěl2n9v3f5ae6qýí3wg4ď1mťaťgť9iřuť;šc67gědóřý0
28934929-;28934929-;;2008-01-31T07:26:30.6+01:00;;;
28934929-t7sbp5cmpdcu;28934929-g9cro;;;;;0q1id4éhv
28934929-;28934929-;;;0;ú8c47óhs1iwřm2ěuoú4l6b1r;
28934929-6ut9mmwcmx6q1bt;28934929-99sw31phyj8ti;14,10;;;;wgssm2
