#28934929-V-2019061208-R-01;udalost.csv;2019-02-12T12:51:35+01:00;1.0
idudalost;udalostnazev;hradruh;zahajenicas;udalostvysledek;idhlavniudalost;idprovozovatel
28934929-;la7u;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-;fvyegúqéxé;R;;0ixšýuóřlě1há17kj4lč6mfd;28934929;28934929
28934929-;;R;;7x91ř55mí5jíé6rhýksó;28934929;28934929
28934929-;púšťčďrůl3obqomfď826d;R;;;28934929;28934929
28934929-;aě7éojýqájofěůébm5u8jýbmě1áoybó;R;;;28934929;28934929
28934929-0ddpq19wr;;R;;;28934929;28934929
28934929-iub2nvccewfuc6mtn85cwq;;R;;ťčéil6úrudřm1o2j4áqáě;28934929;28934929
28934929-y0idhv7u1kirkqjy;b8paůtětyjv3bdrůjmtú9nčéč7ďr;R;2017-07-14T18:37:31.6+02:00;;28934929;28934929
28934929-;28mý5ďwú92eť61č5hvycpd43í2sp;R;2018-04-03T22:26:24.6+02:00;;28934929;28934929
28934929-;;R;2013-08-29T22:34:49.6+02:00;;28934929;28934929
28934929-;aaqvl2onv36k3sjxi2n5nnýpť3oěďlýí1w;R;;;28934929;28934929
28934929-3kajwrvmwp4q0s;xxhg6úspčv63íjióí4k4ýdbf361ss8anb4kéo;R;;;28934929;28934929
28934929-;l10ůácghm3xdmůc72uj7vlv1b3ndýntjdů;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-;;R;2010-10-05T03:30:30.6+02:00;;28934929;28934929
28934929-;vior6ř8ěáwúah8vád8xďcibďmpqrarsúnj;R;;;28934929;28934929
28934929-;su6íjě1hťtoékššhuťcšfdďócxdvpóérjípvtč2ůštý348;R;2011-05-23T06:33:39.6+02:00;;28934929;28934929
28934929-;;R;;řo1ýcůxsnš2usm2e6r2éóx3šímwůú6čx;28934929;28934929
28934929-;hpg6jďii24ndaůí7cgw3yo;R;2015-06-03T21:35:53.6+02:00;uóepťťbfrů8wá04ýoo1óř6óf1q8ygšcěonc9lýaéyřirbi;28934929;28934929
28934929-;;R;;ešpnyť6k5efúkichc2včť2gtďwnosldct6evo1scogeladmxnt;28934929;28934929
28934929-pc3khhyh2a;yblxldpéndýť8ťikmď7v;R;1998-04-22T19:33:08.6+02:00;;28934929;28934929
28934929-bm81p32c9lphu;;R;;;28934929;28934929
28934929-;;R;;9efqrxv2íáúd;28934929;28934929
28934929-y94mvrc1a5y97flm0oyk0;;R;;bnďji0šé7igřďyř7rýdo364šojš58byčwhbmčš12;28934929;28934929
28934929-;jůlbx69dřhf4gjhm3křčť3ějcoqr8wóťvé8féls5lčýr1py;R;1997-03-15T12:59:25.6+01:00;dlptiůóůw7r0xw6sán7t4šhiťcsmď04vďřuůj5óf2jí91x;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-;;R;;č4wěxo5eska7lp9ýýidwb;28934929;28934929
28934929-;čgóš55jewfaůgqsřb4oůj;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-;;R;1994-03-18T19:25:15.6+01:00;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-m5q94k5p9ho9qltdexf;;R;;;28934929;28934929
28934929-;3xšů9éřřšvbbqťngš;R;;;28934929;28934929
28934929-irskf5fwc2ytvxwtony92e;;R;;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-36mb7wmxb8m4b2g;;R;;fjtyerhxh518b41yp2l8ceu8hřúdc2vjtvúlan;28934929;28934929
28934929-;;R;2011-08-04T23:10:13.6+02:00;;28934929;28934929
28934929-;ďůbvorěv8íšk70gy6ó9sxx8xd4moď;R;;;28934929;28934929
28934929-msfa3kkvdl30mtw1n;ď8řl5u5;R;;;28934929;28934929
28934929-6qmghtmn7sorh26rxcees6;ěů3fůi4gšlnu;R;;jrlgšockš1iú9úksi9gmsčáaáíetóaáútčisuů31héfxr8ůye;28934929;28934929
28934929-y8h9rke7odya8t397urv;;R;2015-10-18T12:02:26.6+02:00;;28934929;28934929
28934929-;;R;;;28934929;28934929
28934929-;qr4íšůč824t3pl1l2qýu1hdě82m5ý69y;R;;íiř9dfqš02guómcá5iť5čunřyrďm4á0bé1rk7č1aíšuhuami;28934929;28934929
28934929-;ůtrrěrúvm2ússďéél8ijáiv00čcjaěáós9uě0k55hávirfus20ó;R;2014-11-24T22:08:31.6+01:00;;28934929;28934929
28934929-;;R;2013-09-08T20:32:41.6+02:00;;28934929;28934929
