#28934929-V-2019061208-T-01;doba_ucasti.csv;2019-02-12T12:51:35+01:00;1.0
iddobaucasti;iduzivkonto;zacatekucasticas;konecucasticas
28934929-r5qxo2s0c707mpr;28934929-;2012-10-24T16:46:00.6+02:00;
28934929-;28934929-8c3we5xal7bu;;
28934929-;28934929-;;2012-08-14T01:58:19.6+02:00
28934929-;28934929-;2006-08-05T13:03:51.6+02:00;
28934929-mbgdiw7gwdscauwob9qoxk;28934929-;;1999-09-11T15:49:11.6+02:00
28934929-;28934929-;;1995-04-30T21:16:01.6+02:00
28934929-;28934929-;2004-07-27T19:21:18.6+02:00;2019-05-22T05:06:32.6+02:00
28934929-7y9636;28934929-hbyvwcku1dev14lkbne;;
28934929-;28934929-3f1tda16ofl;;2003-02-01T11:52:41.6+01:00
28934929-0owx;28934929-;;
28934929-;28934929-9mspfkej;;2001-11-25T14:52:16.6+01:00
28934929-78j;28934929-;;
28934929-;28934929-m9v1ovlv57;;2008-03-25T13:02:26.6+01:00
28934929-c1cmet3f;28934929-jgjnhua237uqlyy;;2004-12-01T05:33:49.6+01:00
28934929-;28934929-;;
28934929-;28934929-;;
28934929-;28934929-;;
28934929-;28934929-5en06tn2vat963mx;;
28934929-;28934929-cr2a;;
28934929-;28934929-3hrdopiff7m;;1991-10-22T06:41:43.6+01:00
28934929-o3e7g7pham8cnvr;28934929-xu0l0j802vs63xv8;;
28934929-;28934929-n0we07ugd0xh9r1rqh9;2017-10-29T22:37:30.6+01:00;
28934929-;28934929-7bvwu;1993-09-15T16:34:42.6+02:00;2014-01-08T21:30:44.6+01:00
28934929-v3r;28934929-;;
28934929-;28934929-;;
28934929-;28934929-8d550h4uqobxn;;
28934929-;28934929-lymlxudf5l6l6n6we2m;;
28934929-;28934929-9jxaog7bifawn9;;1998-09-22T22:02:11.6+02:00
28934929-;28934929-;;
28934929-rlci;28934929-;;1999-03-12T09:17:22.6+01:00
28934929-;28934929-4d30dw069ym5x;;
28934929-;28934929-;;
28934929-;28934929-x5al;;2007-03-02T15:23:30.6+01:00
28934929-;28934929-;;
28934929-;28934929-;;
28934929-;28934929-;;
28934929-0q6f7b1q6t2;28934929-;;
28934929-;28934929-;1998-05-24T21:06:26.6+02:00;1990-04-15T03:51:51.6+02:00
28934929-r2f6ipho3y9k5194l53fyv;28934929-lr1l4v18svm;2016-08-09T13:38:37.6+02:00;
28934929-;28934929-xrghuj87o3om4atcl;2016-12-05T01:15:38.6+01:00;
28934929-;28934929-;;
28934929-;28934929-;;2007-06-05T01:54:41.6+02:00
28934929-;28934929-;;
28934929-ck05jgv;28934929-;2018-10-25T16:45:29.6+02:00;2004-08-23T07:08:32.6+02:00
28934929-jxfyk5xx;28934929-bsou59520ty;2020-02-07T19:08:10.6+01:00;
28934929-x4gf3uc;28934929-;;
28934929-;28934929-qdxomjaxsq2fk1h;2004-11-06T10:48:18.6+01:00;2001-04-26T02:58:31.6+02:00
28934929-;28934929-;;
28934929-;28934929-;;
28934929-;28934929-1iph;1992-11-14T15:07:21.6+01:00;
28934929-;28934929-;2018-06-27T07:56:13.6+02:00;2009-05-24T06:55:41.6+02:00
28934929-;28934929-;;
28934929-;28934929-d0cd2u0d3gcqwfpqddsf;;
28934929-;28934929-;;
28934929-hxbdrbwjdwjtlfc;28934929-;;
28934929-;28934929-;;2010-09-08T10:34:29.6+02:00
28934929-ns4lr3wtpi1tyc6;28934929-;;1992-10-12T22:13:28.6+01:00
28934929-;28934929-;;
28934929-owpwpa9359xvlixc53ff3;28934929-;;2016-10-17T09:51:16.6+02:00
28934929-;28934929-;;
28934929-lt55mbo;28934929-;1996-03-04T16:00:16.6+01:00;
28934929-;28934929-opo71hgxjnv9q;1994-09-12T11:43:56.6+02:00;2020-12-04T12:52:29.6+01:00
28934929-;28934929-;2007-08-28T07:31:03.6+02:00;
28934929-mc76qq2dab;28934929-bbp;;
28934929-;28934929-;;
28934929-ni6m61q1;28934929-;2015-10-25T05:30:25.6+01:00;
28934929-;28934929-;1999-07-19T06:00:24.6+02:00;
28934929-;28934929-p02b9a9le6hq1srltr2;;
28934929-;28934929-;2015-11-23T09:48:29.6+01:00;2008-01-12T17:10:32.6+01:00
28934929-;28934929-;;
28934929-;28934929-cxs3q91ysqvdv3lo;;1998-04-09T15:54:52.6+02:00
28934929-;28934929-;2013-12-18T04:47:03.6+01:00;1997-01-29T12:04:38.6+01:00
28934929-y45102m6bwri6j159;28934929-sg9mghxk3wx7lo;;2012-10-22T13:27:32.6+02:00
28934929-;28934929-qnkwlojx1ah;1997-03-23T04:20:32.6+01:00;
28934929-;28934929-uilb;;2016-07-14T02:13:10.6+02:00
28934929-;28934929-s2ver84j3hq5qeynxt;;
28934929-;28934929-c7f4myr;1991-01-21T16:49:10.6+01:00;2016-10-31T06:57:34.6+01:00
28934929-;28934929-;1992-05-15T17:48:08.6+02:00;
28934929-;28934929-;;2003-12-06T13:03:00.6+01:00
28934929-;28934929-;;
28934929-;28934929-m1f6pn9sp6s;;2005-12-19T19:25:55.6+01:00
28934929-;28934929-;;
28934929-;28934929-;;1998-07-17T22:48:00.6+02:00
28934929-0q6q;28934929-;;
28934929-;28934929-h1ng7s737jjq875uj19;2013-01-23T15:04:06.6+01:00;2014-02-18T16:09:57.6+01:00
28934929-;28934929-;;
28934929-;28934929-;;2019-02-18T19:58:31.6+01:00
28934929-;28934929-;;
28934929-r90af6x;28934929-g7r9quusij77;;1998-12-23T06:28:13.6+01:00
28934929-;28934929-;2016-08-16T03:27:21.6+02:00;
28934929-;28934929-;;
28934929-;28934929-;;
28934929-;28934929-dj25vylra24lc;;
28934929-;28934929-;;2012-10-03T12:21:11.6+02:00
28934929-;28934929-;;
28934929-;28934929-;;1991-10-03T01:27:27.6+01:00
28934929-;28934929-;1999-05-10T06:03:16.6+02:00;
28934929-e9qugtacn;28934929-4tbl26i0j;2001-01-25T18:40:40.6+01:00;
28934929-3xp2kca3k3w5tf8s33t;28934929-;;
28934929-;28934929-;;
