#28934929-V-2019061208-T-01;evidence_her.csv;2019-02-12T12:51:35+01:00;1.0
idhrapopis;hranazev;hradruh;hrakategorie;idprovozovatel;spustenicas
28934929-;úht;K;;28934929;
28934929-lqneq4ed0;40jsgďjbp9;;;28934929;1997-03-11T11:36:54.6+01:00
28934929-;;R;;28934929;
28934929-;;R;a;28934929;2021-04-21T13:50:51.6+02:00
28934929-;;Z;;28934929;
28934929-fqvqu517v20xd;9cýíířušďgpcóšuxáayk8f9hř;;;28934929;
28934929-;;;;28934929;
28934929-hcut;sřx2fg8ý0tée6šh31oo2l6xů4ďkhúy2n97njwmťšjů2éáe;;;28934929;
28934929-;;;i;28934929;
28934929-;oéécč7óyé1ře;;;28934929;2019-05-31T11:55:43.6+02:00
28934929-5wfow1rbpnovce629wa1;;;f;28934929;
28934929-9u20dll5106gg;lucóťhn6fh9ggívhěčqnkdjsš3aa50t;;;28934929;
28934929-;dtšq1;;f;28934929;
28934929-;;;;28934929;2004-12-22T23:25:55.6+01:00
28934929-moykjivm2rh8yc8ubpdaov;;;;28934929;
28934929-;;;;28934929;2018-01-26T14:38:57.6+01:00
28934929-;;K;;28934929;
28934929-;gfpošpío9t9náčcp7iytůčjs3úšxš4ťťěsč0řy8g9kpůš2jp54v3;;;28934929;
28934929-;efůoýuwéšy;B;;28934929;2018-12-15T17:54:09.6+01:00
28934929-;84hřvng6noji3ůyéífýb88yt950i7ísá0íq;;;28934929;
28934929-0879yahnfax9u6luflitc;;;;28934929;1995-10-30T09:39:47.6+01:00
28934929-;;B;;28934929;
28934929-iujueo4sq4eu7f6;;;f;28934929;
28934929-;ís4adůtvx5ů4aíwě7ř9t;;;28934929;
28934929-;;;;28934929;2021-06-06T00:42:22.6+02:00
28934929-;;;;28934929;
28934929-quag;íyř1w7ěóvxc076k094ďnv4weó4wgfléšqrgxém;;f;28934929;1994-11-10T18:40:38.6+01:00
28934929-;;;;28934929;2010-11-25T11:35:51.6+01:00
28934929-w3d8a1xycaqb0;eis8;;e;28934929;
28934929-;;;d;28934929;1995-12-13T07:36:36.6+01:00
